Orthogroup	c_variabilis_genome_proteins	c_sorokiniana_genome_proteins
OG0000888	XP_005844641.1	PRW20467.1
OG0000889	XP_005845324.1	PRW59820.1
OG0000890	XP_005844834.1	PRW33253.1
OG0000891	XP_005851149.1	PRW58546.1, PRW58545.1
OG0000892	XP_005843234.1	PRW33180.1, PRW33181.1, PRW33182.1
OG0000893	XP_005843285.1	PRW33147.1
OG0000894	XP_005843057.1, XP_005849303.1, XP_005845202.1	PRW45579.1
OG0000895	XP_005850101.1	PRW56511.1
OG0000896	XP_005844871.1	PRW33106.1
OG0000897	XP_005845683.1	PRW60925.1
OG0000898	XP_005848407.1	PRW44917.1
OG0000899	XP_005844962.1, XP_005842685.1, XP_005842649.1	PRW33092.1
OG0000900	XP_005843070.1	PRW60989.1
OG0000901	XP_005844857.1, XP_005844858.1	PRW33133.1
OG0000902	XP_005844954.1	PRW33126.1, PRW33125.1, PRW33124.1
OG0000904	XP_005847297.1	PRW44569.1
OG0000905	XP_005844381.1	PRW61293.1
OG0000906	XP_005852113.1, XP_005851885.1	PRW60716.1
OG0000907	XP_005849616.1	PRW58986.1, PRW58985.1
OG0000908	XP_005849651.1	PRW59354.1
OG0000909	XP_005843564.1	PRW61309.1, PRW61215.1
OG0000910	XP_005849821.1	PRW59007.1, PRW59006.1
OG0000911	XP_005849925.1, XP_005849926.1	PRW59119.1
OG0000912	XP_005842602.1	PRW59347.1
OG0000913	XP_005848627.1	PRW51030.1
OG0000915	XP_005843238.1	PRW33140.1, PRW33141.1, PRW33142.1
OG0000916	XP_005849907.1	PRW59076.1
OG0000917	XP_005849671.1	PRW58883.1
OG0000918	XP_005849921.1, XP_005849922.1	PRW58737.1
OG0000919	XP_005849567.1, XP_005849568.1	PRW59055.1
OG0000920	XP_005849828.1	PRW59215.1
OG0000921	XP_005849563.1, XP_005849564.1	PRW59101.1
OG0000922	XP_005849571.1	PRW59324.1
OG0000923	XP_005849556.1	PRW58859.1
OG0000924	XP_005851983.1	PRW60579.1
OG0000925	XP_005849807.1	PRW61304.1, PRW59391.1
OG0000926	XP_005848983.1	PRW51056.1
OG0000927	XP_005848787.1	PRW50836.1
OG0000928	XP_005846107.1	PRW39087.1, PRW39390.1
OG0000930	XP_005848967.1	PRW51110.1, PRW44962.1, PRW56238.1
OG0000931	XP_005848761.1, XP_005848974.1	PRW50937.1
OG0000932	XP_005850351.1	PRW56778.1, PRW56681.1
OG0000934	XP_005843576.1	PRW61558.1
OG0000935	XP_005848930.1	PRW50835.1
OG0000936	XP_005848939.1	PRW50840.1
OG0000937	XP_005848933.1	PRW50973.1
OG0000938	XP_005846114.1	PRW39196.1
OG0000939	XP_005844200.1	PRW61251.1, PRW61133.1
OG0000940	XP_005843082.1, XP_005851690.1	PRW32633.1
OG0000941	XP_005848647.1, XP_005846274.1	PRW51062.1
OG0000942	XP_005843747.1	PRW58836.1
OG0000943	XP_005848636.1	PRW50864.1, PRW50862.1, PRW50863.1
OG0000944	XP_005845607.1	PRW61560.1
OG0000945	XP_005848602.1	PRW51085.1
OG0000946	XP_005850865.1	PRW56288.1
OG0000947	XP_005850877.1, XP_005845237.1	PRW45485.1
OG0000948	XP_005845231.1, XP_005850594.1	PRW56175.1
OG0000949	XP_005850888.1	PRW56186.1
OG0000950	XP_005850892.1	PRW56338.1
OG0000951	XP_005850833.1	PRW55974.1, PRW56046.1
OG0000952	XP_005843218.1	PRW33134.1
OG0000953	XP_005850840.1	PRW55959.1
OG0000954	XP_005850520.1, XP_005850521.1	PRW18382.1
OG0000955	XP_005844514.1	PRW56449.1, PRW57994.1
OG0000956	XP_005850500.1	PRW18394.1
OG0000957	XP_005847245.1	PRW44369.1
OG0000958	XP_005842884.1, XP_005842867.1	PRW32489.1
OG0000959	XP_005852061.1	PRW60281.1, PRW60280.1
OG0000960	XP_005843953.1	PRW20751.1
OG0000963	XP_005849282.1	PRW33762.1
OG0000964	XP_005843629.1	PRW61369.1
OG0000965	XP_005843865.1	PRW20643.1
OG0000966	XP_005848588.1	PRW05896.1, PRW39366.1, PRW05897.1
OG0000967	XP_005843914.1	PRW20760.1, PRW20615.1
OG0000968	XP_005844295.1	PRW60997.1
OG0000969	XP_005842755.1	PRW60263.1
OG0000970	XP_005848028.1, XP_005842736.1	PRW20816.1
OG0000971	XP_005842657.1, XP_005848097.1	PRW57304.1
OG0000972	XP_005847939.1, XP_005847938.1	PRW05749.1, PRW57129.1
OG0000973	XP_005851310.1	PRW58108.1
OG0000974	XP_005847940.1	PRW05748.1, PRW57171.1, PRW57172.1
OG0000975	XP_005849042.1	PRW33841.1, PRW33840.1
OG0000976	XP_005849976.1, XP_005845794.1	PRW05771.1
OG0000977	XP_005850161.1	PRW56837.1
OG0000978	XP_005847951.1	PRW20908.1
OG0000980	XP_005844224.1	PRW59490.1
OG0000980	XP_005847874.1	PRW57209.1
OG0000981	XP_005850459.1	PRW05822.1, PRW05823.1, PRW05879.1
OG0000982	XP_005850466.1	PRW05838.1, PRW05837.1
OG0000983	XP_005850324.1	PRW56783.1
OG0000984	XP_005850083.1	PRW56625.1, PRW56624.1
OG0000985	XP_005850084.1	PRW56522.1, PRW56521.1
OG0000986	XP_005850316.1	PRW56683.1, PRW56682.1, PRW56684.1
OG0000987	XP_005850077.1	PRW56584.1, PRW56585.1, PRW56583.1
OG0000988	XP_005843156.1	PRW61137.1, PRW61138.1
OG0000989	XP_005852267.1	PRW56731.1
OG0000990	XP_005850156.1	PRW56863.1, PRW56862.1
OG0000991	XP_005850214.1	PRW05836.1
OG0000992	XP_005846842.1, XP_005842605.1	PRW56898.1
OG0000993	XP_005845039.1	PRW45549.1
OG0000994	XP_005845240.1	PRW45446.1
OG0000995	XP_005851350.1	PRW44506.1
OG0000996	XP_005843931.1, XP_005846828.1	PRW44904.1, PRW45377.1
OG0000997	XP_005846116.1	PRW39078.1, PRW61116.1
OG0000998	XP_005852297.1	PRW05763.1
OG0000998	XP_005851826.1	PRW56823.1
OG0000999	XP_005846102.1	PRW05799.1, PRW05800.1
OG0001001	XP_005848034.1	PRW57277.1
OG0001002	XP_005846132.1	PRW39261.1, PRW39262.1
OG0001003	XP_005845002.1, XP_005850390.1	PRW56780.1
OG0001004	XP_005852101.1, XP_005852100.1	PRW60562.1
OG0001005	XP_005846194.1	PRW39110.1
OG0001006	XP_005846055.1	PRW39359.1, PRW39360.1
OG0001007	XP_005847998.1	PRW20795.1
OG0001008	XP_005846205.1	PRW39097.1
OG0001009	XP_005844918.1, XP_005849231.1	PRW39217.1
OG0001010	XP_005850409.1	PRW56653.1, PRW45534.1
OG0001012	XP_005845112.1	PRW45350.1
OG0001013	XP_005843628.1	PRW61294.1, PRW61556.1, PRW61300.1
OG0001014	XP_005843617.1	PRW61167.1
OG0001015	XP_005845094.1	PRW45681.1
OG0001016	XP_005850416.1	PRW56723.1
OG0001017	XP_005850169.1	PRW56400.1
OG0001018	XP_005850566.1, XP_005850858.1	PRW56256.1, PRW56191.1
OG0001020	XP_005846098.1	PRW56890.1
OG0001021	XP_005850938.1	PRW56314.1
OG0001022	XP_005850714.1	PRW59557.1, PRW56140.1
OG0001023	XP_005850994.1	PRW56235.1
OG0001024	XP_005850719.1	PRW55951.1, PRW55950.1
OG0001025	XP_005850668.1	PRW56023.1
OG0001026	XP_005848497.1	PRW45042.1
OG0001027	XP_005850964.1	PRW55994.1
OG0001028	XP_005850659.1	PRW56119.1
OG0001029	XP_005849675.1	PRW59393.1
OG0001030	XP_005850976.1	PRW56242.1, PRW56241.1
OG0001031	XP_005850619.1	PRW56109.1, PRW56110.1
OG0001032	XP_005850726.1	PRW56346.1
OG0001034	XP_005844419.1	PRW61528.1, PRW61529.1
OG0001035	XP_005850771.1	PRW59610.1
OG0001035	XP_005851047.1	PRW56352.1
OG0001036	XP_005845827.1	PRW33698.1
OG0001038	XP_005845765.1	PRW33530.1
OG0001039	XP_005842761.1	PRW60548.1, PRW60549.1, PRW60547.1
OG0001040	XP_005849986.1, XP_005852023.1	PRW60730.1
OG0001041	XP_005851759.1	PRW60454.1, PRW60453.1
OG0001043	XP_005846990.1	PRW56988.1
OG0001044	XP_005852110.1	PRW60781.1
OG0001045	XP_005851772.1	PRW60403.1
OG0001046	XP_005852120.1	PRW60311.1
OG0001047	XP_005851802.1	PRW60765.1
OG0001047	XP_005851801.1	PRW60466.1
OG0001048	XP_005851796.1, XP_005851795.1	PRW60853.1
OG0001049	XP_005851790.1	PRW60402.1
OG0001050	XP_005845476.1, XP_005845480.1	PRW59506.1
OG0001051	XP_005852145.1	PRW60388.1
OG0001052	XP_005852242.1	PRW60206.1
OG0001053	XP_005851908.1	PRW60312.1
OG0001054	XP_005852235.1	PRW60836.1
OG0001056	XP_005845204.1, XP_005842734.1, XP_005845205.1	PRW45489.1
OG0001057	XP_005848683.1	PRW50965.1
OG0001058	XP_005844427.1	PRW60901.1
OG0001059	XP_005845917.1, XP_005843527.1	PRW60971.1, PRW60972.1
OG0001060	XP_005852321.1	PRW32589.1, PRW32642.1
OG0001061	XP_005849034.1	PRW33813.1
OG0001062	XP_005848999.1	PRW50976.1
OG0001063	XP_005849146.1, XP_005849147.1	PRW57926.1
OG0001064	XP_005849341.1	PRW57698.1
OG0001066	XP_005849081.1, XP_005849080.1	PRW33905.1
OG0001067	XP_005849084.1	PRW33949.1, PRW33948.1, PRW61038.1
OG0001068	XP_005849328.1	PRW57656.1, PRW57834.1, PRW57543.1
OG0001069	XP_005849264.1	PRW34063.1
OG0001070	XP_005845860.1	PRW33680.1, PRW33679.1
OG0001071	XP_005849300.1	PRW33929.1
OG0001072	XP_005849112.1	PRW57773.1, PRW57774.1, PRW57775.1
OG0001073	XP_005849186.1, XP_005852157.1	PRW57673.1
OG0001074	XP_005849167.1	PRW57676.1, PRW57675.1
OG0001075	XP_005849043.1	PRW33974.1, PRW33973.1, PRW33972.1
OG0001076	XP_005849044.1	PRW34058.1, PRW34057.1
OG0001078	XP_005849402.1	PRW57890.1, PRW57889.1
OG0001079	XP_005849208.1, XP_005849207.1	PRW57811.1
OG0001080	XP_005850639.1	PRW60387.1
OG0001080	XP_005850640.1, XP_005845001.1	PRW57207.1
OG0001081	XP_005850615.1	PRW56082.1
OG0001082	XP_005847443.1	PRW44392.1
OG0001083	XP_005851947.1, XP_005851944.1	PRW60856.1
OG0001084	XP_005851948.1, XP_005851949.1	PRW60286.1
OG0001085	XP_005851891.1, XP_005842717.1	PRW60255.1
OG0001086	XP_005852217.1, XP_005850788.1, XP_005844701.1	PRW60670.1
OG0001087	XP_005843899.1	PRW20747.1
OG0001087	XP_005843961.1	PRW20709.1
OG0001088	XP_005843856.1	PRW20610.1
OG0001089	XP_005843973.1	PRW20714.1
OG0001090	XP_005843722.1	PRW58404.1
OG0001090	XP_005842831.1	PRW33994.1
OG0001091	XP_005848424.1	PRW44881.1, PRW44880.1, PRW44882.1
OG0001092	XP_005848410.1	PRW45244.1, PRW45243.1, PRW45242.1
OG0001093	XP_005844897.1, XP_005843311.1, XP_005847142.1, XP_005845568.1	PRW58947.1
OG0001094	XP_005851091.1	PRW61487.1, PRW61485.1, PRW61486.1
OG0001095	XP_005848205.1	PRW44942.1, PRW44941.1, PRW44943.1
OG0001096	XP_005850743.1	PRW56267.1
OG0001096	XP_005850744.1	PRW56160.1
OG0001097	XP_005847514.1	PRW44419.1, PRW44417.1, PRW44418.1
OG0001098	XP_005848515.1	PRW44838.1
OG0001099	XP_005848331.1	PRW45152.1
OG0001100	XP_005848334.1	PRW45024.1, PRW45025.1
OG0001101	XP_005850552.1	PRW44928.1, PRW44929.1
OG0001102	XP_005848417.1	PRW44847.1, PRW44848.1, PRW44846.1
OG0001103	XP_005844058.1	PRW20582.1, PRW20583.1
OG0001104	XP_005844682.1, XP_005844681.1	PRW20976.1, PRW20975.1
OG0001105	XP_005844750.1	PRW21128.1
OG0001106	XP_005851230.1, XP_005850370.1	PRW56865.1
OG0001107	XP_005849802.1	PRW59310.1
OG0001108	XP_005849476.1	PRW59224.1
OG0001109	XP_005851798.1, XP_005843247.1	PRW61336.1, PRW20414.1
OG0001110	XP_005849752.1, XP_005849483.1	PRW59143.1
OG0001111	XP_005851483.1	PRW58144.1, PRW58145.1
OG0001112	XP_005849450.1, XP_005849451.1	PRW57327.1
OG0001113	XP_005849731.1	PRW59289.1, PRW59288.1
OG0001115	XP_005849782.1	PRW59053.1
OG0001116	XP_005849714.1	PRW57157.1
OG0001117	XP_005847426.1	PRW44375.1
OG0001118	XP_005846970.1	PRW57029.1, PRW57028.1
OG0001119	XP_005847424.1	PRW44355.1
OG0001121	XP_005847335.1	PRW44262.1
OG0001122	XP_005847336.1	PRW44283.1, PRW44284.1
OG0001123	XP_005851347.1	PRW44575.1, PRW44424.1
OG0001124	XP_005847356.1	PRW44512.1
OG0001125	XP_005847351.1	PRW44268.1
OG0001126	XP_005847490.1	PRW44485.1, PRW44486.1
OG0001127	XP_005847486.1	PRW44503.1, PRW44459.1
OG0001128	XP_005847304.1	PRW44245.1
OG0001129	XP_005847573.1, XP_005844389.1	PRW61026.1
OG0001130	XP_005843045.1	PRW32635.1, PRW56639.1, PRW56638.1
OG0001131	YP_004347820.1, XP_005843436.1	PRW59237.1
OG0001132	XP_005842674.1, XP_005843835.1	PRW58843.1
OG0001133	XP_005843831.1	PRW59242.1, PRW59243.1
OG0001134	XP_005843089.1	PRW32594.1
OG0001136	XP_005843087.1	PRW32599.1
OG0001137	XP_005852319.1	PRW32649.1, PRW32641.1
OG0001138	XP_005845132.1	PRW45500.1
OG0001139	XP_005851121.1	PRW58398.1
OG0001140	XP_005851106.1	PRW58332.1
OG0001141	XP_005851124.1	PRW58470.1
OG0001142	XP_005851123.1	PRW58641.1, PRW20979.1
OG0001143	XP_005851135.1	PRW58205.1
OG0001144	XP_005851115.1	PRW58235.1, PRW58236.1
OG0001145	XP_005851418.1	PRW58357.1
OG0001146	XP_005851384.1	PRW58355.1, PRW58354.1
OG0001147	XP_005851436.1	PRW58161.1
OG0001148	XP_005851155.1	PRW56295.1
OG0001149	XP_005851438.1	PRW58373.1, PRW58371.1, PRW58372.1
OG0001150	XP_005844658.1, XP_005846674.1	PRW21083.1
OG0001151	XP_005851477.1	PRW58253.1
OG0001151	XP_005851476.1	PRW58649.1
OG0001152	XP_005851392.1	PRW58622.1
OG0001152	XP_005850034.1	PRW44235.1
OG0001153	XP_005845218.1	PRW58604.1, PRW58605.1
OG0001154	XP_005847259.1	PRW44293.1
OG0001155	XP_005844545.1	PRW20546.1, PRW20545.1
OG0001156	XP_005851242.1	PRW58175.1
OG0001157	XP_005851617.1, XP_005851616.1	PRW58272.1
OG0001158	XP_005843691.1	PRW51125.1, PRW20398.1
OG0001159	XP_005851654.1	PRW58201.1, PRW58203.1, PRW58202.1
OG0001160	XP_005851282.1	PRW58434.1, PRW58433.1
OG0001161	XP_005851286.1	PRW58407.1
OG0001162	XP_005844189.1	PRW61068.1
OG0001163	XP_005851577.1	PRW44499.1
OG0001164	XP_005851291.1	PRW58182.1
OG0001164	XP_005851290.1	PRW58583.1
OG0001165	XP_005844770.1	PRW21081.1, PRW21080.1
OG0001166	XP_005852309.1	PRW32525.1, PRW32524.1, PRW32523.1
OG0001167	XP_005845906.1	PRW60618.1, PRW39328.1
OG0001168	XP_005846798.1	PRW45396.1, PRW45395.1
OG0001169	XP_005846650.1	PRW45423.1
OG0001170	XP_005845818.1	PRW33616.1
OG0001171	XP_005845102.1	PRW45405.1, PRW44282.1, PRW45404.1
OG0001172	XP_005851838.1, XP_005844303.1	PRW61416.1
OG0001175	XP_005850301.1	PRW56880.1, PRW56881.1
OG0001176	XP_005850240.1	PRW56389.1, PRW56387.1, PRW56388.1
OG0001177	XP_005850011.1	PRW56486.1
OG0001178	XP_005849992.1	PRW56417.1, PRW56416.1
OG0001179	XP_005846035.1, XP_005845722.1	PRW61054.1
OG0001180	XP_005849989.1	PRW56693.1, PRW56692.1, PRW56220.1
OG0001181	XP_005850293.1	PRW56501.1
OG0001182	XP_005850010.1	PRW56725.1
OG0001183	XP_005850255.1	PRW56846.1
OG0001184	XP_005846389.1	PRW59756.1, PRW59757.1
OG0001186	XP_005846318.1	PRW60187.1
OG0001187	XP_005846330.1	PRW59523.1
OG0001188	XP_005848808.1, XP_005844393.1, XP_005846465.1	PRW59677.1
OG0001189	XP_005846277.1, XP_005846278.1	PRW60003.1
OG0001190	XP_005847774.1	PRW57843.1
OG0001192	XP_005846475.1	PRW59893.1, PRW59891.1, PRW59892.1
OG0001193	XP_005846242.1, XP_005846418.1, XP_005846243.1	PRW60120.1
OG0001194	XP_005846239.1	PRW59630.1, PRW59713.1
OG0001195	XP_005846951.1	PRW20405.1, PRW20407.1
OG0001196	XP_005845671.1	PRW39358.1
OG0001197	XP_005842804.1	PRW59799.1
OG0001198	XP_005842727.1, XP_005844422.1	PRW60998.1
OG0001199	XP_005851739.1	PRW60870.1, PRW60871.1
OG0001200	XP_005843581.1, XP_005842570.1	PRW61571.1
OG0001201	XP_005842855.1	PRW61343.1, PRW61269.1, PRW45134.1
OG0001202	XP_005847638.1, XP_005845666.1	PRW59142.1, PRW59141.1
OG0001203	XP_005845539.1	PRW60923.1
OG0001204	XP_005843427.1	PRW58732.1, PRW58731.1
OG0001205	XP_005845518.1	PRW61604.1
OG0001206	XP_005845675.1	PRW61275.1, PRW61274.1
OG0001208	XP_005848663.1	PRW61446.1
OG0001209	XP_005843206.1	PRW05923.1
OG0001210	XP_005845998.1, XP_005846002.1	PRW39167.1, PRW39166.1
OG0001211	XP_005846669.1, XP_005844586.1	PRW45513.1
OG0001212	XP_005843168.1	PRW05924.1
OG0001213	XP_005843198.1	PRW05900.1, PRW05899.1
OG0001214	XP_005846974.1	PRW57391.1
OG0001215	XP_005844477.1	PRW32918.1
OG0001216	XP_005844742.1	PRW20168.1
OG0001216	XP_005843153.1	PRW33943.1
OG0001217	XP_005843335.1, XP_005843336.1	PRW32983.1
OG0001218	XP_005843257.1, XP_005843372.1	PRW60966.1, PRW57690.1
OG0001219	XP_005848769.1, XP_005848770.1, XP_005851162.1	PRW58629.1
OG0001220	XP_005848264.1	PRW45151.1
OG0001221	XP_005848465.1	PRW45001.1
OG0001221	XP_005846837.1	PRW57827.1
OG0001222	XP_005851643.1, XP_005843040.1	PRW33033.1, PRW32879.1
OG0001223	XP_005848374.1	PRW44861.1
OG0001224	XP_005846070.1	PRW60711.1
OG0001226	XP_005851522.1, XP_005844121.1	PRW58681.1
OG0001227	XP_005844233.1, XP_005844232.1	PRW33770.1
OG0001228	XP_005848291.1	PRW45117.1, PRW45118.1
OG0001229	XP_005848293.1, XP_005848292.1	PRW45233.1
OG0001230	XP_005848262.1	PRW44999.1, PRW44998.1
OG0001231	XP_005848266.1	PRW45230.1, PRW45229.1
OG0001233	XP_005842626.1, XP_005849171.1	PRW57646.1
OG0001234	XP_005847161.1, XP_005847160.1	PRW57386.1
OG0001235	XP_005846972.1	PRW57450.1
OG0001235	XP_005846971.1	PRW57796.1
OG0001236	XP_005847166.1, XP_005845974.1	PRW57009.1
OG0001237	XP_005847184.1	PRW57246.1
OG0001238	XP_005847187.1	PRW57108.1
OG0001239	XP_005847110.1	PRW57527.1, PRW57525.1, PRW57526.1
OG0001240	XP_005851939.1, XP_005846995.1	PRW57083.1, PRW57082.1
OG0001241	XP_005847201.1	PRW57300.1, PRW57301.1
OG0001243	XP_005848131.1, XP_005848130.1	PRW20851.1
OG0001245	XP_005848719.1, XP_005844864.1	PRW57550.1
OG0001246	XP_005848067.1, XP_005848068.1	PRW57011.1
OG0001247	XP_005847629.1	PRW57639.1, PRW57640.1
OG0001248	XP_005842897.1, XP_005847551.1	PRW57574.1, PRW57575.1
OG0001249	XP_005847554.1	PRW57880.1
OG0001250	XP_005847731.1	PRW57651.1, PRW57652.1
OG0001251	XP_005847584.1	PRW58068.1
OG0001252	XP_005847781.1	PRW57713.1
OG0001253	XP_005847783.1	PRW57869.1, PRW57868.1
OG0001254	XP_005847657.1	PRW33975.1, PRW33977.1, PRW33976.1
OG0001255	XP_005847641.1	PRW57727.1, PRW57726.1
OG0001256	XP_005847645.1	PRW57914.1
OG0001257	XP_005847740.1	PRW57764.1
OG0001258	XP_005847572.1	PRW57951.1
OG0001259	XP_005847580.1	PRW57919.1, PRW57921.1, PRW57920.1
OG0001260	XP_005847831.1	PRW34099.1
OG0001261	XP_005847669.1	PRW34014.1
OG0001262	XP_005843143.1	PRW61498.1
OG0001263	XP_005847620.1	PRW58165.1, PRW33910.1, PRW20181.1
OG0001264	XP_005843653.1	PRW20388.1, PRW20389.1, PRW59291.1
OG0001265	XP_005843697.1	PRW44521.1
OG0001266	XP_005843655.1	PRW20428.1
OG0001267	XP_005843690.1	PRW20360.1, PRW20361.1
OG0001268	XP_005850474.1	PRW05859.1
OG0001269	XP_005850513.1	PRW18403.1
OG0001269	XP_005850512.1	PRW18316.1
OG0001270	XP_005842915.1, XP_005842914.1	PRW20178.1
OG0001271	XP_005842952.1	PRW20305.1
OG0001272	XP_005844619.1, XP_005844618.1	PRW20507.1, PRW20506.1
OG0001273	XP_005846973.1	PRW20766.1
OG0001274	XP_005847960.1	PRW20782.1
OG0001275	XP_005848020.1	PRW20783.1
OG0001275	XP_005842857.1	PRW61029.1
OG0001276	XP_005848128.1	PRW20940.1
OG0001276	XP_005848127.1	PRW20923.1
OG0001277	XP_005844904.1, XP_005844056.1, XP_005844057.1	PRW32637.1
OG0001278	XP_005848406.1	PRW32850.1
OG0001279	XP_005844570.1	PRW33071.1
OG0001280	XP_005851520.1	PRW60795.1
OG0001280	XP_005848283.1	PRW33145.1, PRW61481.1, PRW61480.1
OG0001282	XP_005851975.1	PRW44308.1
OG0001283	XP_005847421.1	PRW44500.1
OG0001283	XP_005842710.1	PRW44607.1
OG0001284	XP_005842778.1, XP_005848542.1, XP_005843358.1, XP_005844553.1, XP_005848543.1	PRW45260.1
OG0001285	XP_005845042.1	PRW45394.1
OG0001287	XP_005844433.1, XP_005850050.1, XP_005844023.1, XP_005846718.1, XP_005850201.1	PRW45710.1
OG0001288	XP_005846692.1	PRW45718.1
OG0001289	XP_005850149.1	PRW56409.1
OG0001290	XP_005850164.1, XP_005850264.1, XP_005850334.1	PRW56730.1
OG0001291	XP_005845553.1, XP_005845664.1, XP_005844808.1	PRW56738.1
OG0001293	XP_005847533.1, XP_005848704.1, XP_005844447.1, XP_005844449.1	PRW57556.1
OG0001294	XP_005847550.1, XP_005842636.1, XP_005842637.1	PRW57660.1
OG0001295	XP_005849225.1	PRW57781.1
OG0001297	XP_005847797.1	PRW57955.1
OG0001297	XP_005847634.1	PRW57954.1
OG0001298	XP_005851606.1, XP_005851306.1	PRW58206.1
OG0001299	XP_005849539.1	PRW58987.1
OG0001300	XP_005844957.1, XP_005849591.1	PRW59168.1, PRW59167.1
OG0001301	XP_005849947.1	PRW59207.1
OG0001302	XP_005852194.1, XP_005845414.1, XP_005845451.1	PRW59621.1
OG0001303	XP_005851029.1, XP_005844910.1, XP_005850254.1, XP_005846223.1, XP_005846224.1	PRW59946.1
OG0001305	YP_004347746.1, XP_005843480.1	PRW60935.1, PRW60936.1, PRW60934.1
OG0001306	XP_005843528.1	PRW61324.1
OG0001307	XP_005844331.1	PRW61472.1, PRW61471.1, PRW61395.1
OG0001315	XP_005846625.1	PRW45556.1
OG0001316	XP_005842916.1	PRW20302.1
OG0001317	XP_005847688.1	PRW34089.1
OG0001318	XP_005846777.1	PRW45415.1, PRW45416.1
OG0001319	XP_005846774.1	PRW45528.1, PRW45529.1
OG0001320	XP_005846780.1	PRW45697.1
OG0001321	XP_005845106.1	PRW45399.1
OG0001322	XP_005846628.1	PRW45597.1
OG0001323	XP_005846631.1	PRW45466.1
OG0001324	XP_005846771.1	PRW45650.1, PRW45649.1
OG0001325	XP_005849739.1	PRW58872.1
OG0001326	XP_005846945.1	PRW57174.1, PRW45482.1
OG0001327	XP_005845911.1	PRW33518.1
OG0001328	XP_005845800.1, XP_005845912.1	PRW33511.1
OG0001330	XP_005845799.1	PRW33725.1
OG0001331	XP_005845901.1	PRW33584.1
OG0001332	XP_005845197.1	PRW45545.1
OG0001333	XP_005845767.1, XP_005842630.1	PRW33596.1
OG0001334	XP_005845822.1	PRW33648.1
OG0001335	XP_005843235.1	PRW33329.1
OG0001336	XP_005845731.1	PRW33661.1, PRW33660.1
OG0001337	XP_005844732.1	PRW33038.1
OG0001338	XP_005843412.1	PRW32907.1, PRW32906.1
OG0001339	XP_005844458.1	PRW32938.1
OG0001340	XP_005844556.1, XP_005844557.1	PRW33034.1
OG0001341	XP_005848019.1	PRW20924.1
OG0001342	XP_005851338.1	PRW58490.1, PRW58491.1
OG0001344	XP_005846908.1	PRW57503.1, PRW57504.1
OG0001345	XP_005851755.1, XP_005846530.1	PRW59747.1
OG0001347	XP_005844103.1	PRW20169.1
OG0001348	XP_005847390.1	PRW44340.1
OG0001349	XP_005844483.1	PRW20521.1
OG0001351	XP_005844577.1	PRW20471.1
OG0001352	XP_005844496.1	PRW20535.1, PRW20536.1
OG0001353	XP_005847500.1	PRW44383.1
OG0001354	XP_005844504.1	PRW20498.1, PRW20497.1
OG0001355	XP_005844593.1	PRW20530.1
OG0001356	XP_005844600.1	PRW20455.1
OG0001357	XP_005844513.1	PRW20510.1
OG0001358	XP_005844518.1	PRW20523.1, PRW20522.1
OG0001359	XP_005844526.1	PRW20588.1
OG0001360	XP_005844531.1	PRW20484.1, PRW20485.1
OG0001361	XP_005844630.1	PRW20453.1
OG0001362	XP_005844533.1	PRW20443.1
OG0001363	XP_005844549.1	PRW20441.1, PRW20442.1
OG0001364	XP_005850113.1	PRW56620.1, PRW56621.1
OG0001365	XP_005844841.1	PRW33281.1
OG0001366	XP_005843255.1	PRW33122.1
OG0001367	XP_005843299.1	PRW33103.1
OG0001368	XP_005844930.1	PRW33322.1
OG0001369	XP_005843296.1	PRW33305.1
OG0001370	XP_005843239.1	PRW33221.1, PRW33222.1
OG0001371	XP_005843240.1	PRW33224.1, PRW33223.1
OG0001372	XP_005843236.1	PRW33273.1
OG0001373	XP_005843272.1	PRW33293.1
OG0001374	XP_005843270.1	PRW33236.1, PRW33235.1
OG0001375	XP_005851691.1, XP_005848232.1	PRW60284.1
OG0001376	XP_005849652.1	PRW58761.1
OG0001377	XP_005844982.1	PRW33210.1, PRW33098.1
OG0001378	XP_005849883.1	PRW58776.1
OG0001379	XP_005852218.1	PRW60642.1
OG0001380	XP_005844980.1	PRW33290.1, PRW33291.1
OG0001381	XP_005844971.1	PRW33162.1
OG0001382	XP_005844865.1	PRW33175.1
OG0001383	XP_005844967.1	PRW33274.1
OG0001384	XP_005844959.1, XP_005844850.1	PRW33325.1
OG0001385	XP_005844886.1	PRW33234.1
OG0001386	XP_005852203.1	PRW39247.1
OG0001387	XP_005843811.1	PRW59169.1
OG0001388	XP_005844768.1	PRW21098.1, PRW21097.1
OG0001389	XP_005849512.1	PRW05848.1, PRW05849.1
OG0001390	XP_005849961.1	PRW58779.1, PRW58778.1
OG0001391	XP_005849958.1	PRW58813.1, PRW58814.1
OG0001392	XP_005849964.1	PRW58821.1
OG0001393	XP_005843770.1	PRW59157.1
OG0001394	XP_005843775.1	PRW59174.1, PRW59173.1
OG0001395	XP_005843756.1	PRW58775.1
OG0001396	XP_005843824.1	PRW59064.1, PRW59065.1
OG0001397	XP_005843819.1	PRW59111.1
OG0001398	XP_005849956.1	PRW59097.1
OG0001399	XP_005849702.1	PRW59050.1
OG0001400	XP_005845841.1	PRW44586.1
OG0001401	XP_005849889.1, XP_005849888.1	PRW59408.1
OG0001402	XP_005849874.1	PRW59404.1, PRW58998.1
OG0001404	XP_005849695.1	PRW59294.1
