Orthogroup	c_variabilis_genome_proteins	m_conductrix_genome_proteins
OG0001058	XP_005844427.1	PSC67102.1, PSC70502.1, PSC70503.1
OG0001059	XP_005845917.1, XP_005843527.1	PSC74828.1
OG0001060	XP_005852321.1	PSC76140.1
OG0001061	XP_005849034.1	PSC76770.1, PSC76769.1, PSC75425.1
OG0001062	XP_005848999.1	PSC68094.1
OG0001062	XP_005849230.1	PSC67430.1
OG0001063	XP_005849146.1	PSC73192.1
OG0001063	XP_005849147.1	PSC72947.1
OG0001064	XP_005849341.1	PSC73142.1, PSC73143.1
OG0001065	XP_005849336.1	PSC70015.1
OG0001066	XP_005849081.1	PSC76556.1
OG0001067	XP_005849084.1	PSC76242.1
OG0001068	XP_005849328.1	PSC73206.1
OG0001069	XP_005849264.1	PSC76127.1, PSC76128.1, PSC76129.1
OG0001070	XP_005845860.1	PSC67310.1
OG0001072	XP_005849112.1	PSC76198.1
OG0001073	XP_005849186.1, XP_005852157.1	PSC73154.1
OG0001074	XP_005849167.1	PSC73052.1
OG0001075	XP_005849043.1	PSC76858.1
OG0001076	XP_005849044.1	PSC76171.1, PSC76172.1
OG0001077	XP_005847656.1	PSC69798.1
OG0001078	XP_005849402.1	PSC73048.1, PSC73049.1
OG0001079	XP_005849208.1, XP_005849207.1	PSC69139.1
OG0001081	XP_005850615.1, XP_005850614.1	PSC71608.1, PSC71609.1
OG0001082	XP_005847443.1	PSC69871.1
OG0001083	XP_005851947.1, XP_005851944.1	PSC68537.1
OG0001084	XP_005851948.1, XP_005851949.1	PSC68524.1
OG0001085	XP_005851891.1, XP_005842717.1	PSC74008.1
OG0001086	XP_005852217.1, XP_005850788.1, XP_005844701.1	PSC68938.1
OG0001087	XP_005843899.1	PSC74717.1
OG0001088	XP_005843856.1	PSC68800.1
OG0001089	XP_005843973.1	PSC68773.1, PSC74743.1, PSC74744.1
OG0001090	XP_005842831.1	PSC73255.1
OG0001091	XP_005848424.1	PSC73399.1
OG0001092	XP_005848410.1	PSC67536.1
OG0001094	XP_005851091.1	PSC70497.1
OG0001095	XP_005848205.1	PSC67537.1
OG0001096	XP_005850743.1	PSC69027.1
OG0001097	XP_005847514.1	PSC69890.1
OG0001098	XP_005848515.1, XP_005848518.1	PSC70435.1, PSC67094.1
OG0001099	XP_005848331.1	PSC67095.1, PSC70426.1, PSC70425.1
OG0001100	XP_005848334.1	PSC70475.1
OG0001101	XP_005850552.1	PSC73477.1
OG0001102	XP_005848417.1	PSC73470.1
OG0001104	XP_005844682.1, XP_005844681.1	PSC71819.1
OG0001105	XP_005844750.1	PSC71748.1, PSC69380.1, PSC71768.1
OG0001106	XP_005851230.1, XP_005850370.1	PSC71602.1
OG0001107	XP_005849802.1	PSC76143.1
OG0001108	XP_005849476.1	PSC67161.1
OG0001108	XP_005849477.1	PSC71887.1
OG0001109	XP_005851798.1, XP_005843247.1	PSC67838.1
OG0001110	XP_005849752.1, XP_005849483.1	PSC71894.1
OG0001111	XP_005851483.1	PSC68854.1
OG0001112	XP_005849450.1, XP_005849451.1	PSC76460.1
OG0001113	XP_005849731.1	PSC67397.1, PSC76051.1
OG0001115	XP_005849782.1	PSC76634.1
OG0001116	XP_005849714.1	PSC68184.1
OG0001118	XP_005846970.1	PSC71174.1
OG0001119	XP_005847424.1	PSC70851.1
OG0001120	XP_005847816.1	PSC71898.1, PSC71989.1
OG0001121	XP_005847335.1	PSC69975.1, PSC69974.1
OG0001122	XP_005847336.1	PSC69902.1, PSC69903.1
OG0001123	XP_005851347.1	PSC68018.1, PSC68695.1
OG0001124	XP_005847356.1	PSC69918.1
OG0001125	XP_005847351.1	PSC69951.1
OG0001126	XP_005847490.1	PSC69889.1
OG0001127	XP_005847486.1	PSC69912.1, PSC69967.1
OG0001128	XP_005847304.1, XP_005847477.1	PSC70890.1
OG0001129	XP_005847573.1, XP_005844389.1	PSC70592.1
OG0001131	YP_004347820.1, XP_005843436.1	PSC75379.1
OG0001132	XP_005842674.1	PSC75693.1
OG0001132	XP_005843835.1	PSC67057.1
OG0001133	XP_005843831.1	PSC67904.1
OG0001134	XP_005843089.1	PSC76872.1
OG0001136	XP_005843087.1	PSC67386.1, PSC67191.1, PSC71062.1
OG0001137	XP_005852319.1	PSC76857.1, PSC73967.1
OG0001138	XP_005845132.1	PSC68239.1, PSC67317.1, PSC67098.1
OG0001139	XP_005851121.1	PSC67078.1, PSC67071.1, PSC67824.1
OG0001140	XP_005851106.1	PSC76001.1, PSC68136.1
OG0001141	XP_005851124.1	PSC67485.1, PSC67070.1
OG0001142	XP_005851123.1	PSC67499.1, PSC67069.1
OG0001143	XP_005851135.1	PSC75688.1, PSC75689.1
OG0001144	XP_005851115.1	PSC67247.1
OG0001145	XP_005851418.1	PSC67825.1, PSC67245.1, PSC67828.1
OG0001146	XP_005851384.1	PSC75936.1, PSC75937.1
OG0001147	XP_005851436.1	PSC75798.1, PSC75799.1, PSC75797.1
OG0001148	XP_005851155.1	PSC75857.1
OG0001149	XP_005851438.1	PSC75587.1
OG0001150	XP_005844658.1, XP_005846674.1	PSC71678.1
OG0001151	XP_005851477.1, XP_005851476.1	PSC68901.1
OG0001152	XP_005851392.1	PSC75367.1
OG0001153	XP_005845218.1	PSC69141.1
OG0001154	XP_005847259.1	PSC75296.1
OG0001155	XP_005844545.1	PSC70139.1
OG0001156	XP_005851242.1, XP_005851241.1	PSC73940.1
OG0001157	XP_005851617.1, XP_005851616.1	PSC76101.1
OG0001158	XP_005843691.1	PSC74506.1
OG0001159	XP_005851654.1	PSC68734.1
OG0001160	XP_005851282.1	PSC73946.1
OG0001161	XP_005851286.1	PSC76436.1, PSC76901.1
OG0001162	XP_005844189.1	PSC73298.1
OG0001164	XP_005851291.1, XP_005851290.1	PSC76536.1
OG0001165	XP_005844770.1	PSC71702.1, PSC71703.1
OG0001166	XP_005852309.1	PSC76851.1
OG0001167	XP_005845906.1	PSC72460.1
OG0001168	XP_005846798.1	PSC72394.1, PSC72518.1
OG0001169	XP_005846650.1	PSC73882.1, PSC73884.1, PSC73883.1
OG0001170	XP_005845818.1	PSC69982.1, PSC69983.1
OG0001171	XP_005845102.1	PSC73885.1
OG0001172	XP_005851838.1	PSC70628.1
OG0001172	XP_005844303.1	PSC73293.1
OG0001175	XP_005850301.1	PSC72447.1, PSC72446.1
OG0001176	XP_005850240.1	PSC72597.1
OG0001177	XP_005850011.1	PSC72593.1, PSC72594.1
OG0001178	XP_005849992.1	PSC72565.1, PSC72566.1
OG0001179	XP_005846035.1	PSC74280.1
OG0001180	XP_005849989.1	PSC72536.1
OG0001181	XP_005850293.1	PSC72416.1, PSC72417.1
OG0001182	XP_005850010.1	PSC72451.1
OG0001183	XP_005850255.1	PSC72494.1
OG0001184	XP_005846389.1	PSC69612.1, PSC69613.1
OG0001185	XP_005846521.1	PSC69679.1
OG0001186	XP_005846318.1	PSC68307.1, PSC68308.1, PSC68306.1
OG0001187	XP_005846330.1	PSC69676.1, PSC68388.1, PSC71499.1
OG0001188	XP_005848808.1, XP_005844393.1, XP_005846465.1	PSC71265.1
OG0001189	XP_005846277.1, XP_005846278.1	PSC71398.1
OG0001190	XP_005847774.1	PSC74407.1
OG0001192	XP_005846475.1	PSC68353.1
OG0001193	XP_005846242.1, XP_005846418.1, XP_005846243.1	PSC71222.1
OG0001194	XP_005846239.1	PSC71341.1
OG0001196	XP_005845671.1, XP_005846941.1	PSC67587.1, PSC67586.1
OG0001197	XP_005842804.1	PSC71096.1
OG0001198	XP_005842727.1, XP_005844422.1	PSC73213.1
OG0001199	XP_005851739.1	PSC74994.1
OG0001200	XP_005843581.1, XP_005842570.1	PSC74003.1
OG0001201	XP_005842855.1	PSC74713.1
OG0001202	XP_005847638.1, XP_005845666.1	PSC74312.1
OG0001203	XP_005845539.1	PSC74248.1
OG0001204	XP_005843427.1	PSC73354.1
OG0001205	XP_005845518.1	PSC74222.1, PSC74221.1
OG0001206	XP_005845675.1	PSC74205.1, PSC74204.1
OG0001208	XP_005848663.1	PSC67274.1
OG0001209	XP_005843206.1	PSC68062.1, PSC68061.1
OG0001210	XP_005846002.1	PSC76925.1
OG0001211	XP_005846669.1	PSC75546.1
OG0001212	XP_005843168.1	PSC68466.1
OG0001213	XP_005843198.1	PSC68410.1, PSC68409.1
OG0001214	XP_005846974.1	PSC71177.1
OG0001215	XP_005844478.1	PSC67140.1
OG0001215	XP_005844477.1	PSC67167.1
OG0001216	XP_005844742.1, XP_005843153.1	PSC71774.1
OG0001217	XP_005843335.1, XP_005843336.1	PSC73112.1
OG0001218	XP_005843257.1, XP_005843372.1	PSC76447.1
OG0001219	XP_005848769.1, XP_005848770.1, XP_005851162.1	PSC68907.1
OG0001220	XP_005848264.1	PSC70478.1, PSC70479.1
OG0001221	XP_005848465.1	PSC70342.1
OG0001222	XP_005851643.1	PSC76698.1
OG0001223	XP_005848374.1	PSC70892.1, PSC70893.1
OG0001224	XP_005846070.1	PSC69716.1
OG0001224	XP_005845959.1	PSC67615.1
OG0001226	XP_005851522.1, XP_005844121.1	PSC68266.1
OG0001227	XP_005844233.1, XP_005844232.1	PSC70190.1
OG0001228	XP_005848291.1	PSC70347.1, PSC70346.1
OG0001229	XP_005848293.1, XP_005848292.1	PSC70446.1
OG0001230	XP_005848262.1	PSC70349.1, PSC70350.1
OG0001231	XP_005848266.1	PSC70457.1
OG0001233	XP_005842626.1, XP_005849171.1	PSC72945.1
OG0001234	XP_005847161.1, XP_005847160.1	PSC71183.1
OG0001235	XP_005846972.1, XP_005846971.1	PSC71048.1
OG0001236	XP_005847166.1	PSC71217.1, PSC71216.1
OG0001237	XP_005847184.1	PSC71040.1, PSC71038.1, PSC71039.1
OG0001238	XP_005847187.1	PSC71067.1, PSC71066.1
OG0001239	XP_005847110.1	PSC72292.1
OG0001240	XP_005851939.1, XP_005846995.1	PSC71073.1
OG0001241	XP_005847201.1	PSC71020.1, PSC71021.1
OG0001243	XP_005848131.1, XP_005848130.1	PSC69530.1
OG0001244	XP_005848124.1, XP_005847891.1	PSC70780.1, PSC70781.1
OG0001245	XP_005848719.1, XP_005844864.1	PSC72572.1
OG0001246	XP_005848067.1, XP_005848068.1	PSC70754.1
OG0001247	XP_005847629.1	PSC74545.1, PSC74544.1
OG0001248	XP_005842897.1, XP_005847551.1	PSC73785.1
OG0001249	XP_005847554.1	PSC73772.1, PSC73773.1, PSC73774.1
OG0001250	XP_005847731.1	PSC74658.1, PSC74659.1
OG0001251	XP_005847584.1, XP_005847585.1	PSC74430.1
OG0001252	XP_005847781.1	PSC76050.1, PSC76049.1, PSC74418.1
OG0001253	XP_005847783.1	PSC74724.1
OG0001254	XP_005847657.1	PSC74911.1
OG0001255	XP_005847641.1	PSC75159.1, PSC75160.1
OG0001256	XP_005847645.1	PSC74875.1
OG0001257	XP_005847740.1	PSC74583.1, PSC74582.1, PSC74581.1
OG0001258	XP_005847572.1	PSC74360.1, PSC74361.1
OG0001259	XP_005847580.1	PSC74672.1
OG0001260	XP_005847830.1	PSC70217.1
OG0001260	XP_005847831.1	PSC70274.1
OG0001261	XP_005847669.1	PSC70223.1
OG0001262	XP_005843143.1	PSC74725.1
OG0001263	XP_005847620.1	PSC70287.1, PSC74326.1
OG0001264	XP_005843653.1	PSC74403.1
OG0001265	XP_005843697.1	PSC74386.1
OG0001266	XP_005843655.1	PSC74734.1
OG0001267	XP_005843690.1	PSC74510.1, PSC74509.1
OG0001268	XP_005850410.1	PSC68092.1
OG0001268	XP_005850474.1	PSC75454.1, PSC75455.1
OG0001269	XP_005850513.1, XP_005850512.1	PSC72842.1
OG0001270	XP_005842915.1, XP_005842914.1	PSC70716.1
OG0001271	XP_005842952.1	PSC70685.1, PSC70684.1
OG0001272	XP_005844619.1, XP_005844618.1	PSC67130.1, PSC68121.1
OG0001273	XP_005846973.1	PSC76247.1
OG0001274	XP_005847960.1	PSC69536.1, PSC69492.1, PSC71973.1, PSC67628.1
OG0001275	XP_005848020.1	PSC76019.1
OG0001276	XP_005848128.1, XP_005848127.1	PSC69493.1
OG0001279	XP_005844570.1	PSC67004.1, PSC67171.1, PSC67136.1, PSC69167.1
OG0001282	XP_005851975.1	PSC69993.1, PSC69992.1, PSC68468.1
OG0001283	XP_005847421.1, XP_005842710.1	PSC70832.1
OG0001285	XP_005845042.1, XP_005845041.1	PSC68195.1
OG0001288	XP_005846692.1	PSC68934.1, PSC68920.1, PSC68982.1, PSC68965.1
OG0001289	XP_005850150.1	PSC68100.1
OG0001289	XP_005850149.1	PSC68106.1
OG0001290	XP_005850164.1, XP_005850264.1, XP_005850334.1	PSC72443.1
OG0001291	XP_005845553.1, XP_005845664.1, XP_005844808.1	PSC71488.1
OG0001293	XP_005847533.1, XP_005848704.1, XP_005844447.1, XP_005844449.1	PSC73664.1
OG0001294	XP_005847550.1, XP_005842636.1, XP_005842637.1	PSC73555.1
OG0001295	XP_005849225.1	PSC72792.1
OG0001297	XP_005847797.1	PSC74617.1
OG0001298	XP_005851606.1	PSC76801.1
OG0001298	XP_005851306.1	PSC76523.1
OG0001299	XP_005849539.1	PSC76300.1, PSC76301.1, PSC76299.1
OG0001300	XP_005844957.1, XP_005849591.1	PSC75753.1
OG0001301	XP_005849947.1	PSC73916.1, PSC67900.1, PSC67901.1, PSC73756.1
OG0001302	XP_005852194.1, XP_005845414.1, XP_005845451.1	PSC76151.1
OG0001303	XP_005851029.1, XP_005844910.1, XP_005850254.1, XP_005846223.1, XP_005846224.1	PSC71281.1
OG0001305	YP_004347746.1, XP_005843480.1	PSC74371.1
OG0001306	XP_005843528.1	PSC74991.1, PSC75078.1
OG0001307	XP_005844331.1	PSC73289.1
OG0001308	XP_005842742.1, XP_005844093.1	PSC69281.1, PSC69282.1, PSC69279.1, PSC69280.1
OG0001309	XP_005851792.1, XP_005846997.1, XP_005843368.1	PSC67269.1, PSC74977.1
OG0001315	XP_005846625.1	PSC69315.1, PSC69314.1
OG0001316	XP_005842916.1	PSC70738.1
OG0001317	XP_005847688.1	PSC70243.1
OG0001318	XP_005846777.1	PSC69358.1
OG0001319	XP_005846774.1	PSC69359.1
OG0001320	XP_005846780.1	PSC69327.1
OG0001321	XP_005845106.1	PSC68579.1, PSC68580.1
OG0001322	XP_005846628.1	PSC69363.1
OG0001323	XP_005846631.1	PSC69404.1
OG0001324	XP_005846771.1	PSC69405.1
OG0001325	XP_005849739.1	PSC76898.1
OG0001326	XP_005846945.1	PSC72109.1
OG0001327	XP_005845911.1	PSC70114.1, PSC70113.1
OG0001328	XP_005845800.1, XP_005845912.1	PSC70024.1
OG0001330	XP_005845799.1	PSC70125.1, PSC75329.1
OG0001331	XP_005845901.1	PSC75211.1, PSC75212.1
OG0001332	XP_005845197.1	PSC73793.1
OG0001333	XP_005845767.1, XP_005842630.1	PSC75012.1
OG0001334	XP_005845822.1	PSC69344.1
OG0001335	XP_005843235.1	PSC69203.1, PSC69202.1
OG0001336	XP_005845731.1	PSC74832.1
OG0001338	XP_005843412.1	PSC72994.1
OG0001339	XP_005844458.1	PSC69087.1
OG0001340	XP_005844556.1, XP_005844557.1	PSC69094.1
OG0001341	XP_005848019.1	PSC69222.1
OG0001342	XP_005851338.1	PSC76762.1
OG0001344	XP_005846908.1	PSC72123.1
OG0001346	XP_005846479.1	PSC68324.1
OG0001347	XP_005844103.1	PSC74841.1
OG0001348	XP_005847390.1	PSC75759.1
OG0001349	XP_005844483.1	PSC67135.1, PSC69101.1
OG0001351	XP_005844577.1	PSC69106.1
OG0001352	XP_005844496.1	PSC69987.1
OG0001353	XP_005847500.1	PSC74126.1
OG0001354	XP_005844504.1	PSC67980.1
OG0001355	XP_005844593.1	PSC70022.1, PSC70023.1
OG0001356	XP_005844600.1	PSC67990.1, PSC67989.1
OG0001357	XP_005844513.1	PSC67947.1, PSC67948.1
OG0001358	XP_005844518.1	PSC67998.1
OG0001359	XP_005844526.1	PSC70106.1
OG0001360	XP_005844531.1	PSC70255.1
OG0001361	XP_005844630.1	PSC70155.1
OG0001362	XP_005844533.1	PSC70177.1
OG0001363	XP_005844549.1	PSC70185.1
OG0001364	XP_005850113.1	PSC72760.1
OG0001365	XP_005844841.1, XP_005844840.1	PSC69205.1
OG0001366	XP_005843255.1	PSC69269.1, PSC75186.1
OG0001367	XP_005843299.1	PSC69247.1
OG0001368	XP_005844930.1	PSC69227.1
OG0001369	XP_005843296.1	PSC69208.1
OG0001370	XP_005843239.1	PSC69188.1
OG0001371	XP_005843240.1	PSC69261.1
OG0001372	XP_005843236.1	PSC69221.1
OG0001373	XP_005843272.1	PSC69276.1, PSC69275.1
OG0001374	XP_005843270.1	PSC69229.1
OG0001376	XP_005849652.1	PSC76727.1
OG0001377	XP_005844982.1	PSC73917.1
OG0001378	XP_005849883.1	PSC76491.1
OG0001379	XP_005852218.1	PSC68925.1
OG0001380	XP_005844980.1	PSC73745.1
OG0001381	XP_005844971.1	PSC68725.1
OG0001382	XP_005844865.1	PSC68715.1, PSC68716.1
OG0001383	XP_005844967.1	PSC68753.1, PSC68766.1
OG0001385	XP_005844886.1	PSC73741.1
OG0001386	XP_005852203.1	PSC67588.1, PSC67589.1
OG0001387	XP_005843811.1	PSC72361.1
OG0001388	XP_005844768.1	PSC71777.1
OG0001389	XP_005849512.1	PSC72608.1
OG0001390	XP_005849961.1	PSC76643.1
OG0001391	XP_005849958.1	PSC76586.1
OG0001392	XP_005849964.1	PSC76394.1, PSC76395.1
OG0001393	XP_005843770.1	PSC73662.1, PSC73663.1
OG0001394	XP_005843775.1	PSC67914.1
OG0001395	XP_005843756.1	PSC72434.1
OG0001396	XP_005843824.1	PSC73686.1
OG0001397	XP_005843819.1	PSC73262.1
OG0001398	XP_005849956.1	PSC74148.1
OG0001399	XP_005849702.1	PSC77028.1
OG0001400	XP_005845841.1	PSC76587.1
OG0001401	XP_005849889.1, XP_005849888.1	PSC76156.1
OG0001402	XP_005849874.1	PSC76401.1
OG0001404	XP_005849695.1	PSC73643.1
OG0001405	XP_005849936.1	PSC75621.1, PSC75622.1, PSC75623.1
OG0001407	XP_005849688.1	PSC75926.1, PSC75925.1
OG0001408	XP_005851698.1	PSC67147.1, PSC68732.1
OG0001409	XP_005851986.1	PSC73519.1
OG0001410	XP_005849942.1	PSC73264.1, PSC73263.1
OG0001411	XP_005849594.1	PSC75370.1, PSC75371.1
OG0001412	XP_005849598.1	PSC75272.1, PSC75273.1
OG0001413	XP_005849859.1	PSC75520.1, PSC75282.1
OG0001414	XP_005849849.1	PSC75896.1
OG0001415	XP_005849845.1, XP_005843631.1	PSC75450.1
OG0001417	XP_005849842.1	PSC75553.1, PSC75552.1
OG0001418	XP_005849878.1	PSC76529.1, PSC76528.1
OG0001419	XP_005849914.1	PSC76593.1
OG0001420	XP_005849871.1	PSC76407.1
OG0001421	XP_005850649.1	PSC75304.1
OG0001422	XP_005849919.1	PSC75423.1
OG0001423	XP_005849920.1	PSC75350.1
OG0001424	XP_005847624.1	PSC74463.1
OG0001425	XP_005849602.1	PSC75780.1, PSC75288.1
OG0001426	XP_005849861.1	PSC75633.1
OG0001427	XP_005843281.1, XP_005843290.1	PSC69232.1
OG0001428	XP_005847102.1	PSC72301.1
OG0001429	XP_005849840.1	PSC75463.1, PSC75527.1
OG0001430	XP_005849554.1	PSC68011.1
OG0001431	XP_005849812.1	PSC67954.1
OG0001433	XP_005844869.1	PSC73732.1, PSC73733.1
OG0001434	XP_005849809.1	PSC67987.1
OG0001435	XP_005847274.1	PSC76583.1, PSC76979.1
OG0001436	XP_005848992.1	PSC75474.1, PSC75475.1
OG0001437	XP_005848997.1, XP_005848998.1	PSC68134.1
OG0001438	XP_005847822.1	PSC69337.1
OG0001439	XP_005848794.1	PSC69785.1
OG0001441	XP_005849005.1, XP_005849004.1	PSC69728.1
OG0001442	XP_005848757.1	PSC75407.1
OG0001443	XP_005848960.1	PSC75733.1
OG0001444	XP_005845382.1	PSC72939.1, PSC72938.1
OG0001445	XP_005848956.1	PSC75675.1, PSC75676.1
OG0001446	XP_005848951.1	PSC75725.1
OG0001447	XP_005848950.1	PSC76007.1
OG0001448	XP_005850442.1	PSC69833.1
OG0001449	XP_005848718.1	PSC76290.1, PSC76291.1
OG0001450	XP_005845230.1	PSC68594.1
OG0001451	XP_005848714.1	PSC76429.1
OG0001452	XP_005848721.1	PSC77000.1, PSC76999.1
OG0001453	XP_005848725.1	PSC76463.1
OG0001454	XP_005848724.1	PSC75742.1
OG0001455	XP_005848731.1	PSC75305.1
OG0001456	XP_005848944.1	PSC75549.1
OG0001457	XP_005848726.1	PSC75328.1
OG0001459	XP_005848870.1	PSC75494.1
OG0001460	XP_005848949.1	PSC75856.1
OG0001461	XP_005848695.1	PSC76834.1
OG0001462	XP_005851288.1, XP_005851289.1	PSC76816.1
OG0001463	XP_005848890.1	PSC75564.1
OG0001464	XP_005848666.1	PSC75954.1
OG0001465	XP_005848917.1	PSC76687.1
OG0001466	XP_005848918.1	PSC76515.1, PSC76516.1
OG0001467	XP_005852171.1	PSC69348.1
OG0001468	XP_005848850.1	PSC75562.1
OG0001469	XP_005848853.1	PSC75432.1
OG0001470	XP_005848841.1	PSC75982.1, PSC75983.1
OG0001472	XP_005847404.1, XP_005850165.1	PSC74132.1
OG0001473	XP_005845888.1	PSC69986.1
OG0001474	XP_005848855.1	PSC75833.1
OG0001475	XP_005848844.1	PSC75781.1
OG0001476	XP_005848814.1	PSC73822.1, PSC67125.1
OG0001477	XP_005848645.1	PSC75253.1, PSC75254.1
OG0001478	XP_005843202.1	PSC68430.1
OG0001479	XP_005850590.1	PSC71490.1
OG0001480	XP_005850893.1, XP_005842601.1	PSC71586.1
OG0001481	XP_005850593.1	PSC71492.1
OG0001482	XP_005850854.1	PSC72753.1, PSC72754.1
OG0001483	XP_005850629.1	PSC71562.1, PSC71561.1
OG0001484	XP_005850881.1	PSC71447.1
OG0001485	XP_005850597.1	PSC71472.1
OG0001486	XP_005850887.1	PSC71598.1
OG0001487	XP_005850847.1	PSC67458.1
OG0001488	XP_005850535.1	PSC72732.1
OG0001489	XP_005850530.1, XP_005843245.1	PSC72601.1
OG0001490	XP_005850822.1, XP_005850823.1	PSC72676.1
OG0001491	XP_005850518.1	PSC72796.1, PSC72795.1
OG0001492	XP_005850808.1	PSC72630.1
OG0001493	XP_005850505.1	PSC72696.1
OG0001494	XP_005850782.1	PSC72746.1, PSC72745.1
OG0001495	XP_005846557.1	PSC73480.1
OG0001496	XP_005851334.1	PSC76855.1
OG0001497	XP_005848838.1	PSC75932.1
OG0001498	XP_005843933.1, XP_005843934.1	PSC68801.1
OG0001499	XP_005843137.1	PSC74615.1
OG0001500	XP_005842646.1, XP_005843959.1	PSC74650.1
OG0001501	XP_005843916.1	PSC74719.1
OG0001502	XP_005843945.1	PSC74770.1
OG0001503	XP_005845792.1	PSC69984.1
OG0001504	XP_005843960.1	PSC67504.1, PSC67505.1
OG0001505	XP_005842656.1, XP_005843943.1	PSC74625.1
OG0001507	XP_005843958.1	PSC74380.1, PSC68781.1
OG0001508	XP_005843351.1	PSC70038.1
OG0001509	XP_005850385.1	PSC71595.1
OG0001510	XP_005843948.1	PSC74423.1, PSC74401.1
OG0001511	XP_005846800.1	PSC72329.1
OG0001513	XP_005848196.1	PSC76098.1, PSC76099.1
OG0001514	XP_005848098.1	PSC69556.1
OG0001515	XP_005848106.1	PSC69554.1
OG0001516	XP_005848018.1	PSC76717.1, PSC76716.1
OG0001517	XP_005848096.1, XP_005842699.1	PSC69472.1
OG0001518	XP_005844439.1	PSC73413.1
OG0001519	XP_005848140.1	PSC76500.1, PSC76501.1
OG0001520	XP_005847980.1	PSC76835.1
OG0001522	XP_005847963.1	PSC69548.1
OG0001523	XP_005844010.1, XP_005848089.1	PSC69506.1
OG0001524	XP_005848010.1	PSC74896.1, PSC74897.1
OG0001525	XP_005850213.1	PSC75321.1, PSC75320.1
OG0001527	XP_005850223.1	PSC75984.1
OG0001528	XP_005850208.1	PSC69805.1
OG0001529	XP_005850321.1	PSC72429.1, PSC72430.1
OG0001530	XP_005845210.1	PSC73714.1
OG0001531	XP_005850062.1	PSC72435.1
OG0001532	XP_005850075.1	PSC72488.1
OG0001533	XP_005850349.1	PSC72623.1
OG0001534	XP_005850105.1	PSC72759.1
OG0001535	XP_005850106.1	PSC72801.1
OG0001536	XP_005850096.1	PSC70511.1, PSC70512.1
OG0001537	XP_005850093.1	PSC70556.1
OG0001538	XP_005847363.1	PSC75572.1
OG0001539	XP_005845621.1	PSC74189.1
OG0001540	XP_005843626.1	PSC74142.1
OG0001541	XP_005850130.1, XP_005850131.1	PSC71631.1
OG0001542	XP_005850136.1	PSC71639.1, PSC71459.1
OG0001543	XP_005850071.1	PSC72487.1
OG0001544	XP_005850384.1	PSC71628.1, PSC71629.1
OG0001545	XP_005850272.1	PSC72350.1
OG0001546	XP_005850311.1	PSC72471.1
OG0001547	XP_005846885.1	PSC72206.1, PSC72207.1
OG0001548	XP_005847191.1	PSC71044.1, PSC71045.1
OG0001549	XP_005847197.1	PSC71171.1, PSC71172.1
OG0001550	XP_005847199.1	PSC71050.1, PSC71051.1
OG0001551	XP_005847125.1	PSC72095.1, PSC72096.1
OG0001552	XP_005845163.1	PSC68202.1
OG0001553	XP_005845762.1, XP_005846826.1, XP_005846617.1	PSC71740.1
OG0001554	XP_005852169.1	PSC69367.1
OG0001555	XP_005845236.1	PSC68582.1
OG0001556	XP_005845120.1	PSC68564.1
OG0001557	XP_005845121.1	PSC68645.1
OG0001558	XP_005846696.1	PSC68642.1
OG0001559	XP_005845030.1	PSC68191.1
OG0001560	XP_005845942.1	PSC72001.1, PSC71993.1
OG0001561	XP_005846081.1	PSC71884.1, PSC71888.1
OG0001562	XP_005851258.1	PSC73667.1
OG0001564	XP_005846088.1	PSC67630.1, PSC67619.1
OG0001566	XP_005846076.1	PSC71946.1
OG0001567	XP_005846042.1	PSC71904.1
OG0001568	XP_005846176.1	PSC72050.1, PSC72049.1
OG0001569	XP_005846044.1	PSC72011.1
OG0001570	XP_005846041.1	PSC71895.1
OG0001571	XP_005845598.1	PSC74235.1
OG0001572	XP_005846092.1, XP_005843529.1	PSC71972.1
OG0001573	XP_005845975.1	PSC71950.1
OG0001574	XP_005844949.1	PSC71380.1
OG0001575	XP_005846110.1	PSC71864.1
OG0001576	XP_005846139.1	PSC72023.1
OG0001577	XP_005846135.1	PSC72024.1
OG0001578	XP_005844856.1	PSC71967.1
OG0001579	XP_005846025.1	PSC71890.1, PSC74120.1
OG0001580	XP_005845833.1, XP_005845832.1	PSC69055.1
OG0001581	XP_005846026.1	PSC71921.1
OG0001583	XP_005844940.1, XP_005848609.1	PSC73386.1, PSC73512.1
OG0001584	XP_005846147.1	PSC72030.1, PSC72031.1
OG0001585	XP_005846023.1	PSC72014.1
OG0001586	XP_005846013.1	PSC71873.1
OG0001587	XP_005846141.1	PSC72009.1
OG0001588	XP_005852012.1	PSC67110.1
OG0001589	XP_005846172.1	PSC72045.1
OG0001590	XP_005849033.1	PSC76694.1
OG0001591	XP_005845005.1	PSC73270.1
OG0001593	XP_005845019.1, XP_005845020.1	PSC67684.1
OG0001594	XP_005846212.1	PSC67657.1
OG0001595	XP_005844925.1	PSC67655.1
OG0001596	XP_005844725.1	PSC71698.1
OG0001597	XP_005844747.1	PSC71723.1
OG0001598	XP_005846868.1	PSC72195.1
OG0001599	XP_005847406.1	PSC75978.1
OG0001600	XP_005843609.1	PSC67276.1
OG0001601	XP_005843542.1, XP_005842584.1	PSC74338.1
OG0001602	XP_005846849.1	PSC72287.1
OG0001603	XP_005843613.1, XP_005850013.1	PSC70567.1
OG0001604	XP_005845642.1	PSC70627.1
OG0001606	XP_005843554.1	PSC70609.1
OG0001607	XP_005843569.1	PSC70505.1
