Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_variabilis_genome_proteins
OG0000760	PSC76157.1	XP_005850965.1, XP_005851928.1, XP_005851926.1
OG0000761	PSC77044.1	XP_005851580.1
OG0000761	PSC72747.1	XP_005850533.1
OG0000762	PSC68676.1	XP_005846618.1
OG0000764	PSC67835.1	XP_005846188.1, XP_005843787.1, XP_005845300.1
OG0000765	PSC77056.1	XP_005845808.1
OG0000766	PSC69419.1, PSC69418.1, PSC69420.1, PSC69417.1	XP_005846762.1
OG0000767	PSC72356.1	XP_005850992.1, XP_005846797.1
OG0000768	PSC72529.1, PSC72531.1, PSC72530.1	XP_005850290.1
OG0000769	PSC71214.1	XP_005850327.1, XP_005848700.1, XP_005847002.1
OG0000770	PSC68386.1	XP_005846504.1
OG0000771	PSC69371.1	XP_005848425.1
OG0000771	PSC71501.1, PSC69634.1	XP_005846507.1
OG0000772	PSC68395.1	XP_005846506.1
OG0000773	PSC71290.1	XP_005846256.1, XP_005846432.1
OG0000774	PSC68393.1, PSC68392.1	XP_005846477.1
OG0000775	PSC76379.1	XP_005845459.1
OG0000776	PSC69225.1	XP_005843300.1
OG0000776	PSC76276.1	XP_005845316.1
OG0000777	PSC76187.1, PSC76186.1	XP_005845403.1
OG0000778	PSC76219.1, PSC76218.1	XP_005845413.1
OG0000779	PSC73004.1, PSC73197.1	XP_005845244.1
OG0000780	PSC73440.1	XP_005844349.1, XP_005844333.1
OG0000781	PSC71483.1	XP_005850914.1
OG0000782	PSC74286.1	XP_005845561.1
OG0000783	PSC71790.1	XP_005844677.1, XP_005844757.1
OG0000784	PSC73977.1	XP_005845639.1
OG0000784	PSC74083.1	XP_005845531.1
OG0000785	PSC74125.1	XP_005845643.1, XP_005845640.1
OG0000786	PSC75052.1	XP_005848149.1
OG0000787	PSC67008.1, PSC67050.1, PSC67121.1	XP_005844416.1
OG0000788	PSC68421.1, PSC68403.1	XP_005843164.1
OG0000789	PSC68404.1	XP_005850690.1, XP_005843196.1
OG0000790	PSC71841.1	XP_005842935.1, XP_005842934.1
OG0000791	PSC71736.1	XP_005844724.1
OG0000792	PSC74111.1, PSC68768.1, PSC68769.1	XP_005851549.1
OG0000793	PSC71732.1	XP_005844806.1, XP_005844807.1
OG0000794	PSC76179.1	XP_005843369.1, XP_005843370.1
OG0000795	PSC76878.1	XP_005849307.1
OG0000795	PSC76133.1	XP_005847713.1
OG0000796	PSC76813.1	XP_005843317.1, XP_005843318.1
OG0000797	PSC76821.1, PSC76820.1	XP_005843316.1
OG0000798	PSC70358.1	XP_005848270.1
OG0000798	PSC70326.1	XP_005848271.1
OG0000799	PSC68071.1, PSC68070.1	XP_005848582.1
OG0000800	PSC70175.1	XP_005844241.1, XP_005844158.1
OG0000801	PSC70436.1	XP_005848475.1
OG0000801	PSC70396.1	XP_005848272.1
OG0000802	PSC73163.1	XP_005843416.1
OG0000803	PSC71060.1, PSC71061.1	XP_005846998.1, XP_005846996.1
OG0000805	PSC69495.1	XP_005847967.1, XP_005847973.1
OG0000806	PSC75155.1, PSC75156.1	XP_005852091.1
OG0000806	PSC74973.1	XP_005851751.1
OG0000807	PSC70344.1	XP_005848215.1
OG0000808	PSC74513.1, PSC67123.1, PSC67122.1, PSC74531.1	XP_005847559.1
OG0000809	PSC74422.1	XP_005847745.1
OG0000810	PSC74365.1	XP_005847760.1
OG0000810	PSC74497.1	XP_005847762.1
OG0000811	PSC67957.1	XP_005849610.1
OG0000811	PSC71948.1	XP_005843344.1, XP_005852273.1
OG0000812	PSC70152.1	XP_005842746.1, XP_005842744.1, XP_005844229.1, XP_005844228.1
OG0000813	PSC70136.1	XP_005844141.1
OG0000813	PSC70267.1	XP_005844140.1
OG0000814	PSC70200.1	XP_005847836.1, XP_005847835.1
OG0000815	PSC69575.1, PSC69576.1	XP_005846339.1
OG0000816	PSC74804.1	XP_005843128.1, XP_005843127.1
OG0000817	PSC74636.1	XP_005843091.1
OG0000818	PSC74763.1	XP_005843703.1, XP_005843909.1
OG0000820	PSC67631.1, PSC67624.1	XP_005845944.1
OG0000822	PSC72787.1	XP_005848014.1
OG0000823	PSC68053.1	XP_005843177.1
OG0000824	PSC70880.1	XP_005842607.1, XP_005848350.1
OG0000826	PSC71846.1	XP_005846099.1, XP_005842610.1, XP_005844783.1, XP_005842738.1
OG0000827	PSC68959.1, PSC68958.1	XP_005844509.1, XP_005848650.1
OG0000828	PSC68691.1	XP_005846753.1
OG0000828	PSC72852.1	XP_005850570.1
OG0000829	PSC76149.1	XP_005843989.1
OG0000829	PSC76520.1, PSC76521.1	XP_005842740.1
OG0000830	PSC72973.1	XP_005843342.1
OG0000830	PSC75137.1, PSC75136.1	XP_005851081.1
OG0000831	PSC72046.1	XP_005850747.1
OG0000832	PSC70418.1	XP_005848312.1, XP_005844903.1, XP_005849951.1
OG0000833	PSC76963.1, PSC76964.1, PSC76339.1	XP_005849242.1, XP_005849243.1, XP_005849241.1
OG0000834	PSC73181.1	XP_005848994.1, XP_005848995.1
OG0000839	PSC70914.1	XP_005845141.1, XP_005850567.1, XP_005852103.1, XP_005848375.1, XP_005848351.1
OG0000840	PSC75274.1	XP_005848879.1, XP_005847697.1, XP_005847695.1, XP_005848878.1, XP_005848877.1
OG0000841	PSC76008.1	XP_005848835.1
OG0000841	PSC75736.1	XP_005848834.1
OG0000842	PSC72743.1, PSC72934.1, PSC72933.1	XP_005848990.1, XP_005850355.1
OG0000843	PSC74007.1, PSC74162.1	XP_005842550.1
OG0000843	PSC74266.1	XP_005845810.1, XP_005842643.1
OG0000844	PSC74519.1, PSC74521.1, PSC74520.1	XP_005844473.1, XP_005848430.1
OG0000845	PSC76389.1	XP_005844220.1
OG0000845	PSC76387.1, PSC76388.1	XP_005851645.1
OG0000846	PSC67884.1	XP_005843783.1
OG0000846	PSC75690.1	XP_005843782.1
OG0000847	PSC68314.1	XP_005846472.1, XP_005845219.1
OG0000848	PSC76620.1, PSC76619.1	XP_005845308.1
OG0000849	PSC69659.1	XP_005850667.1, XP_005846356.1, XP_005846357.1
OG0000850	PSC75627.1	XP_005848622.1, XP_005844193.1, XP_005852029.1
OG0000851	PSC73998.1	XP_005845571.1
OG0000851	PSC69238.1, PSC69250.1	XP_005843293.1
OG0000852	PSC68481.1	XP_005849234.1, XP_005851812.1, XP_005846181.1, XP_005843167.1
OG0000854	PSC76003.1, PSC73229.1, PSC70070.1, PSC70566.1	XP_005843262.1, XP_005843261.1, XP_005848296.1
OG0000858	PSC69362.1	XP_005846768.1
OG0000859	PSC69775.1	XP_005850462.1
OG0000859	PSC75809.1	XP_005850460.1
OG0000860	PSC70940.1	XP_005852112.1, XP_005847267.1
OG0000861	PSC74916.1	XP_005845745.1, XP_005845744.1
OG0000862	PSC75820.1, PSC75819.1	XP_005851391.1
OG0000863	PSC70090.1, PSC70089.1	XP_005845795.1
OG0000864	PSC70096.1	XP_005845914.1
OG0000867	PSC68635.1	XP_005845110.1
OG0000869	PSC70636.1	XP_005843561.1
OG0000870	PSC67300.1	XP_005845859.1
OG0000871	PSC67301.1	XP_005845867.1
OG0000872	PSC75208.1, PSC75209.1, PSC75210.1	XP_005845835.1
OG0000873	PSC75187.1	XP_005845726.1
OG0000874	PSC75889.1, PSC75888.1	XP_005848738.1
OG0000875	PSC73681.1	XP_005844732.1
OG0000876	PSC73317.1	XP_005844176.1, XP_005844177.1
OG0000877	PSC73141.1	XP_005844559.1
OG0000878	PSC68285.1	XP_005844106.1, XP_005844105.1
OG0000879	PSC68272.1	XP_005844014.1
OG0000881	PSC72539.1	XP_005847506.1
OG0000882	PSC71414.1	XP_005844029.1, XP_005844027.1
OG0000883	PSC74251.1	XP_005844525.1
OG0000884	PSC75176.1, PSC75175.1	XP_005843871.1
OG0000885	PSC67961.1	XP_005844597.1
OG0000886	PSC70433.1	XP_005848859.1, XP_005848858.1, XP_005848499.1
OG0000887	PSC70074.1, PSC70073.1, PSC71839.1	XP_005844624.1
OG0000888	PSC70291.1	XP_005844641.1
OG0000889	PSC76238.1	XP_005845324.1
OG0000890	PSC69198.1, PSC69242.1, PSC69197.1	XP_005844834.1
OG0000891	PSC68705.1, PSC75478.1	XP_005851149.1
OG0000892	PSC69304.1	XP_005843234.1
OG0000893	PSC69290.1, PSC69291.1	XP_005843285.1
OG0000894	PSC73699.1	XP_005845202.1, XP_005849303.1, XP_005843057.1
OG0000895	PSC72827.1	XP_005850101.1
OG0000896	PSC73953.1	XP_005844871.1
OG0000896	PSC75548.1	XP_005851427.1
OG0000897	PSC74333.1, PSC74309.1	XP_005845683.1
OG0000898	PSC67539.1	XP_005848407.1
OG0000899	PSC68813.1	XP_005844962.1, XP_005842685.1, XP_005842649.1
OG0000900	PSC70525.1	XP_005843070.1
OG0000901	PSC68731.1, PSC68730.1	XP_005844858.1, XP_005844857.1
OG0000902	PSC71287.1	XP_005844954.1
OG0000903	PSC73604.1	XP_005845267.1
OG0000904	PSC70989.1, PSC70848.1	XP_005847297.1
OG0000905	PSC67296.1, PSC67052.1, PSC67006.1	XP_005844381.1
OG0000906	PSC68937.1	XP_005852113.1, XP_005851885.1
OG0000907	PSC76274.1	XP_005849616.1
OG0000908	PSC76885.1	XP_005849651.1
OG0000909	PSC73391.1	XP_005843564.1
OG0000910	PSC67832.1, PSC67833.1	XP_005849821.1
OG0000911	PSC75585.1	XP_005849925.1, XP_005849926.1
OG0000912	PSC75806.1	XP_005842602.1
OG0000913	PSC75786.1	XP_005848627.1
OG0000915	PSC69271.1	XP_005843238.1
OG0000916	PSC76563.1	XP_005849907.1
OG0000917	PSC74638.1, PSC75774.1	XP_005849671.1
OG0000918	PSC75787.1	XP_005849922.1, XP_005849921.1
OG0000919	PSC67834.1	XP_005849567.1, XP_005849568.1
OG0000920	PSC67846.1, PSC67848.1, PSC67847.1	XP_005849828.1
OG0000921	PSC67881.1	XP_005849563.1, XP_005849564.1
OG0000922	PSC67855.1, PSC71899.1, PSC67830.1	XP_005849571.1
OG0000923	PSC67970.1, PSC67968.1, PSC67969.1	XP_005849556.1
OG0000924	PSC67340.1	XP_005851982.1
OG0000925	PSC73988.1, PSC76863.1	XP_005849807.1
OG0000926	PSC75991.1	XP_005848983.1
OG0000927	PSC69736.1, PSC70006.1	XP_005848787.1
OG0000928	PSC71994.1	XP_005846107.1
OG0000929	PSC69711.1, PSC69806.1	XP_005848789.1
OG0000930	PSC75971.1	XP_005848967.1
OG0000931	PSC75285.1	XP_005848761.1, XP_005848974.1
OG0000932	PSC76997.1, PSC72771.1	XP_005850351.1
OG0000933	PSC68328.1	XP_005846299.1
OG0000933	PSC73972.1	XP_005845665.1
OG0000934	PSC74099.1	XP_005843576.1
OG0000935	PSC76741.1, PSC76740.1	XP_005848930.1
OG0000936	PSC75709.1	XP_005848939.1
OG0000937	PSC75469.1	XP_005848933.1
OG0000939	PSC67282.1	XP_005844200.1
OG0000940	PSC76907.1	XP_005843082.1, XP_005851690.1
OG0000941	PSC75534.1	XP_005848647.1, XP_005846274.1
OG0000942	PSC75365.1	XP_005843747.1
OG0000942	PSC76561.1	XP_005849606.1
OG0000943	PSC75590.1	XP_005848636.1
OG0000944	PSC74252.1	XP_005845607.1
OG0000945	PSC73903.1, PSC73902.1, PSC73901.1	XP_005848602.1
OG0000946	PSC71618.1	XP_005850865.1
OG0000947	PSC68609.1	XP_005850877.1, XP_005845237.1
OG0000948	PSC71614.1	XP_005845231.1, XP_005850594.1
OG0000949	PSC71605.1	XP_005850888.1
OG0000950	PSC71457.1	XP_005850892.1
OG0000951	PSC67462.1	XP_005850833.1
OG0000952	PSC69240.1, PSC69239.1, PSC69224.1	XP_005843218.1
OG0000953	PSC67454.1, PSC67455.1	XP_005850840.1
OG0000954	PSC72833.1	XP_005850520.1
OG0000954	PSC72799.1	XP_005850521.1
OG0000955	PSC76585.1	XP_005844514.1
OG0000956	PSC72648.1, PSC72649.1, PSC72650.1	XP_005850500.1
OG0000957	PSC75951.1	XP_005847245.1
OG0000959	PSC68160.1	XP_005852061.1
OG0000960	PSC74490.1	XP_005843953.1
OG0000963	PSC76480.1	XP_005849282.1
OG0000964	PSC70939.1, PSC70909.1, PSC73971.1	XP_005843629.1
OG0000965	PSC74559.1, PSC74558.1	XP_005843865.1, XP_005843864.1
OG0000966	PSC67208.1	XP_005848588.1
OG0000967	PSC74534.1, PSC74535.1	XP_005843914.1
OG0000968	PSC75591.1, PSC75592.1, PSC70286.1	XP_005844295.1
OG0000969	PSC74446.1	XP_005842755.1
OG0000970	PSC76614.1, PSC76615.1	XP_005842736.1, XP_005848028.1
OG0000971	PSC69457.1, PSC69458.1	XP_005842657.1, XP_005848097.1
OG0000972	PSC69481.1	XP_005847939.1, XP_005847938.1
OG0000973	PSC76822.1	XP_005851310.1
OG0000974	PSC69519.1	XP_005847940.1
OG0000975	PSC76748.1	XP_005849042.1
OG0000976	PSC68278.1	XP_005849976.1, XP_005845794.1
OG0000977	PSC68128.1	XP_005850161.1
OG0000978	PSC69508.1	XP_005847951.1
OG0000979	PSC71111.1	XP_005842808.1
OG0000980	PSC70731.1	XP_005847874.1, XP_005844224.1
OG0000981	PSC69832.1	XP_005850459.1
OG0000982	PSC75718.1	XP_005850466.1
OG0000983	PSC72574.1	XP_005850324.1
OG0000984	PSC72508.1, PSC72509.1	XP_005850083.1
OG0000985	PSC72485.1, PSC72484.1	XP_005850084.1
OG0000986	PSC72377.1	XP_005850316.1
OG0000987	PSC72540.1	XP_005850077.1
OG0000988	PSC74628.1	XP_005843156.1
OG0000989	PSC68510.1	XP_005852267.1
OG0000990	PSC68082.1, PSC68083.1	XP_005850156.1
OG0000991	PSC75740.1	XP_005850214.1
OG0000992	PSC72149.1	XP_005846842.1, XP_005842605.1
OG0000993	PSC68196.1, PSC68197.1	XP_005845039.1
OG0000994	PSC68619.1, PSC68618.1	XP_005845240.1
OG0000995	PSC70095.1	XP_005851350.1
OG0000996	PSC68944.1	XP_005843931.1, XP_005846828.1
OG0000997	PSC73487.1	XP_005846116.1
OG0000998	PSC71931.1	XP_005852297.1
OG0000999	PSC71855.1	XP_005846102.1
OG0001001	PSC70696.1	XP_005848034.1
OG0001002	PSC71984.1	XP_005846132.1
OG0001003	PSC71531.1	XP_005845002.1, XP_005850390.1
OG0001004	PSC74978.1	XP_005852100.1, XP_005852101.1
OG0001005	PSC69584.1, PSC67870.1, PSC67869.1	XP_005846194.1
OG0001006	PSC67863.1, PSC67864.1	XP_005846055.1
OG0001007	PSC76194.1	XP_005847998.1
OG0001008	PSC67682.1, PSC67681.1, PSC67680.1	XP_005846205.1
OG0001009	PSC67667.1	XP_005844918.1, XP_005849231.1
OG0001010	PSC70548.1	XP_005850409.1
OG0001012	PSC70928.1, PSC68629.1	XP_005845112.1
OG0001013	PSC74001.1	XP_005843628.1
OG0001014	PSC70608.1	XP_005843617.1
OG0001015	PSC73705.1, PSC73706.1	XP_005845094.1
OG0001016	PSC68124.1	XP_005850416.1
OG0001017	PSC69840.1, PSC69841.1	XP_005850169.1
OG0001018	PSC72809.1	XP_005850858.1, XP_005850566.1
OG0001020	PSC72719.1	XP_005846098.1
OG0001021	PSC72714.1	XP_005850938.1
OG0001022	PSC72664.1	XP_005850714.1
OG0001023	PSC72763.1	XP_005850994.1
OG0001024	PSC72659.1, PSC72660.1	XP_005850719.1
OG0001025	PSC72931.1, PSC72930.1	XP_005850668.1
OG0001026	PSC70340.1	XP_005848497.1
OG0001027	PSC72864.1	XP_005850964.1
OG0001028	PSC71592.1	XP_005850659.1
OG0001029	PSC75401.1	XP_005849675.1
OG0001030	PSC72695.1, PSC74058.1	XP_005850976.1
OG0001031	PSC71516.1, PSC68303.1	XP_005850619.1
OG0001032	PSC69029.1	XP_005850726.1
OG0001034	PSC73409.1	XP_005844419.1
OG0001035	PSC69014.1	XP_005850771.1, XP_005851047.1
OG0001036	PSC74954.1, PSC74955.1	XP_005845827.1
OG0001037	PSC70313.1	XP_005848451.1
OG0001037	PSC70014.1	XP_005845790.1
OG0001038	PSC71041.1, PSC76131.1, PSC74984.1	XP_005845765.1
OG0001039	PSC67345.1	XP_005842761.1
OG0001040	PSC72967.1	XP_005849986.1, XP_005852023.1
OG0001041	PSC75131.1, PSC75132.1	XP_005851759.1
OG0001043	PSC71016.1	XP_005846990.1
OG0001044	PSC72358.1, PSC74915.1	XP_005852110.1
OG0001045	PSC75010.1, PSC75011.1	XP_005851772.1
OG0001046	PSC75088.1, PSC75090.1, PSC75089.1	XP_005852120.1
OG0001047	PSC75046.1	XP_005851801.1, XP_005851802.1
OG0001048	PSC75154.1	XP_005851796.1, XP_005851795.1
OG0001049	PSC75030.1	XP_005851790.1
OG0001050	PSC76651.1	XP_005845480.1, XP_005845476.1
OG0001051	PSC75021.1	XP_005852147.1
OG0001051	PSC72395.1	XP_005852145.1
OG0001052	PSC74306.1, PSC74304.1, PSC74305.1	XP_005852242.1
OG0001053	PSC74181.1	XP_005851908.1
OG0001055	PSC73471.1	XP_005844216.1
OG0001056	PSC73606.1	XP_005845204.1, XP_005842734.1, XP_005845205.1
OG0001057	PSC75521.1, PSC68298.1, PSC68246.1	XP_005848683.1
OG0001058	PSC67102.1, PSC70503.1, PSC70502.1	XP_005844427.1
OG0001059	PSC74828.1	XP_005843527.1, XP_005845917.1
OG0001060	PSC76140.1	XP_005852321.1
OG0001061	PSC76769.1, PSC76770.1, PSC75425.1	XP_005849034.1
OG0001062	PSC68094.1	XP_005848999.1
OG0001062	PSC67430.1	XP_005849230.1
OG0001063	PSC73192.1	XP_005849146.1
OG0001063	PSC72947.1	XP_005849147.1
OG0001064	PSC73143.1, PSC73142.1	XP_005849341.1
OG0001065	PSC70015.1	XP_005849336.1
OG0001066	PSC76556.1	XP_005849080.1, XP_005849081.1
OG0001067	PSC76242.1	XP_005849084.1
OG0001068	PSC73206.1	XP_005849328.1
OG0001069	PSC76128.1, PSC76129.1, PSC76127.1	XP_005849264.1
OG0001070	PSC67310.1	XP_005845860.1
OG0001072	PSC76198.1	XP_005849112.1
OG0001073	PSC73154.1	XP_005849186.1, XP_005852157.1
OG0001074	PSC73052.1	XP_005849167.1
OG0001075	PSC76858.1	XP_005849043.1
OG0001076	PSC76172.1, PSC76171.1	XP_005849044.1
OG0001077	PSC69798.1	XP_005847656.1
OG0001078	PSC73048.1, PSC73049.1	XP_005849402.1
OG0001079	PSC69139.1	XP_005849207.1, XP_005849208.1
OG0001081	PSC71608.1, PSC71609.1	XP_005850615.1, XP_005850614.1
OG0001082	PSC69871.1	XP_005847443.1
OG0001083	PSC68537.1	XP_005851947.1, XP_005851944.1
OG0001084	PSC68524.1	XP_005851948.1, XP_005851949.1
OG0001085	PSC74008.1	XP_005851891.1, XP_005842717.1
OG0001086	PSC68938.1	XP_005852217.1, XP_005850788.1, XP_005844701.1
OG0001087	PSC74717.1	XP_005843899.1
OG0001088	PSC68800.1	XP_005843856.1
OG0001089	PSC68773.1, PSC74744.1, PSC74743.1	XP_005843973.1
OG0001090	PSC73255.1	XP_005842831.1
OG0001091	PSC73399.1	XP_005848424.1
OG0001092	PSC67536.1	XP_005848410.1
OG0001094	PSC70497.1	XP_005851091.1
OG0001095	PSC67537.1	XP_005848205.1
OG0001096	PSC69027.1	XP_005850743.1
OG0001097	PSC69890.1	XP_005847514.1
OG0001098	PSC67094.1, PSC70435.1	XP_005848518.1
OG0001099	PSC67095.1, PSC70426.1, PSC70425.1	XP_005848331.1
OG0001100	PSC70475.1	XP_005848334.1
OG0001101	PSC73477.1	XP_005850552.1
OG0001102	PSC73470.1	XP_005848417.1
OG0001104	PSC71819.1	XP_005844681.1, XP_005844682.1
OG0001105	PSC69380.1, PSC71748.1, PSC71768.1	XP_005844750.1
OG0001106	PSC71602.1	XP_005851230.1, XP_005850370.1
OG0001107	PSC76143.1	XP_005849802.1
OG0001108	PSC67161.1	XP_005849476.1
OG0001108	PSC71887.1	XP_005849477.1
OG0001109	PSC67838.1	XP_005851798.1, XP_005843247.1
OG0001110	PSC71894.1	XP_005849483.1, XP_005849752.1
OG0001111	PSC68854.1	XP_005851483.1
OG0001112	PSC76460.1	XP_005849451.1, XP_005849450.1
OG0001113	PSC76051.1, PSC67397.1	XP_005849731.1
OG0001115	PSC76634.1	XP_005849782.1
OG0001116	PSC68184.1	XP_005849714.1
OG0001118	PSC71174.1	XP_005846970.1
OG0001119	PSC70851.1	XP_005847424.1
OG0001120	PSC71989.1, PSC71898.1	XP_005847816.1
OG0001121	PSC69974.1, PSC69975.1	XP_005847335.1
OG0001122	PSC69902.1, PSC69903.1	XP_005847336.1
OG0001123	PSC68018.1, PSC68695.1	XP_005851347.1
OG0001124	PSC69918.1	XP_005847356.1
OG0001125	PSC69951.1	XP_005847351.1
OG0001126	PSC69889.1	XP_005847490.1
OG0001127	PSC69912.1, PSC69967.1	XP_005847486.1
OG0001128	PSC70890.1	XP_005847304.1, XP_005847477.1
OG0001129	PSC70592.1	XP_005844389.1, XP_005847573.1
OG0001131	PSC75693.1	XP_005842674.1
OG0001131	PSC67057.1	XP_005843835.1
OG0001132	PSC67904.1	XP_005843831.1
OG0001133	PSC76872.1	XP_005843089.1
OG0001135	PSC67191.1, PSC67386.1, PSC71062.1	XP_005843087.1
OG0001136	PSC76857.1, PSC73967.1	XP_005852319.1
OG0001137	PSC67098.1, PSC67317.1, PSC68239.1	XP_005845132.1
OG0001138	PSC67078.1, PSC67824.1, PSC67071.1	XP_005851121.1
OG0001139	PSC68136.1, PSC76001.1	XP_005851106.1
OG0001140	PSC67070.1, PSC67485.1	XP_005851124.1
OG0001141	PSC67499.1, PSC67069.1	XP_005851123.1
OG0001142	PSC75689.1, PSC75688.1	XP_005851135.1
OG0001143	PSC67247.1	XP_005851115.1
OG0001144	PSC67825.1, PSC67245.1, PSC67828.1	XP_005851418.1
OG0001145	PSC75937.1, PSC75936.1	XP_005851384.1
OG0001146	PSC75799.1, PSC75798.1, PSC75797.1	XP_005851436.1
OG0001147	PSC75857.1	XP_005851155.1
OG0001148	PSC75587.1	XP_005851438.1
OG0001149	PSC71678.1	XP_005844658.1, XP_005846674.1
OG0001150	PSC68901.1	XP_005851477.1, XP_005851476.1
OG0001151	PSC75367.1	XP_005851392.1
OG0001152	PSC69141.1	XP_005845218.1
OG0001153	PSC75296.1	XP_005847259.1
OG0001154	PSC70139.1	XP_005844545.1
OG0001155	PSC73940.1	XP_005851242.1, XP_005851241.1
OG0001156	PSC76101.1	XP_005851616.1, XP_005851617.1
OG0001157	PSC74506.1	XP_005843691.1
OG0001158	PSC68734.1	XP_005851654.1
OG0001159	PSC73946.1	XP_005851282.1
OG0001160	PSC76901.1	XP_005851286.1
OG0001161	PSC73298.1	XP_005844189.1
OG0001163	PSC76536.1	XP_005851291.1, XP_005851290.1
OG0001164	PSC71702.1, PSC71703.1	XP_005844770.1
OG0001165	PSC76851.1	XP_005852309.1
OG0001166	PSC72460.1	XP_005845906.1
OG0001168	PSC72394.1, PSC72518.1	XP_005846798.1
OG0001169	PSC73884.1, PSC73883.1, PSC73882.1	XP_005846650.1
OG0001170	PSC69983.1, PSC69982.1	XP_005845818.1
OG0001171	PSC73885.1	XP_005845102.1
OG0001172	PSC73293.1	XP_005844303.1
OG0001172	PSC70628.1	XP_005851838.1
OG0001175	PSC72446.1, PSC72447.1	XP_005850301.1
OG0001176	PSC72597.1	XP_005850240.1
OG0001177	PSC72594.1, PSC72593.1	XP_005850011.1
OG0001178	PSC72566.1, PSC72565.1	XP_005849992.1
OG0001179	PSC74280.1	XP_005846035.1, XP_005845722.1
OG0001180	PSC72536.1	XP_005849989.1
OG0001181	PSC72417.1, PSC72416.1	XP_005850293.1
OG0001182	PSC72451.1	XP_005850010.1
OG0001183	PSC72494.1	XP_005850255.1
OG0001184	PSC69613.1, PSC69612.1	XP_005846389.1
OG0001185	PSC69679.1	XP_005846521.1
OG0001186	PSC68307.1, PSC68306.1, PSC68308.1	XP_005846318.1
OG0001187	PSC69676.1, PSC68388.1, PSC71499.1	XP_005846330.1
OG0001188	PSC71265.1	XP_005848808.1, XP_005844393.1, XP_005846465.1
OG0001189	PSC71398.1	XP_005846278.1, XP_005846277.1
OG0001190	PSC74407.1	XP_005847774.1
OG0001192	PSC68353.1	XP_005846475.1
OG0001193	PSC71222.1	XP_005846418.1, XP_005846243.1, XP_005846242.1
OG0001194	PSC71341.1	XP_005846239.1
OG0001196	PSC67587.1, PSC67586.1	XP_005845671.1, XP_005846941.1
OG0001197	PSC71096.1	XP_005842804.1
OG0001198	PSC73213.1	XP_005844422.1, XP_005842727.1
OG0001199	PSC74994.1	XP_005851739.1
OG0001200	PSC74003.1	XP_005843581.1, XP_005842570.1
OG0001201	PSC74713.1	XP_005842855.1
OG0001202	PSC74312.1	XP_005845666.1, XP_005847638.1
OG0001203	PSC73354.1	XP_005843427.1
OG0001204	PSC74221.1, PSC74222.1	XP_005845518.1
OG0001205	PSC74205.1, PSC74204.1	XP_005845675.1
OG0001207	PSC67274.1	XP_005848663.1
OG0001208	PSC68061.1, PSC68062.1	XP_005843206.1
OG0001209	PSC76925.1	XP_005846002.1
OG0001210	PSC75546.1	XP_005846669.1
OG0001211	PSC68466.1	XP_005843168.1
OG0001212	PSC68409.1, PSC68410.1	XP_005843198.1
OG0001213	PSC71177.1	XP_005846974.1
OG0001214	PSC67140.1	XP_005844478.1
OG0001214	PSC67167.1	XP_005844477.1
OG0001215	PSC71774.1	XP_005844742.1, XP_005843153.1
OG0001216	PSC73112.1	XP_005843335.1, XP_005843336.1
OG0001217	PSC76447.1	XP_005843257.1, XP_005843372.1
OG0001218	PSC68907.1	XP_005848770.1, XP_005848769.1, XP_005851162.1
OG0001219	PSC70478.1, PSC70479.1	XP_005848264.1
OG0001220	PSC70342.1	XP_005848465.1
OG0001221	PSC76698.1	XP_005851643.1
OG0001222	PSC70892.1, PSC70893.1	XP_005848374.1
OG0001223	PSC67615.1	XP_005845959.1
OG0001223	PSC69716.1	XP_005846070.1
OG0001225	PSC68266.1	XP_005844121.1, XP_005851522.1
OG0001226	PSC70190.1	XP_005844232.1, XP_005844233.1
OG0001227	PSC70346.1, PSC70347.1	XP_005848291.1
OG0001228	PSC70446.1	XP_005848292.1, XP_005848293.1
OG0001229	PSC70350.1, PSC70349.1	XP_005848262.1
OG0001230	PSC70457.1	XP_005848266.1
OG0001232	PSC72945.1	XP_005849171.1, XP_005842626.1
OG0001233	PSC71183.1	XP_005847161.1, XP_005847160.1
OG0001234	PSC71048.1	XP_005846972.1, XP_005846971.1
OG0001235	PSC71216.1, PSC71217.1	XP_005847166.1
OG0001236	PSC71039.1, PSC71040.1, PSC71038.1	XP_005847184.1
OG0001237	PSC71067.1, PSC71066.1	XP_005847187.1
OG0001238	PSC72292.1	XP_005847110.1
OG0001239	PSC71073.1	XP_005851939.1, XP_005846995.1
OG0001240	PSC71021.1, PSC71020.1	XP_005847201.1
OG0001242	PSC69530.1	XP_005848131.1, XP_005848130.1
OG0001243	PSC70781.1, PSC70780.1	XP_005848124.1, XP_005847891.1
OG0001244	PSC72572.1	XP_005848719.1, XP_005844864.1
OG0001245	PSC70754.1	XP_005848067.1, XP_005848068.1
OG0001246	PSC74544.1, PSC74545.1	XP_005847629.1
OG0001247	PSC73785.1	XP_005842897.1, XP_005847551.1
OG0001248	PSC73773.1, PSC73774.1, PSC73772.1	XP_005847554.1
OG0001249	PSC74659.1, PSC74658.1	XP_005847731.1
OG0001250	PSC74430.1	XP_005847584.1, XP_005847585.1
OG0001251	PSC74418.1, PSC76050.1, PSC76049.1	XP_005847781.1
OG0001252	PSC74724.1	XP_005847783.1
OG0001253	PSC74911.1	XP_005847657.1
OG0001254	PSC75160.1, PSC75159.1	XP_005847641.1
OG0001255	PSC74875.1	XP_005847645.1
