Orthogroup	oneline_c_sorokiniana_genome_proteins	oneline_c_variabilis_genome_proteins
OG0000967	PRW20760.1, PRW20615.1	XP_005843914.1
OG0000968	PRW60997.1	XP_005844295.1
OG0000969	PRW60263.1	XP_005842755.1
OG0000970	PRW20816.1	XP_005842736.1, XP_005848028.1
OG0000971	PRW57304.1	XP_005842657.1, XP_005848097.1
OG0000972	PRW57129.1, PRW05749.1	XP_005847939.1, XP_005847938.1
OG0000973	PRW58108.1	XP_005851310.1
OG0000974	PRW57172.1, PRW57171.1, PRW05748.1	XP_005847940.1
OG0000975	PRW33840.1, PRW33841.1	XP_005849042.1
OG0000976	PRW05771.1	XP_005849976.1, XP_005845794.1
OG0000977	PRW56837.1	XP_005850161.1
OG0000978	PRW20908.1	XP_005847951.1
OG0000980	PRW57209.1	XP_005847874.1
OG0000980	PRW59490.1	XP_005844224.1
OG0000981	PRW05822.1, PRW05823.1, PRW05879.1	XP_005850459.1
OG0000982	PRW05838.1, PRW05837.1	XP_005850466.1
OG0000983	PRW56783.1	XP_005850324.1
OG0000984	PRW56624.1, PRW56625.1	XP_005850083.1
OG0000985	PRW56521.1, PRW56522.1	XP_005850084.1
OG0000986	PRW56682.1, PRW56684.1, PRW56683.1	XP_005850316.1
OG0000987	PRW56585.1, PRW56584.1, PRW56583.1	XP_005850077.1
OG0000988	PRW61137.1, PRW61138.1	XP_005843156.1
OG0000989	PRW56731.1	XP_005852267.1
OG0000990	PRW56863.1, PRW56862.1	XP_005850156.1
OG0000991	PRW05836.1	XP_005850214.1
OG0000992	PRW56898.1	XP_005846842.1, XP_005842605.1
OG0000993	PRW45549.1	XP_005845039.1
OG0000994	PRW45446.1	XP_005845240.1
OG0000995	PRW44506.1	XP_005851350.1
OG0000996	PRW44904.1, PRW45377.1	XP_005843931.1, XP_005846828.1
OG0000997	PRW61116.1, PRW39078.1	XP_005846116.1
OG0000998	PRW05763.1	XP_005852297.1
OG0000998	PRW56823.1	XP_005851826.1
OG0000999	PRW05800.1, PRW05799.1	XP_005846102.1
OG0001001	PRW57277.1	XP_005848034.1
OG0001002	PRW39261.1, PRW39262.1	XP_005846132.1
OG0001003	PRW56780.1	XP_005845002.1, XP_005850390.1
OG0001004	PRW60562.1	XP_005852100.1, XP_005852101.1
OG0001005	PRW39110.1	XP_005846194.1
OG0001006	PRW39360.1, PRW39359.1	XP_005846055.1
OG0001007	PRW20795.1	XP_005847998.1
OG0001008	PRW39097.1	XP_005846205.1
OG0001009	PRW39217.1	XP_005844918.1, XP_005849231.1
OG0001010	PRW45534.1, PRW56653.1	XP_005850409.1
OG0001012	PRW45350.1	XP_005845112.1
OG0001013	PRW61300.1, PRW61556.1, PRW61294.1	XP_005843628.1
OG0001014	PRW61016.1, PRW61167.1	XP_005843617.1
OG0001015	PRW45681.1	XP_005845094.1
OG0001016	PRW56723.1	XP_005850416.1
OG0001017	PRW56400.1	XP_005850169.1
OG0001018	PRW56191.1, PRW56256.1	XP_005850858.1, XP_005850566.1
OG0001020	PRW56890.1	XP_005846098.1
OG0001021	PRW56314.1	XP_005850938.1
OG0001022	PRW56140.1, PRW59557.1	XP_005850714.1
OG0001023	PRW56235.1	XP_005850994.1
OG0001024	PRW55950.1, PRW55951.1	XP_005850719.1
OG0001025	PRW56023.1	XP_005850668.1
OG0001026	PRW45042.1	XP_005848497.1
OG0001027	PRW55994.1	XP_005850964.1
OG0001028	PRW56119.1	XP_005850659.1
OG0001029	PRW59393.1	XP_005849675.1
OG0001030	PRW56242.1, PRW56241.1	XP_005850976.1
OG0001031	PRW56109.1, PRW56110.1	XP_005850619.1
OG0001032	PRW56346.1	XP_005850726.1
OG0001034	PRW61528.1, PRW61529.1	XP_005844419.1
OG0001035	PRW59610.1	XP_005850771.1
OG0001035	PRW56352.1	XP_005851047.1
OG0001036	PRW33698.1	XP_005845827.1
OG0001038	PRW33530.1	XP_005845765.1
OG0001039	PRW60547.1, PRW60549.1, PRW60548.1	XP_005842761.1
OG0001040	PRW60730.1	XP_005849986.1, XP_005852023.1
OG0001041	PRW60453.1, PRW60454.1	XP_005851759.1
OG0001043	PRW56988.1	XP_005846990.1
OG0001044	PRW60781.1	XP_005852110.1
OG0001045	PRW60403.1	XP_005851772.1
OG0001046	PRW60311.1	XP_005852120.1
OG0001047	PRW60466.1	XP_005851801.1
OG0001047	PRW60765.1	XP_005851802.1
OG0001048	PRW60853.1	XP_005851796.1, XP_005851795.1
OG0001049	PRW60402.1	XP_005851790.1
OG0001050	PRW59506.1	XP_005845480.1, XP_005845476.1
OG0001051	PRW60388.1	XP_005852145.1
OG0001052	PRW60206.1	XP_005852242.1
OG0001053	PRW60312.1	XP_005851908.1
OG0001054	PRW60836.1	XP_005852235.1
OG0001056	PRW45489.1	XP_005845204.1, XP_005842734.1, XP_005845205.1
OG0001057	PRW50965.1	XP_005848683.1
OG0001058	PRW60901.1	XP_005844427.1
OG0001059	PRW60972.1, PRW60971.1	XP_005843527.1, XP_005845917.1
OG0001060	PRW32589.1, PRW32642.1	XP_005852321.1
OG0001061	PRW33813.1	XP_005849034.1
OG0001062	PRW50976.1	XP_005848999.1
OG0001063	PRW57926.1	XP_005849146.1, XP_005849147.1
OG0001064	PRW57698.1	XP_005849341.1
OG0001066	PRW33905.1	XP_005849080.1
OG0001067	PRW33949.1, PRW33948.1, PRW61038.1	XP_005849084.1
OG0001068	PRW57543.1, PRW57656.1, PRW57834.1	XP_005849328.1
OG0001069	PRW34063.1	XP_005849264.1
OG0001070	PRW33679.1, PRW33680.1	XP_005845860.1
OG0001071	PRW33929.1	XP_005849300.1
OG0001072	PRW57775.1, PRW57774.1, PRW57773.1	XP_005849112.1
OG0001073	PRW57673.1	XP_005849186.1, XP_005852157.1
OG0001074	PRW57675.1, PRW57676.1	XP_005849167.1
OG0001075	PRW33974.1, PRW33973.1, PRW33972.1	XP_005849043.1
OG0001076	PRW34057.1, PRW34058.1	XP_005849044.1
OG0001078	PRW57889.1, PRW57890.1	XP_005849402.1
OG0001079	PRW57811.1	XP_005849207.1, XP_005849208.1
OG0001080	PRW60387.1	XP_005850640.1, XP_005850639.1
OG0001080	PRW57207.1	XP_005845001.1
OG0001081	PRW56082.1	XP_005850615.1
OG0001082	PRW44392.1	XP_005847443.1
OG0001083	PRW60856.1	XP_005851947.1, XP_005851944.1
OG0001084	PRW60286.1	XP_005851948.1, XP_005851949.1
OG0001085	PRW60255.1	XP_005851891.1, XP_005842717.1
OG0001086	PRW60670.1	XP_005852217.1, XP_005850788.1, XP_005844701.1
OG0001087	PRW20747.1	XP_005843899.1
OG0001087	PRW20709.1	XP_005843961.1
OG0001088	PRW20610.1	XP_005843856.1
OG0001089	PRW20714.1	XP_005843973.1
OG0001090	PRW58404.1	XP_005843722.1
OG0001090	PRW33994.1	XP_005842831.1
OG0001091	PRW44880.1, PRW44882.1, PRW44881.1	XP_005848424.1
OG0001092	PRW45243.1, PRW45242.1, PRW45244.1	XP_005848410.1
OG0001093	PRW58947.1	XP_005844897.1, XP_005843311.1, XP_005847142.1, XP_005845568.1
OG0001094	PRW61487.1, PRW61485.1, PRW61486.1	XP_005851091.1
OG0001095	PRW44943.1, PRW44942.1, PRW44941.1	XP_005848205.1
OG0001096	PRW56267.1	XP_005850743.1
OG0001096	PRW56160.1	XP_005850744.1
OG0001097	PRW44418.1, PRW44417.1, PRW44419.1	XP_005847514.1
OG0001098	PRW44838.1	XP_005848518.1, XP_005848515.1
OG0001099	PRW45152.1	XP_005848331.1
OG0001100	PRW45025.1, PRW45024.1	XP_005848334.1
OG0001101	PRW44929.1, PRW44928.1	XP_005850552.1
OG0001102	PRW44847.1, PRW44848.1, PRW44846.1	XP_005848417.1
OG0001103	PRW20583.1, PRW20582.1	XP_005844058.1
OG0001104	PRW20975.1, PRW20976.1	XP_005844681.1, XP_005844682.1
OG0001105	PRW21128.1	XP_005844750.1
OG0001106	PRW56865.1	XP_005851230.1, XP_005850370.1
OG0001107	PRW59310.1	XP_005849802.1
OG0001108	PRW59224.1	XP_005849476.1
OG0001109	PRW61336.1, PRW20414.1	XP_005851798.1, XP_005843247.1
OG0001110	PRW59143.1	XP_005849483.1, XP_005849752.1
OG0001111	PRW58144.1, PRW58145.1	XP_005851483.1
OG0001112	PRW57327.1	XP_005849451.1, XP_005849450.1
OG0001113	PRW59289.1, PRW59288.1	XP_005849731.1
OG0001115	PRW59053.1	XP_005849782.1
OG0001116	PRW57157.1	XP_005849714.1
OG0001117	PRW44375.1	XP_005847426.1
OG0001118	PRW57028.1, PRW57029.1	XP_005846970.1
OG0001119	PRW44355.1	XP_005847424.1
OG0001121	PRW44262.1	XP_005847335.1
OG0001122	PRW44284.1, PRW44283.1	XP_005847336.1
OG0001123	PRW44424.1, PRW44575.1	XP_005851347.1
OG0001124	PRW44512.1	XP_005847356.1
OG0001125	PRW44268.1	XP_005847351.1
OG0001126	PRW44486.1, PRW44485.1	XP_005847490.1
OG0001127	PRW44503.1, PRW44459.1	XP_005847486.1
OG0001128	PRW44245.1	XP_005847304.1, XP_005847477.1
OG0001129	PRW61026.1	XP_005844389.1, XP_005847573.1
OG0001130	PRW56638.1, PRW56639.1, PRW32635.1	XP_005843045.1
OG0001131	PRW58843.1	XP_005842674.1, XP_005843835.1
OG0001132	PRW59242.1, PRW59243.1	XP_005843831.1
OG0001133	PRW32594.1	XP_005843089.1
OG0001135	PRW32599.1	XP_005843087.1
OG0001136	PRW32649.1, PRW32641.1	XP_005852319.1
OG0001137	PRW45500.1	XP_005845132.1
OG0001138	PRW58398.1	XP_005851121.1
OG0001139	PRW58332.1	XP_005851106.1
OG0001140	PRW58470.1	XP_005851124.1
OG0001141	PRW20979.1, PRW58641.1	XP_005851123.1
OG0001142	PRW58205.1	XP_005851135.1
OG0001143	PRW58235.1, PRW58236.1	XP_005851115.1
OG0001144	PRW58357.1	XP_005851418.1
OG0001145	PRW58354.1, PRW58355.1	XP_005851384.1
OG0001146	PRW58161.1	XP_005851436.1
OG0001147	PRW56295.1	XP_005851155.1
OG0001148	PRW58373.1, PRW58371.1, PRW58372.1	XP_005851438.1
OG0001149	PRW21083.1	XP_005844658.1, XP_005846674.1
OG0001150	PRW58253.1	XP_005851477.1
OG0001150	PRW58649.1	XP_005851476.1
OG0001151	PRW58622.1	XP_005851392.1
OG0001151	PRW44235.1	XP_005850034.1
OG0001152	PRW58604.1, PRW58605.1	XP_005845218.1
OG0001153	PRW44293.1	XP_005847259.1
OG0001154	PRW20545.1, PRW20546.1	XP_005844545.1
OG0001155	PRW58175.1	XP_005851242.1
OG0001156	PRW58272.1	XP_005851616.1, XP_005851617.1
OG0001157	PRW51125.1, PRW20398.1	XP_005843691.1
OG0001158	PRW58203.1, PRW58201.1, PRW58202.1	XP_005851654.1
OG0001159	PRW58433.1, PRW58434.1	XP_005851282.1
OG0001160	PRW58407.1	XP_005851286.1
OG0001161	PRW61068.1	XP_005844189.1
OG0001162	PRW44499.1	XP_005851577.1
OG0001163	PRW58182.1	XP_005851291.1
OG0001163	PRW58583.1	XP_005851290.1
OG0001164	PRW21081.1, PRW21080.1	XP_005844770.1
OG0001165	PRW32525.1, PRW32524.1, PRW32523.1	XP_005852309.1
OG0001166	PRW60618.1, PRW39328.1	XP_005845906.1
OG0001167	PRW60500.1, PRW20603.1	XP_005843886.1
OG0001168	PRW45395.1, PRW45396.1	XP_005846798.1
OG0001169	PRW45423.1	XP_005846650.1
OG0001170	PRW33616.1	XP_005845818.1
OG0001171	PRW45404.1, PRW44282.1, PRW45405.1	XP_005845102.1
OG0001172	PRW61416.1	XP_005844303.1, XP_005851838.1
OG0001175	PRW56880.1, PRW56881.1	XP_005850301.1
OG0001176	PRW56388.1, PRW56387.1, PRW56389.1	XP_005850240.1
OG0001177	PRW56486.1	XP_005850011.1
OG0001178	PRW56417.1, PRW56416.1	XP_005849992.1
OG0001179	PRW61054.1	XP_005846035.1, XP_005845722.1
OG0001180	PRW56692.1, PRW56693.1, PRW56220.1	XP_005849989.1
OG0001181	PRW56501.1	XP_005850293.1
OG0001182	PRW56725.1	XP_005850010.1
OG0001183	PRW56846.1	XP_005850255.1
OG0001184	PRW59756.1, PRW59757.1	XP_005846389.1
OG0001186	PRW60187.1	XP_005846318.1
OG0001187	PRW59523.1	XP_005846330.1
OG0001188	PRW59677.1	XP_005848808.1, XP_005844393.1, XP_005846465.1
OG0001189	PRW60003.1	XP_005846278.1, XP_005846277.1
OG0001190	PRW57843.1	XP_005847774.1
OG0001192	PRW59892.1, PRW59893.1, PRW59891.1	XP_005846475.1
OG0001193	PRW60120.1	XP_005846418.1, XP_005846243.1, XP_005846242.1
OG0001194	PRW59630.1, PRW59713.1	XP_005846239.1
OG0001195	PRW20407.1, PRW20405.1	XP_005846951.1
OG0001196	PRW39358.1	XP_005845671.1
OG0001197	PRW59799.1	XP_005842804.1
OG0001198	PRW60998.1	XP_005844422.1, XP_005842727.1
OG0001199	PRW60870.1, PRW60871.1	XP_005851739.1
OG0001200	PRW61571.1	XP_005843581.1, XP_005842570.1
OG0001201	PRW45134.1, PRW61269.1, PRW61343.1	XP_005842855.1
OG0001202	PRW59141.1, PRW59142.1	XP_005845666.1, XP_005847638.1
OG0001203	PRW58731.1, PRW58732.1	XP_005843427.1
OG0001204	PRW61604.1	XP_005845518.1
OG0001205	PRW61275.1, PRW61274.1	XP_005845675.1
OG0001207	PRW61446.1	XP_005848663.1
OG0001208	PRW05923.1	XP_005843206.1
OG0001209	PRW39166.1, PRW39167.1	XP_005846002.1, XP_005845998.1
OG0001210	PRW45513.1	XP_005846669.1, XP_005844586.1
OG0001211	PRW05924.1	XP_005843168.1
OG0001212	PRW05900.1, PRW05899.1	XP_005843198.1
OG0001213	PRW57391.1	XP_005846974.1
OG0001214	PRW32918.1	XP_005844477.1
OG0001215	PRW20168.1	XP_005844742.1
OG0001215	PRW33943.1	XP_005843153.1
OG0001216	PRW32983.1	XP_005843335.1, XP_005843336.1
OG0001217	PRW57690.1, PRW60966.1	XP_005843257.1, XP_005843372.1
OG0001218	PRW58629.1	XP_005848770.1, XP_005848769.1, XP_005851162.1
OG0001219	PRW45151.1	XP_005848264.1
OG0001220	PRW45001.1	XP_005848465.1
OG0001220	PRW57827.1	XP_005846837.1
OG0001221	PRW33033.1, PRW32879.1	XP_005843040.1, XP_005851643.1
OG0001222	PRW44861.1	XP_005848374.1
OG0001223	PRW60711.1	XP_005846070.1
OG0001225	PRW58681.1	XP_005844121.1, XP_005851522.1
OG0001226	PRW33770.1	XP_005844232.1, XP_005844233.1
OG0001227	PRW45117.1, PRW45118.1	XP_005848291.1
OG0001228	PRW45233.1	XP_005848292.1, XP_005848293.1
OG0001229	PRW44998.1, PRW44999.1	XP_005848262.1
OG0001230	PRW45230.1, PRW45229.1	XP_005848266.1
OG0001232	PRW57646.1	XP_005849171.1, XP_005842626.1
OG0001233	PRW57386.1	XP_005847161.1
OG0001234	PRW57450.1	XP_005846972.1
OG0001234	PRW57796.1	XP_005846971.1
OG0001235	PRW57009.1	XP_005847166.1, XP_005845974.1
OG0001236	PRW57246.1	XP_005847184.1
OG0001237	PRW57108.1	XP_005847187.1
OG0001238	PRW57526.1, PRW57525.1, PRW57527.1	XP_005847110.1
OG0001239	PRW57082.1, PRW57083.1	XP_005851939.1, XP_005846995.1
OG0001240	PRW57300.1, PRW57301.1	XP_005847201.1
OG0001242	PRW20851.1	XP_005848131.1, XP_005848130.1
OG0001244	PRW57550.1	XP_005848719.1, XP_005844864.1
OG0001245	PRW57011.1	XP_005848067.1, XP_005848068.1
OG0001246	PRW57639.1, PRW57640.1	XP_005847629.1
OG0001247	PRW57574.1, PRW57575.1	XP_005842897.1, XP_005847551.1
OG0001248	PRW57880.1	XP_005847554.1
OG0001249	PRW57652.1, PRW57651.1	XP_005847731.1
OG0001250	PRW58068.1	XP_005847584.1
OG0001251	PRW57713.1	XP_005847781.1
OG0001252	PRW57868.1, PRW57869.1	XP_005847783.1
OG0001253	PRW33975.1, PRW33976.1, PRW33977.1	XP_005847657.1
OG0001254	PRW57726.1, PRW57727.1	XP_005847641.1
OG0001255	PRW57914.1	XP_005847645.1
OG0001256	PRW57764.1	XP_005847740.1
OG0001257	PRW57951.1	XP_005847572.1
OG0001258	PRW57919.1, PRW57921.1, PRW57920.1	XP_005847580.1
OG0001259	PRW34099.1	XP_005847831.1
OG0001260	PRW34025.1, PRW34026.1	XP_005843631.1, XP_005847691.1
OG0001261	PRW34014.1	XP_005847669.1
OG0001262	PRW61498.1	XP_005843143.1
OG0001263	PRW58165.1, PRW20181.1, PRW33910.1	XP_005847620.1
OG0001264	PRW20389.1, PRW20388.1, PRW59291.1	XP_005843653.1
OG0001265	PRW44521.1	XP_005843697.1
OG0001266	PRW20428.1	XP_005843655.1
OG0001267	PRW20361.1, PRW20360.1	XP_005843690.1
OG0001268	PRW05859.1	XP_005850474.1
OG0001269	PRW18316.1	XP_005850512.1
OG0001269	PRW18403.1	XP_005850513.1
OG0001270	PRW20178.1	XP_005842915.1, XP_005842914.1
OG0001271	PRW57035.1, PRW20305.1	XP_005842952.1
OG0001272	PRW20506.1, PRW20507.1	XP_005844619.1, XP_005844618.1
OG0001273	PRW59303.1	XP_005849614.1
OG0001273	PRW20766.1	XP_005846973.1
OG0001274	PRW20782.1	XP_005847960.1
OG0001275	PRW61029.1	XP_005842857.1
OG0001275	PRW20783.1	XP_005848020.1
OG0001276	PRW20923.1	XP_005848127.1
OG0001276	PRW20940.1	XP_005848128.1
OG0001277	PRW32637.1	XP_005844904.1, XP_005844057.1, XP_005844056.1
OG0001278	PRW32850.1	XP_005848406.1
OG0001279	PRW33071.1	XP_005844570.1
OG0001280	PRW33145.1, PRW61480.1, PRW61481.1	XP_005848283.1
OG0001280	PRW60795.1	XP_005851520.1
OG0001282	PRW44308.1	XP_005851975.1
OG0001283	PRW44607.1	XP_005842710.1
OG0001283	PRW44500.1	XP_005847421.1
OG0001284	PRW45260.1	XP_005844553.1, XP_005842778.1, XP_005843358.1, XP_005848542.1, XP_005848543.1
OG0001285	PRW45394.1	XP_005845042.1
OG0001287	PRW45710.1	XP_005850050.1, XP_005844433.1, XP_005846718.1, XP_005844023.1, XP_005850201.1
OG0001288	PRW45718.1	XP_005846692.1
OG0001290	PRW56730.1	XP_005850164.1, XP_005850264.1, XP_005850334.1
OG0001291	PRW56738.1	XP_005845553.1, XP_005845664.1, XP_005844808.1
OG0001293	PRW57556.1	XP_005848704.1, XP_005847533.1, XP_005844447.1, XP_005844449.1
OG0001294	PRW57660.1	XP_005842637.1, XP_005842636.1, XP_005847550.1
OG0001295	PRW57781.1	XP_005849225.1
OG0001297	PRW57954.1	XP_005847634.1
OG0001297	PRW57955.1	XP_005847797.1
OG0001298	PRW58206.1	XP_005851306.1, XP_005851606.1
OG0001299	PRW58987.1	XP_005849539.1
OG0001300	PRW59168.1, PRW59167.1	XP_005844957.1, XP_005849591.1
OG0001301	PRW59207.1	XP_005849947.1
OG0001302	PRW59621.1	XP_005845414.1, XP_005852194.1, XP_005845451.1
OG0001303	PRW59946.1	XP_005851029.1, XP_005844910.1, XP_005846224.1, XP_005846223.1, XP_005850254.1
OG0001305	PRW61324.1	XP_005843528.1
OG0001306	PRW61472.1, PRW61471.1, PRW61395.1	XP_005844331.1
OG0001315	PRW45556.1	XP_005846625.1
OG0001316	PRW20302.1	XP_005842916.1
OG0001317	PRW34089.1	XP_005847688.1
OG0001318	PRW45415.1, PRW45416.1	XP_005846777.1
OG0001319	PRW45529.1, PRW45528.1	XP_005846774.1
OG0001320	PRW45697.1	XP_005846780.1
OG0001321	PRW45399.1	XP_005845106.1
OG0001322	PRW45597.1	XP_005846628.1
OG0001323	PRW45466.1	XP_005846631.1
OG0001324	PRW45650.1, PRW45649.1	XP_005846771.1
OG0001325	PRW58872.1	XP_005849739.1
OG0001326	PRW57174.1, PRW45482.1	XP_005846945.1
OG0001327	PRW33518.1	XP_005845911.1
OG0001328	PRW33511.1	XP_005845800.1, XP_005845912.1
OG0001330	PRW33725.1	XP_005845799.1
OG0001331	PRW33584.1	XP_005845901.1
OG0001332	PRW45545.1	XP_005845197.1
OG0001333	PRW33596.1	XP_005845767.1, XP_005842630.1
OG0001334	PRW33648.1	XP_005845822.1
OG0001335	PRW33329.1	XP_005843235.1
OG0001336	PRW33660.1, PRW33661.1	XP_005845731.1
OG0001337	PRW32907.1, PRW32906.1	XP_005843412.1
OG0001338	PRW32938.1	XP_005844458.1
OG0001339	PRW33034.1	XP_005844556.1, XP_005844557.1
OG0001340	PRW20924.1	XP_005848019.1
OG0001341	PRW58490.1, PRW58491.1	XP_005851338.1
OG0001343	PRW57504.1, PRW57503.1	XP_005846908.1
OG0001344	PRW59747.1	XP_005851755.1, XP_005846530.1
OG0001346	PRW20169.1	XP_005844103.1
OG0001347	PRW44340.1	XP_005847390.1
OG0001348	PRW20521.1	XP_005844483.1
OG0001350	PRW20471.1	XP_005844577.1
OG0001351	PRW20535.1, PRW20536.1	XP_005844496.1
OG0001352	PRW44383.1	XP_005847500.1
OG0001353	PRW20497.1, PRW20498.1	XP_005844504.1
OG0001354	PRW20530.1	XP_005844593.1
OG0001355	PRW20455.1	XP_005844600.1
OG0001356	PRW20510.1	XP_005844513.1
OG0001357	PRW20523.1, PRW20522.1	XP_005844518.1
OG0001358	PRW20588.1	XP_005844526.1
OG0001359	PRW20484.1, PRW20485.1	XP_005844531.1
OG0001360	PRW20453.1	XP_005844630.1
OG0001361	PRW20443.1	XP_005844533.1
OG0001362	PRW20441.1, PRW20442.1	XP_005844549.1
OG0001363	PRW56621.1, PRW56620.1	XP_005850113.1
OG0001364	PRW33281.1	XP_005844841.1
OG0001365	PRW33122.1	XP_005843255.1
OG0001366	PRW33103.1	XP_005843299.1
OG0001367	PRW33322.1	XP_005844930.1
OG0001368	PRW33305.1	XP_005843296.1
OG0001369	PRW33222.1, PRW33221.1	XP_005843239.1
OG0001370	PRW33224.1, PRW33223.1	XP_005843240.1
OG0001371	PRW33273.1	XP_005843236.1
OG0001372	PRW33293.1	XP_005843272.1
OG0001373	PRW33236.1, PRW33235.1	XP_005843270.1
OG0001374	PRW60284.1	XP_005851691.1, XP_005848232.1
OG0001375	PRW58761.1	XP_005849652.1
OG0001376	PRW33210.1, PRW33098.1	XP_005844982.1
OG0001377	PRW58776.1	XP_005849883.1
OG0001378	PRW60642.1	XP_005852218.1
OG0001379	PRW33290.1, PRW33291.1	XP_005844980.1
OG0001380	PRW33162.1	XP_005844971.1
OG0001381	PRW33175.1	XP_005844865.1
OG0001382	PRW33274.1	XP_005844967.1
OG0001383	PRW33325.1	XP_005844959.1, XP_005844850.1
OG0001384	PRW33234.1	XP_005844886.1
OG0001385	PRW39247.1	XP_005852203.1
OG0001386	PRW59169.1	XP_005843811.1
OG0001387	PRW21098.1, PRW21097.1	XP_005844768.1
OG0001388	PRW05848.1, PRW05849.1	XP_005849512.1
OG0001389	PRW58778.1, PRW58779.1	XP_005849961.1
OG0001390	PRW58813.1, PRW58814.1	XP_005849958.1
OG0001391	PRW58821.1	XP_005849964.1
OG0001392	PRW59157.1	XP_005843770.1
OG0001393	PRW59174.1, PRW59173.1	XP_005843775.1
OG0001394	PRW59064.1, PRW59065.1	XP_005843824.1
OG0001395	PRW59111.1	XP_005843819.1
OG0001396	PRW59097.1	XP_005849956.1
OG0001397	PRW59050.1	XP_005849702.1
OG0001398	PRW44586.1	XP_005845841.1
OG0001399	PRW59408.1	XP_005849889.1, XP_005849888.1
OG0001400	PRW58998.1, PRW59404.1	XP_005849874.1
OG0001402	PRW59294.1	XP_005849695.1
OG0001405	PRW58860.1	XP_005849688.1
OG0001406	PRW60319.1	XP_005851698.1
OG0001408	PRW59362.1	XP_005849942.1
OG0001409	PRW59148.1	XP_005849594.1
OG0001410	PRW59012.1	XP_005849598.1
OG0001411	PRW59130.1	XP_005849859.1
OG0001412	PRW58840.1	XP_005849849.1
OG0001413	PRW59350.1	XP_005849843.1
OG0001414	PRW59048.1	XP_005849842.1
OG0001415	PRW59132.1	XP_005849878.1
OG0001416	PRW58885.1	XP_005849914.1
OG0001417	PRW59151.1, PRW59152.1	XP_005849871.1
OG0001418	PRW59766.1	XP_005850649.1
OG0001419	PRW58828.1, PRW59120.1	XP_005849919.1
OG0001420	PRW59115.1, PRW59114.1	XP_005849920.1
OG0001421	PRW57700.1	XP_005847624.1
OG0001422	PRW58863.1	XP_005849602.1
OG0001423	PRW59017.1	XP_005849861.1
OG0001424	PRW33331.1	XP_005843281.1, XP_005843290.1
OG0001425	PRW57049.1	XP_005847102.1
OG0001426	PRW59037.1	XP_005849840.1
OG0001427	PRW59327.1	XP_005849554.1
OG0001428	PRW59283.1, PRW59284.1	XP_005849812.1
OG0001430	PRW33330.1	XP_005844869.1
OG0001431	PRW59068.1, PRW59069.1	XP_005849809.1
OG0001432	PRW59080.1	XP_005847274.1
OG0001433	PRW51033.1	XP_005848992.1
OG0001434	PRW50852.1	XP_005848997.1, XP_005848998.1
OG0001435	PRW33775.1, PRW33776.1	XP_005847822.1
OG0001436	PRW50821.1	XP_005848794.1
OG0001437	PRW33707.1	XP_005845773.1
OG0001438	PRW51058.1	XP_005849005.1, XP_005849004.1
OG0001439	PRW50949.1, PRW50950.1	XP_005848757.1
OG0001440	PRW51111.1, PRW51112.1	XP_005848960.1
OG0001441	PRW59772.1	XP_005845382.1
OG0001442	PRW51184.1	XP_005848956.1
OG0001443	PRW50762.1, PRW50764.1	XP_005848951.1
OG0001444	PRW50761.1, PRW50763.1	XP_005848950.1
OG0001445	PRW56884.1	XP_005850442.1
OG0001446	PRW51047.1	XP_005848718.1
OG0001447	PRW45391.1	XP_005845230.1
OG0001448	PRW50831.1, PRW50830.1	XP_005848714.1
OG0001449	PRW50920.1	XP_005848721.1
OG0001450	PRW51044.1	XP_005848725.1
OG0001451	PRW51025.1	XP_005848724.1
OG0001452	PRW51120.1	XP_005848731.1
OG0001453	PRW51172.1	XP_005851209.1, XP_005848944.1
OG0001454	PRW50978.1	XP_005848726.1
OG0001456	PRW50889.1, PRW50888.1	XP_005848870.1
OG0001457	PRW51101.1, PRW51102.1	XP_005848949.1
OG0001458	PRW50861.1	XP_005848695.1
OG0001459	PRW58402.1	XP_005851288.1, XP_005851289.1
OG0001460	PRW51087.1, PRW51086.1	XP_005848890.1
OG0001461	PRW50819.1	XP_005848666.1
OG0001462	PRW50909.1, PRW61326.1	XP_005848917.1
OG0001463	PRW50886.1	XP_005848918.1
OG0001464	PRW60631.1, PRW56005.1	XP_005852171.1
OG0001465	PRW50940.1, PRW50939.1	XP_005848850.1
OG0001466	PRW50902.1, PRW50901.1	XP_005848853.1
OG0001467	PRW50907.1	XP_005848841.1
OG0001468	PRW51156.1	XP_005848635.1, XP_005848843.1
OG0001469	PRW50979.1	XP_005847404.1, XP_005850165.1
OG0001470	PRW33557.1, PRW33558.1	XP_005845888.1
OG0001471	PRW59425.1, PRW50885.1	XP_005848855.1
OG0001472	PRW51118.1, PRW51119.1	XP_005848844.1
OG0001473	PRW51099.1	XP_005848814.1
OG0001474	PRW51182.1	XP_005848645.1
OG0001475	PRW05916.1, PRW05917.1	XP_005843202.1
OG0001476	PRW56322.1	XP_005850590.1
OG0001477	PRW55983.1	XP_005842601.1, XP_005850893.1
OG0001478	PRW60101.1	XP_005850593.1, XP_005846513.1
OG0001479	PRW56196.1	XP_005850854.1
OG0001480	PRW56200.1	XP_005850629.1
OG0001481	PRW55966.1	XP_005850881.1
OG0001482	PRW56039.1	XP_005850597.1
OG0001483	PRW55938.1	XP_005850887.1
OG0001484	PRW55909.1	XP_005850847.1
OG0001485	PRW18369.1	XP_005850535.1
OG0001486	PRW18312.1	XP_005843245.1
