Orthogroup	oneline_c_vulgaris_genome_proteins	oneline_c_variabilis_genome_proteins
OG0001279	KAI3430397.1	XP_005844570.1
OG0001280	KAI3435709.1	XP_005848283.1
OG0001282	KAI3429224.1, KAI3425152.1	XP_005851975.1
OG0001283	KAI3428645.1	XP_005842710.1
OG0001283	KAI3428644.1	XP_005847421.1
OG0001284	KAI3423708.1	XP_005844553.1, XP_005842778.1, XP_005843358.1, XP_005848542.1, XP_005848543.1
OG0001285	KAI3424738.1, KAI3424739.1	XP_005845041.1
OG0001285	KAI3424737.1	XP_005845042.1
OG0001287	KAI3428817.1	XP_005850050.1, XP_005844433.1, XP_005846718.1, XP_005844023.1, XP_005850201.1
OG0001288	KAI3424951.1	XP_005846692.1
OG0001289	KAI3428273.1	XP_005850150.1
OG0001290	KAI3428005.1	XP_005850164.1, XP_005850264.1
OG0001290	KAI3428132.1	XP_005850334.1
OG0001291	KAI3424132.1	XP_005845553.1, XP_005845664.1
OG0001291	KAI3430871.1	XP_005844808.1
OG0001293	KAI3425726.1	XP_005848704.1, XP_005847533.1, XP_005844447.1, XP_005844449.1
OG0001294	KAI3425735.1, KAI3425737.1	XP_005842637.1, XP_005842636.1, XP_005847550.1
OG0001295	KAI3423793.1, KAI3433270.1, KAI3423311.1	XP_005849225.1
OG0001297	KAI3425892.1	XP_005847634.1
OG0001297	KAI3425896.1	XP_005847797.1
OG0001298	KAI3433376.1	XP_005851306.1
OG0001298	KAI3433375.1	XP_005851606.1
OG0001299	KAI3438597.1, KAI3438598.1	XP_005849539.1
OG0001300	KAI3438680.1, KAI3431703.1	XP_005844957.1, XP_005849591.1
OG0001301	KAI3438912.1	XP_005849947.1
OG0001302	KAI3436162.1	XP_005845414.1, XP_005852194.1, XP_005845451.1
OG0001305	KAI3432776.1, KAI3432777.1, KAI3432775.1	XP_005843528.1
OG0001306	KAI3432864.1, KAI3432863.1	XP_005844331.1
OG0001307	KAI3431862.1	XP_005844093.1, XP_005842742.1
OG0001309	KAI3432318.1	XP_005851792.1
OG0001309	KAI3430530.1	XP_005846997.1, XP_005843368.1
OG0001315	KAI3425085.1	XP_005846625.1
OG0001316	KAI3430721.1	XP_005842916.1
OG0001317	KAI3426012.1	XP_005847688.1
OG0001318	KAI3425064.1	XP_005846777.1
OG0001319	KAI3425069.1	XP_005846774.1
OG0001320	KAI3425055.1, KAI3425054.1	XP_005846780.1
OG0001321	KAI3424887.1	XP_005845106.1
OG0001322	KAI3425078.1	XP_005846628.1
OG0001323	KAI3425074.1	XP_005846631.1
OG0001324	KAI3425070.1	XP_005846771.1
OG0001325	KAI3438435.1	XP_005849739.1
OG0001326	KAI3438079.1	XP_005846945.1
OG0001327	KAI3425174.1	XP_005845911.1
OG0001328	KAI3425170.1	XP_005845800.1, XP_005845912.1
OG0001330	KAI3425176.1	XP_005845799.1
OG0001331	KAI3425307.1	XP_005845901.1
OG0001332	KAI3424841.1	XP_005845197.1
OG0001333	KAI3425244.1	XP_005845767.1, XP_005842630.1
OG0001334	KAI3425122.1	XP_005845822.1
OG0001335	KAI3431827.1	XP_005843235.1
OG0001336	KAI3425337.1	XP_005845731.1
OG0001337	KAI3430447.1	XP_005843412.1
OG0001338	KAI3430429.1, KAI3430426.1	XP_005844458.1
OG0001339	KAI3430425.1	XP_005844556.1, XP_005844557.1
OG0001340	KAI3437586.1	XP_005848019.1
OG0001341	KAI3433289.1	XP_005851338.1
OG0001343	KAI3438168.1	XP_005846908.1
OG0001344	KAI3429450.1	XP_005851755.1
OG0001345	KAI3435818.1	XP_005846479.1
OG0001346	KAI3430608.1, KAI3430609.1	XP_005844103.1
OG0001347	KAI3428711.1	XP_005847390.1
OG0001348	KAI3430383.1	XP_005844483.1
OG0001350	KAI3430379.1	XP_005844577.1
OG0001351	KAI3430350.1	XP_005844496.1
OG0001352	KAI3428471.1, KAI3428468.1	XP_005847500.1
OG0001353	KAI3430333.1	XP_005844504.1
OG0001354	KAI3430346.1	XP_005844593.1
OG0001355	KAI3430323.1	XP_005844600.1
OG0001356	KAI3430306.1	XP_005844513.1
OG0001357	KAI3430287.1	XP_005844518.1
OG0001358	KAI3430272.1	XP_005844526.1
OG0001359	KAI3430260.1	XP_005844531.1
OG0001360	KAI3430262.1, KAI3430330.1	XP_005844630.1
OG0001361	KAI3430256.1, KAI3430254.1	XP_005844533.1
OG0001362	KAI3430216.1	XP_005844549.1
OG0001363	KAI3428192.1	XP_005850113.1
OG0001364	KAI3431727.1	XP_005844841.1
OG0001365	KAI3431790.1	XP_005843255.1
OG0001366	KAI3431784.1, KAI3431785.1	XP_005843299.1
OG0001367	KAI3431751.1	XP_005844930.1
OG0001368	KAI3431801.1, KAI3424777.1	XP_005843296.1
OG0001369	KAI3431813.1	XP_005843239.1
OG0001370	KAI3431811.1	XP_005843240.1
OG0001371	KAI3423129.1, KAI3431825.1	XP_005843236.1
OG0001372	KAI3431852.1	XP_005843272.1
OG0001373	KAI3431856.1	XP_005843270.1
OG0001374	KAI3429312.1	XP_005851691.1
OG0001374	KAI3426181.1	XP_005848232.1
OG0001375	KAI3438809.1	XP_005849652.1
OG0001376	KAI3431646.1	XP_005844982.1
OG0001377	KAI3438749.1	XP_005849883.1
OG0001378	KAI3429700.1	XP_005852218.1
OG0001379	KAI3431655.1	XP_005844980.1
OG0001380	KAI3431674.1, KAI3431675.1	XP_005844971.1
OG0001381	KAI3431667.1	XP_005844865.1
OG0001382	KAI3431683.1	XP_005844967.1
OG0001383	KAI3431697.1	XP_005844959.1
OG0001383	KAI3431698.1	XP_005844850.1
OG0001384	KAI3431627.1, KAI3431626.1	XP_005844886.1
OG0001385	KAI3431603.1	XP_005852203.1
OG0001387	KAI3430799.1	XP_005844768.1
OG0001389	KAI3438929.1	XP_005849961.1
OG0001390	KAI3438926.1	XP_005849958.1
OG0001391	KAI3438934.1	XP_005849964.1
OG0001392	KAI3439000.1	XP_005843770.1
OG0001393	KAI3439009.1	XP_005843775.1
OG0001394	KAI3438996.1	XP_005843824.1
OG0001395	KAI3438985.1, KAI3438984.1	XP_005843819.1
OG0001396	KAI3438923.1	XP_005849956.1
OG0001397	KAI3438925.1	XP_005849702.1
OG0001399	KAI3438759.1	XP_005849889.1
OG0001400	KAI3438729.1	XP_005849874.1
OG0001401	KAI3430561.1	XP_005844074.1
OG0001402	KAI3438905.1, KAI3438906.1	XP_005849695.1
OG0001403	KAI3438885.1	XP_005849936.1
OG0001405	KAI3438889.1	XP_005849688.1
OG0001406	KAI3429326.1	XP_005851698.1
OG0001407	KAI3429243.1	XP_005851986.1
OG0001408	KAI3438898.1	XP_005849942.1
OG0001409	KAI3438692.1	XP_005849594.1
OG0001410	KAI3438698.1	XP_005849598.1
OG0001411	KAI3438697.1	XP_005849859.1
OG0001412	KAI3438679.1	XP_005849849.1
OG0001413	KAI3438664.1	XP_005849843.1
OG0001414	KAI3438662.1	XP_005849842.1
OG0001415	KAI3438739.1	XP_005849878.1
OG0001416	KAI3432285.1	XP_005849914.1
OG0001417	KAI3438722.1	XP_005849871.1
OG0001418	KAI3436674.1	XP_005850649.1
OG0001419	KAI3438841.1	XP_005849919.1
OG0001420	KAI3438844.1	XP_005849920.1
OG0001421	KAI3434848.1	XP_005847624.1
OG0001422	KAI3438704.1	XP_005849602.1
OG0001423	KAI3438702.1	XP_005849861.1
OG0001424	KAI3431836.1	XP_005843281.1
OG0001425	KAI3438137.1	XP_005847102.1
OG0001426	KAI3438655.1	XP_005849840.1
OG0001427	KAI3438161.1, KAI3438610.1	XP_005849554.1
OG0001428	KAI3438599.1	XP_005849812.1
OG0001430	KAI3431657.1	XP_005844869.1
OG0001431	KAI3438590.1	XP_005849809.1
OG0001432	KAI3428633.1	XP_005847274.1
OG0001433	KAI3426872.1	XP_005848992.1
OG0001434	KAI3426869.1	XP_005848998.1
OG0001435	KAI3425954.1	XP_005847822.1
OG0001436	KAI3426840.1, KAI3426839.1	XP_005848794.1
OG0001438	KAI3426859.1	XP_005849005.1, XP_005849004.1
OG0001439	KAI3426923.1	XP_005848757.1
OG0001440	KAI3426927.1	XP_005848960.1
OG0001441	KAI3436295.1	XP_005845382.1
OG0001442	KAI3426943.1	XP_005848956.1
OG0001443	KAI3426959.1	XP_005848951.1
OG0001444	KAI3426960.1	XP_005848950.1
OG0001445	KAI3428365.1	XP_005850442.1
OG0001446	KAI3427020.1	XP_005848718.1
OG0001447	KAI3424907.1	XP_005845230.1
OG0001448	KAI3427027.1	XP_005848714.1
OG0001449	KAI3427016.1	XP_005848721.1
OG0001450	KAI3427009.1	XP_005848725.1
OG0001451	KAI3427011.1	XP_005848724.1
OG0001452	KAI3426985.1, KAI3426988.1	XP_005848731.1
OG0001453	KAI3426971.1	XP_005848944.1
OG0001454	KAI3427001.1	XP_005848726.1
OG0001456	KAI3427127.1	XP_005848870.1
OG0001457	KAI3426962.1	XP_005848949.1
OG0001458	KAI3427062.1, KAI3427035.1	XP_005848695.1
OG0001459	KAI3433423.1	XP_005851288.1, XP_005851289.1
OG0001460	KAI3427097.1	XP_005848890.1
OG0001461	KAI3427134.1	XP_005848666.1
OG0001462	KAI3427043.1	XP_005848917.1
OG0001463	KAI3427042.1	XP_005848918.1
OG0001464	KAI3429595.1	XP_005852171.1
OG0001465	KAI3427167.1	XP_005848850.1
OG0001466	KAI3427161.1	XP_005848853.1
OG0001467	KAI3427195.1	XP_005848841.1
OG0001468	KAI3427186.1	XP_005848635.1, XP_005848843.1
OG0001469	KAI3434461.1	XP_005847404.1, XP_005850165.1
OG0001470	KAI3425232.1	XP_005845888.1
OG0001471	KAI3427154.1	XP_005848855.1
OG0001472	KAI3427185.1	XP_005848844.1
OG0001473	KAI3427250.1	XP_005848814.1
OG0001474	KAI3427169.1	XP_005848645.1
OG0001475	KAI3427412.1	XP_005843202.1
OG0001476	KAI3436796.1, KAI3436797.1	XP_005850590.1
OG0001477	KAI3436744.1	XP_005842601.1, XP_005850893.1
OG0001478	KAI3436792.1	XP_005850593.1
OG0001479	KAI3436848.1	XP_005850854.1
OG0001480	KAI3436707.1	XP_005850629.1
OG0001481	KAI3436779.1, KAI3436780.1	XP_005850881.1
OG0001482	KAI3436781.1	XP_005850597.1
OG0001483	KAI3436765.1	XP_005850887.1
OG0001484	KAI3436865.1	XP_005850847.1
OG0001485	KAI3435484.1, KAI3435483.1	XP_005850535.1
OG0001486	KAI3435490.1	XP_005843245.1, XP_005850530.1
OG0001487	KAI3435493.1	XP_005850822.1, XP_005850823.1
OG0001488	KAI3435504.1	XP_005850518.1
OG0001489	KAI3435525.1	XP_005850808.1
OG0001490	KAI3435531.1, KAI3435530.1	XP_005850505.1
OG0001491	KAI3435572.1	XP_005850782.1
OG0001492	KAI3435617.1, KAI3435618.1	XP_005846557.1
OG0001493	KAI3433300.1	XP_005851334.1
OG0001494	KAI3427198.1	XP_005848838.1
OG0001495	KAI3433845.1	XP_005843934.1
OG0001496	KAI3424423.1	XP_005843137.1
OG0001497	KAI3434482.1	XP_005843959.1
OG0001498	KAI3434403.1	XP_005843916.1
OG0001499	KAI3434521.1, KAI3434515.1	XP_005843945.1
OG0001500	KAI3425184.1	XP_005845792.1
OG0001501	KAI3434467.1	XP_005843960.1
OG0001502	KAI3434560.1	XP_005843943.1, XP_005842656.1
OG0001503	KAI3423434.1	XP_005847355.1
OG0001504	KAI3434485.1	XP_005843958.1
OG0001505	KAI3430445.1	XP_005843351.1
OG0001506	KAI3428251.1	XP_005850385.1
OG0001507	KAI3434536.1	XP_005843948.1
OG0001509	KAI3437549.1	XP_005848194.1
OG0001510	KAI3437551.1	XP_005848196.1
OG0001511	KAI3437779.1	XP_005848098.1
OG0001512	KAI3437763.1	XP_005848106.1
OG0001513	KAI3437588.1	XP_005848018.1
OG0001514	KAI3437782.1	XP_005842699.1, XP_005848096.1
OG0001515	KAI3432435.1	XP_005844439.1
OG0001516	KAI3437694.1	XP_005848140.1
OG0001517	KAI3437687.1	XP_005847980.1
OG0001518	KAI3437684.1	XP_005847982.1
OG0001519	KAI3437728.1	XP_005847963.1
OG0001520	KAI3437794.1	XP_005844010.1, XP_005848089.1
OG0001521	KAI3437617.1	XP_005848010.1
OG0001522	KAI3428816.1	XP_005850213.1
OG0001524	KAI3428776.1	XP_005850223.1
OG0001525	KAI3428833.1	XP_005850208.1
OG0001526	KAI3428108.1	XP_005850321.1
OG0001527	KAI3424875.1	XP_005845210.1
OG0001528	KAI3428097.1	XP_005850062.1
OG0001529	KAI3428124.1	XP_005850075.1
OG0001530	KAI3428167.1, KAI3428168.1	XP_005850349.1
OG0001531	KAI3428173.1	XP_005850105.1
OG0001532	KAI3428175.1	XP_005850106.1
OG0001533	KAI3428154.1	XP_005850096.1
OG0001534	KAI3428153.1	XP_005850093.1
OG0001535	KAI3428772.1	XP_005847363.1
OG0001536	KAI3423427.1	XP_005845621.1
OG0001537	KAI3432584.1	XP_005843626.1
OG0001538	KAI3428230.1	XP_005850130.1, XP_005850131.1
OG0001540	KAI3428115.1	XP_005850071.1
OG0001541	KAI3428250.1	XP_005850384.1
OG0001542	KAI3428017.1	XP_005850272.1
OG0001543	KAI3428088.1, KAI3428087.1	XP_005850311.1
OG0001544	KAI3438222.1	XP_005846885.1
OG0001545	KAI3437980.1	XP_005847191.1
OG0001546	KAI3437972.1	XP_005847197.1
OG0001547	KAI3437969.1	XP_005847199.1
OG0001548	KAI3438095.1	XP_005847125.1
OG0001549	KAI3424764.1, KAI3424765.1	XP_005845163.1
OG0001550	KAI3423818.1	XP_005845762.1, XP_005846826.1, XP_005846617.1
OG0001551	KAI3429598.1	XP_005852169.1
OG0001552	KAI3424921.1	XP_005845236.1
OG0001553	KAI3424920.1	XP_005845120.1
OG0001554	KAI3424922.1	XP_005845121.1
OG0001555	KAI3424941.1, KAI3424942.1	XP_005846696.1
OG0001556	KAI3424704.1, KAI3424705.1	XP_005845030.1
OG0001557	KAI3431264.1	XP_005845942.1
OG0001558	KAI3431263.1	XP_005846081.1
OG0001559	KAI3433502.1	XP_005851258.1
OG0001561	KAI3431281.1	XP_005846088.1
OG0001562	KAI3431275.1	XP_005845951.1
OG0001563	KAI3431258.1	XP_005846076.1
OG0001564	KAI3431467.1	XP_005846042.1
OG0001565	KAI3431469.1	XP_005846176.1
OG0001567	KAI3431465.1	XP_005846041.1
OG0001568	KAI3424208.1	XP_005845598.1
OG0001569	KAI3431301.1	XP_005846092.1, XP_005843529.1
OG0001570	KAI3431314.1	XP_005845975.1
OG0001571	KAI3431723.1	XP_005844949.1
OG0001572	KAI3431332.1	XP_005846110.1
OG0001573	KAI3431384.1	XP_005846139.1
OG0001574	KAI3423187.1, KAI3431380.1	XP_005846135.1
OG0001575	KAI3431438.1	XP_005846030.1
OG0001576	KAI3431423.1	XP_005846025.1
OG0001577	KAI3425351.1	XP_005845833.1, XP_005845832.1
OG0001578	KAI3431421.1	XP_005846026.1
OG0001579	KAI3424126.1, KAI3424127.1	XP_005845661.1
OG0001581	KAI3431405.1	XP_005846147.1
OG0001582	KAI3431427.1	XP_005846023.1
OG0001583	KAI3431396.1, KAI3431395.1	XP_005846013.1
OG0001584	KAI3431394.1	XP_005846141.1
OG0001585	KAI3424687.1	XP_005852012.1
OG0001586	KAI3431459.1	XP_005846172.1
OG0001587	KAI3435002.1	XP_005849033.1
OG0001588	KAI3431587.1	XP_005845005.1
OG0001590	KAI3431556.1	XP_005845019.1
OG0001591	KAI3431543.1	XP_005846212.1
OG0001592	KAI3431544.1	XP_005844925.1
OG0001593	KAI3430863.1	XP_005844725.1
OG0001594	KAI3430740.1, KAI3430741.1	XP_005844747.1
OG0001595	KAI3438269.1	XP_005846868.1
OG0001596	KAI3428673.1	XP_005847406.1
OG0001597	KAI3432644.1	XP_005843609.1
OG0001598	KAI3432672.1	XP_005843542.1, XP_005842584.1
OG0001599	KAI3438307.1, KAI3438306.1	XP_005846849.1
OG0001600	KAI3432626.1	XP_005843613.1, XP_005850013.1
OG0001601	KAI3424192.1	XP_005845642.1
OG0001602	KAI3438319.1	XP_005846845.1
OG0001603	KAI3432618.1	XP_005843554.1
OG0001604	KAI3432606.1	XP_005843569.1
OG0001605	KAI3428748.1, KAI3428747.1	XP_005847370.1
OG0001606	KAI3428750.1	XP_005847369.1
OG0001607	KAI3428288.1	XP_005850154.1
OG0001608	KAI3428255.1	XP_005850143.1
OG0001609	KAI3428277.1	XP_005850400.1
OG0001610	KAI3428268.1	XP_005850146.1
OG0001611	KAI3428305.1	XP_005842545.1, XP_005842638.1
OG0001613	KAI3436839.1	XP_005850859.1, XP_005846537.1
OG0001614	KAI3438172.1	XP_005847088.1
OG0001615	KAI3436845.1	XP_005850563.1
OG0001616	KAI3436846.1	XP_005850856.1
OG0001617	KAI3428667.1	XP_005847263.1
OG0001618	KAI3436663.1	XP_005850653.1
OG0001619	KAI3436684.1, KAI3436683.1	XP_005850924.1
OG0001620	KAI3436588.1	XP_005850973.1
OG0001621	KAI3436524.1	XP_005851000.1
OG0001622	KAI3436461.1	XP_005851025.1
OG0001623	KAI3428029.1	XP_005850278.1
OG0001623	KAI3428030.1	XP_005851073.1
OG0001624	KAI3424987.1	XP_005846667.1
OG0001625	KAI3436634.1	XP_005850950.1
OG0001626	KAI3436633.1	XP_005850951.1
OG0001627	KAI3436620.1	XP_005850672.1
OG0001628	KAI3436615.1	XP_005850675.1
OG0001630	KAI3436709.1	XP_005850628.1
OG0001632	KAI3436576.1	XP_005850695.1
OG0001633	KAI3433346.1	XP_005851618.1
OG0001634	KAI3430453.1	XP_005843410.1
OG0001635	KAI3428721.1	XP_005847382.1
OG0001636	KAI3430860.1	XP_005844800.1
OG0001638	KAI3436715.1, KAI3436717.1	XP_005850909.1
OG0001639	KAI3436445.1	XP_005850749.1
OG0001640	KAI3436434.1	XP_005851036.1
OG0001641	KAI3438629.1	XP_005842749.1, XP_005849866.1
OG0001642	KAI3436415.1	XP_005851043.1
OG0001643	KAI3436388.1	XP_005851054.1
OG0001644	KAI3425695.1	XP_005847714.1
OG0001645	KAI3425220.1	XP_005845780.1
OG0001648	KAI3429290.1, KAI3429292.1	XP_005852011.1
OG0001649	KAI3429283.1	XP_005852008.1
OG0001650	KAI3429296.1	XP_005852013.1
OG0001651	KAI3425762.1	XP_005847560.1
OG0001652	KAI3429250.1	XP_005852305.1
OG0001653	KAI3429318.1	XP_005852024.1
OG0001654	KAI3429276.1	XP_005852003.1
OG0001655	KAI3427232.1	XP_005848819.1
OG0001656	KAI3429498.1	XP_005851776.1
OG0001657	KAI3428437.1	XP_005847520.1
OG0001659	KAI3429382.1	XP_005851724.1
OG0001660	KAI3429523.1, KAI3429522.1	XP_005852129.1
OG0001661	KAI3429520.1	XP_005852126.1
OG0001662	KAI3429516.1	XP_005851786.1
OG0001664	KAI3429359.1	XP_005852049.1
OG0001665	KAI3429351.1	XP_005851706.1
OG0001666	KAI3429348.1	XP_005851705.1
OG0001667	KAI3429333.1	XP_005851701.1
OG0001668	KAI3424111.1	XP_005845564.1
OG0001669	KAI3429300.1, KAI3429299.1	XP_005851685.1, XP_005842748.1
OG0001670	KAI3429309.1	XP_005852019.1
OG0001671	KAI3429310.1	XP_005851689.1
OG0001672	KAI3429236.1, KAI3429264.1	XP_005851996.1
OG0001673	KAI3429263.1	XP_005851672.1
OG0001674	KAI3429631.1, KAI3429633.1	XP_005851828.1
OG0001675	KAI3429588.1	XP_005851849.1
OG0001676	KAI3429270.1	XP_005852000.1
OG0001677	KAI3426116.1	XP_005848202.1
OG0001678	KAI3438155.1, KAI3438156.1	XP_005846912.1
OG0001679	KAI3429781.1	XP_005852244.1
OG0001680	KAI3432759.1	XP_005843518.1
OG0001681	KAI3434998.1	XP_005849237.1
OG0001682	KAI3435010.1	XP_005849029.1
OG0001683	KAI3435011.1	XP_005849232.1
OG0001684	KAI3435027.1	XP_005849019.1
OG0001685	KAI3434768.1	XP_005849349.1
OG0001686	KAI3434798.1	XP_005849130.1
OG0001687	KAI3434806.1	XP_005849127.1
OG0001688	KAI3434880.1	XP_005849287.1
OG0001689	KAI3434879.1	XP_005849088.1, XP_005849087.1
OG0001690	KAI3426233.1	XP_005848456.1
OG0001691	KAI3434902.1	XP_005849274.1
OG0001692	KAI3434903.1	XP_005849070.1
OG0001693	KAI3434854.1, KAI3434855.1	XP_005849099.1
OG0001694	KAI3432412.1	XP_005844446.1
OG0001695	KAI3434915.1	XP_005849069.1
OG0001696	KAI3434826.1, KAI3434827.1	XP_005849323.1
OG0001697	KAI3434857.1	XP_005849098.1, XP_005849097.1
OG0001698	KAI3434910.1	XP_005849278.1
OG0001699	KAI3434859.1	XP_005849306.1
OG0001700	KAI3434929.1	XP_005848423.1
OG0001701	KAI3434944.1	XP_005849060.1
OG0001702	KAI3434685.1	XP_005849389.1
OG0001703	KAI3434807.1, KAI3434808.1	XP_005849330.1
OG0001704	KAI3434865.1	XP_005849093.1
OG0001705	KAI3434844.1	XP_005849315.1
OG0001706	KAI3434706.1	XP_005849377.1
OG0001707	KAI3434698.1	XP_005849381.1
OG0001708	KAI3428684.1	XP_005847400.1
OG0001709	KAI3434657.1	XP_005849203.1
OG0001710	KAI3434678.1	XP_005849395.1
OG0001711	KAI3434713.1	XP_005849179.1
OG0001712	KAI3434982.1	XP_005849040.1
OG0001713	KAI3434739.1	XP_005849166.1, XP_005849165.1
OG0001714	KAI3434740.1	XP_005849363.1, XP_005850910.1
OG0001715	KAI3429620.1	XP_005851831.1
OG0001716	KAI3434662.1	XP_005849404.1
OG0001717	KAI3434622.1	XP_005849215.1
OG0001718	KAI3434630.1	XP_005849418.1, XP_005849416.1
OG0001720	KAI3436737.1	XP_005850896.1
OG0001721	KAI3434598.1, KAI3434597.1	XP_005849434.1
OG0001722	KAI3434607.1	XP_005849221.1
OG0001724	KAI3425845.1	XP_005847609.1
OG0001725	KAI3434460.1	XP_005843967.1
OG0001726	KAI3429860.1	XP_005852266.1
OG0001727	KAI3429868.1	XP_005852275.1
OG0001729	KAI3429895.1	XP_005852286.1
OG0001730	KAI3429897.1	XP_005851972.1
OG0001731	KAI3433780.1	XP_005851122.1
OG0001732	KAI3429866.1	XP_005851963.1
OG0001733	KAI3429886.1	XP_005851966.1
OG0001734	KAI3429851.1	XP_005851956.1
OG0001735	KAI3429817.1	XP_005851937.1
OG0001735	KAI3429816.1	XP_005851936.1
OG0001737	KAI3423310.1, KAI3429622.1	XP_005852160.1
OG0001739	KAI3429607.1	XP_005842558.1, XP_005851839.1
OG0001740	KAI3429602.1	XP_005852167.1
OG0001741	KAI3429618.1	XP_005851832.1
OG0001742	KAI3424161.1	XP_005845632.1
OG0001743	KAI3429672.1	XP_005851873.1
OG0001744	KAI3429719.1	XP_005851896.1, XP_005842679.1
OG0001745	KAI3429725.1	XP_005852227.1
OG0001746	KAI3429674.1	XP_005852209.1
OG0001748	KAI3429729.1	XP_005852225.1
OG0001749	KAI3429567.1	XP_005852152.1
OG0001750	KAI3429562.1, KAI3429563.1	XP_005851816.1
OG0001751	KAI3429732.1	XP_005851901.1
OG0001752	KAI3429691.1	XP_005851882.1
OG0001753	KAI3429581.1	XP_005851855.1
OG0001754	KAI3434514.1	XP_005843954.1
OG0001755	KAI3436150.1	XP_005845456.1
OG0001756	KAI3437574.1, KAI3437575.1	XP_005848190.1
OG0001757	KAI3432440.1	XP_005844329.1
OG0001758	KAI3431433.1, KAI3431432.1	XP_005846153.1
OG0001759	KAI3434419.1	XP_005842904.1
OG0001760	KAI3434420.1	XP_005843333.1
OG0001761	KAI3436011.1	XP_005842816.1
OG0001762	KAI3436190.1	XP_005845303.1
OG0001763	KAI3426193.1	XP_005848433.1, XP_005848432.1
OG0001764	KAI3429722.1	XP_005851894.1
OG0001765	KAI3438715.1	XP_005849611.1
OG0001766	KAI3426399.1	XP_005848344.1
OG0001767	KAI3426121.1, KAI3426122.1	XP_005848403.1
OG0001768	KAI3426109.1	XP_005848200.1
OG0001769	KAI3430754.1	XP_005844664.1
OG0001770	KAI3436372.1	XP_005842975.1
OG0001771	KAI3426211.1, KAI3426210.1	XP_005848244.1
OG0001772	KAI3426206.1	XP_005848243.1
OG0001773	KAI3433410.1	XP_005851295.1, XP_005851294.1
OG0001774	KAI3426359.1	XP_005848323.1
OG0001775	KAI3426336.1	XP_005848502.1
OG0001776	KAI3435891.1	XP_005846443.1
OG0001777	KAI3426411.1	XP_005848349.1
OG0001779	KAI3435553.1	XP_005850496.1
OG0001780	KAI3426429.1	XP_005848353.1
OG0001782	KAI3426415.1	XP_005848540.1
OG0001784	KAI3430770.1	XP_005844676.1
OG0001786	KAI3430796.1	XP_005844691.1
OG0001787	KAI3430823.1	XP_005844704.1, XP_005844705.1
OG0001788	KAI3435750.1	XP_005846508.1
OG0001789	KAI3428074.1	XP_005850046.1
OG0001790	KAI3423824.1	XP_005846754.1
OG0001791	KAI3428147.1	XP_005850088.1
OG0001792	KAI3437644.1	XP_005848159.1
OG0001793	KAI3439039.1	XP_005843839.1
OG0001794	KAI3439015.1	XP_005843828.1
OG0001795	KAI3438943.1	XP_005843746.1
OG0001796	KAI3439125.1	XP_005843472.1
OG0001797	KAI3433576.1	XP_005851510.1
OG0001798	KAI3430761.1	XP_005844668.1, XP_005844671.1
OG0001799	KAI3430787.1	XP_005844686.1
OG0001800	KAI3430783.1	XP_005844763.1
OG0001801	KAI3428651.1	XP_005847417.1
OG0001802	KAI3433896.1	XP_005851358.1
OG0001803	KAI3423854.1	XP_005846740.1
OG0001804	KAI3438297.1	XP_005846854.1
OG0001805	KAI3437558.1	XP_005845928.1, XP_005845929.1
OG0001806	KAI3438596.1	XP_005849803.1
OG0001807	KAI3438586.1	XP_005849806.1
OG0001808	KAI3438440.1, KAI3438441.1	XP_005849742.1
OG0001809	KAI3428724.1	XP_005847380.1
OG0001810	KAI3438454.1	XP_005849480.1
OG0001811	KAI3438472.1	XP_005849485.1
OG0001812	KAI3438501.1	XP_005849766.1
OG0001813	KAI3438502.1	XP_005849497.1
OG0001814	KAI3438406.1, KAI3438407.1	XP_005849726.1
OG0001815	KAI3438491.1	XP_005849760.1
OG0001816	KAI3438563.1	XP_005849794.1
OG0001817	KAI3438425.1	XP_005849735.1
OG0001818	KAI3438415.1	XP_005849730.1
OG0001819	KAI3438566.1	XP_005849531.1
OG0001820	KAI3438574.1, KAI3438575.1	XP_005849798.1
OG0001821	KAI3433359.1	XP_005851611.1
OG0001822	KAI3438569.1	XP_005849796.1
OG0001823	KAI3438579.1	XP_005849535.1
OG0001824	KAI3438518.1	XP_005849506.1
OG0001825	KAI3425381.1	XP_005845828.1
OG0001826	KAI3438549.1	XP_005849524.1
OG0001827	KAI3438559.1, KAI3438560.1	XP_005849528.1
OG0001828	KAI3438543.1	XP_005849521.1
OG0001829	KAI3438521.1	XP_005849508.1
OG0001830	KAI3438523.1	XP_005849509.1
OG0001831	KAI3438515.1	XP_005849773.1
OG0001833	KAI3438507.1	XP_005849769.1, XP_005844215.1
OG0001834	KAI3438527.1	XP_005849779.1, XP_005849780.1
OG0001835	KAI3438255.1	XP_005847048.1
OG0001836	KAI3423803.1, KAI3423802.1	XP_005851346.1
OG0001837	KAI3428606.1	XP_005847286.1
OG0001838	KAI3428510.1	XP_005847484.1
OG0001839	KAI3428512.1, KAI3428513.1	XP_005847483.1
OG0001841	KAI3428578.1, KAI3423533.1	XP_005845541.1
OG0001842	KAI3428576.1	XP_005847280.1
OG0001843	KAI3428543.1	XP_005847468.1
OG0001844	KAI3428467.1	XP_005847502.1, XP_005845615.1
OG0001845	KAI3428586.1	XP_005847449.1
OG0001846	KAI3428614.1, KAI3428615.1	XP_005847289.1
OG0001847	KAI3434610.1	XP_005849428.1
OG0001848	KAI3428582.1	XP_005847432.1
OG0001849	KAI3438182.1	XP_005847085.1
