Orthogroup	oneline_c_vulgaris_genome_proteins	oneline_A99_genome_proteins
OG0000717	KAI3426213.1	scaffold15.g4211.t1
OG0000718	KAI3426409.1, KAI3426410.1	scaffold2.g7394.t1, scaffold15.g4279.t1
OG0000719	KAI3426389.1	scaffold15.g4282.t1
OG0000720	KAI3426378.1	scaffold15.g4292.t1
OG0000720	KAI3431411.1	scaffold12.g8274.t1
OG0000721	KAI3426447.1, KAI3426449.1	scaffold15.g4302.t1
OG0000722	KAI3430669.1, KAI3430670.1	scaffold15.g4359.t1
OG0000723	KAI3430836.1	scaffold15.g4373.t1
OG0000724	KAI3432327.1	scaffold4.g4662.t1
OG0000725	KAI3438547.1	scaffold4.g4735.t1
OG0000725	KAI3438546.1	scaffold4.g4734.t1
OG0000726	KAI3438388.1	scaffold4.g4756.t1
OG0000726	KAI3433553.1	scaffold1.g5621.t1
OG0000727	KAI3438536.1	scaffold4.g4794.t1
OG0000728	KAI3438373.1, KAI3438374.1	scaffold4.g4803.t1, scaffold4.g4804.t1
OG0000729	KAI3433786.1	scaffold4.g4827.t1
OG0000730	KAI3438250.1, KAI3438251.1	scaffold4.g4829.t1
OG0000731	KAI3438257.1	scaffold4.g4833.t1
OG0000732	KAI3428605.1	scaffold4.g4874.t1, scaffold4.g4886.t1
OG0000734	KAI3428482.1, KAI3428483.1	scaffold4.g4904.t1
OG0000735	KAI3428049.1, KAI3428611.1	scaffold4.g4959.t1
OG0000736	KAI3428580.1, KAI3423530.1, KAI3423531.1	scaffold4.g4973.t1
OG0000737	KAI3428552.1, KAI3428551.1	scaffold4.g5003.t1
OG0000738	KAI3428553.1	scaffold4.g5005.t1
OG0000739	KAI3424234.1	scaffold4.g5009.t1
OG0000740	KAI3428485.1	scaffold1.g5657.t1
OG0000740	KAI3428486.1	scaffold4.g5041.t1, scaffold4.g5040.t1
OG0000741	KAI3432427.1	scaffold153.g5077.t1, scaffold2.g6796.t1
OG0000742	KAI3433937.1	scaffold1.g5181.t1
OG0000742	KAI3433933.1	scaffold3.g6530.t1
OG0000743	KAI3433762.1	scaffold1.g5239.t1
OG0000743	KAI3433763.1	scaffold1.g5208.t1
OG0000744	KAI3436212.1	scaffold3.g6683.t1
OG0000745	KAI3433788.1	scaffold1.g5276.t1
OG0000746	KAI3433919.1, KAI3433918.1	scaffold1.g5285.t1
OG0000747	KAI3433735.1, KAI3433719.1	scaffold1.g5346.t1
OG0000748	KAI3433623.1	scaffold1.g5418.t1
OG0000748	KAI3433622.1	scaffold1.g5417.t1
OG0000749	KAI3433525.1	scaffold1.g5474.t1
OG0000749	KAI3433526.1	scaffold1.g5475.t1
OG0000750	KAI3424441.1	scaffold1.g5485.t1
OG0000751	KAI3433416.1	scaffold1.g5813.t1, scaffold1.g5508.t1
OG0000751	KAI3433418.1	scaffold1.g5809.t1
OG0000752	KAI3432348.1, KAI3438976.1, KAI3436855.1	scaffold1.g5523.t1
OG0000753	KAI3432621.1	scaffold1.g5530.t1
OG0000754	KAI3433343.1	scaffold1.g5539.t1
OG0000754	KAI3433342.1	scaffold1.g5540.t1
OG0000755	KAI3437637.1	scaffold1.g5580.t1
OG0000756	KAI3433442.1	scaffold1.g5590.t1
OG0000757	KAI3433679.1	scaffold1.g5632.t1
OG0000757	KAI3433675.1	scaffold1.g5634.t1
OG0000758	KAI3423846.1, KAI3423845.1	scaffold1.g5732.t1
OG0000759	KAI3433315.1, KAI3433313.1	scaffold1.g5750.t1
OG0000760	KAI3429796.1, KAI3429795.1	scaffold1.g5775.t1
OG0000761	KAI3433430.1	scaffold1.g5776.t1
OG0000762	KAI3423811.1, KAI3423812.1	scaffold1.g5793.t1
OG0000763	KAI3438300.1	scaffold1.g5826.t1
OG0000765	KAI3428759.1, KAI3425157.1, KAI3425843.1	scaffold1.g5848.t1
OG0000766	KAI3425098.1	scaffold29.g5912.t1
OG0000767	KAI3425018.1	scaffold29.g5923.t1
OG0000768	KAI3428051.1	scaffold22.g6094.t1
OG0000769	KAI3427050.1, KAI3437950.1	scaffold22.g6102.t1
OG0000770	KAI3435763.1	scaffold3.g6245.t1
OG0000771	KAI3435752.1	scaffold3.g6270.t1
OG0000772	KAI3435756.1	scaffold3.g6272.t1
OG0000773	KAI3435921.1, KAI3435913.1	scaffold3.g6389.t1
OG0000774	KAI3435820.1	scaffold3.g6414.t1, scaffold3.g6413.t1
OG0000775	KAI3436143.1	scaffold3.g6462.t1
OG0000776	KAI3431778.1, KAI3436160.1	scaffold3.g6476.t1
OG0000777	KAI3436244.1, KAI3436243.1	scaffold3.g6652.t1
OG0000778	KAI3436216.1, KAI3436217.1	scaffold3.g6681.t1
OG0000779	KAI3436303.1	scaffold3.g6734.t1
OG0000780	KAI3432814.1	scaffold2.g6827.t1
OG0000780	KAI3432852.1	scaffold2.g6792.t1
OG0000781	KAI3436706.1	scaffold2.g6923.t1, scaffold2.g6968.t1
OG0000782	KAI3424116.1	scaffold2.g6937.t1
OG0000782	KAI3424115.1	scaffold2.g6938.t1
OG0000783	KAI3430768.1, KAI3425082.1	scaffold2.g6994.t1
OG0000784	KAI3424183.1	scaffold2.g7044.t1
OG0000785	KAI3424193.1, KAI3424186.1	scaffold2.g7053.t1
OG0000786	KAI3437677.1	scaffold2.g7098.t1, scaffold2.g7097.t1
OG0000787	KAI3432862.1	scaffold2.g7107.t1
OG0000788	KAI3427433.1, KAI3427432.1	scaffold2.g7130.t1
OG0000789	KAI3436586.1, KAI3427436.1	scaffold2.g7137.t1
OG0000790	KAI3430971.1, KAI3430970.1	scaffold2.g7149.t1
OG0000791	KAI3430858.1	scaffold2.g7177.t1
OG0000792	KAI3433498.1	scaffold2.g7180.t1
OG0000793	KAI3430868.1	scaffold2.g7182.t1
OG0000794	KAI3430526.1	scaffold2.g7224.t1
OG0000796	KAI3430508.1	scaffold2.g7272.t1
OG0000797	KAI3430513.1, KAI3430515.1, KAI3430514.1	scaffold2.g7279.t1
OG0000798	KAI3426267.1	scaffold2.g7385.t1
OG0000799	KAI3426498.1, KAI3426499.1	scaffold2.g7482.t1
OG0000800	KAI3426087.1	scaffold2.g7485.t1
OG0000800	KAI3426091.1	scaffold2.g7524.t1
OG0000801	KAI3426268.1	scaffold28.g7549.t1
OG0000802	KAI3434543.1, KAI3432341.1, KAI3432342.1	scaffold20.g7616.t1
OG0000803	KAI3437955.1	scaffold20.g7754.t1
OG0000804	KAI3437645.1	scaffold20.g7824.t1
OG0000804	KAI3437660.1	scaffold20.g7786.t1
OG0000805	KAI3437717.1	scaffold20.g7845.t1
OG0000805	KAI3437707.1	scaffold20.g7876.t1
OG0000806	KAI3429444.1	scaffold12.g7912.t1
OG0000807	KAI3425321.1	scaffold12.g7928.t1
OG0000808	KAI3425761.1	scaffold12.g7953.t1
OG0000809	KAI3425790.1	scaffold12.g7981.t1
OG0000810	KAI3425812.1, KAI3425813.1	scaffold12.g8027.t1
OG0000811	KAI3438712.1	scaffold12.g8079.t1
OG0000812	KAI3426057.1	scaffold12.g8086.t1
OG0000813	KAI3426046.1	scaffold12.g8092.t1
OG0000814	KAI3425977.1	scaffold12.g8107.t1
OG0000814	KAI3425976.1	scaffold12.g8108.t1
OG0000815	KAI3435736.1	scaffold12.g8188.t1
OG0000816	KAI3424416.1	scaffold12.g8204.t1
OG0000817	KAI3424340.1	scaffold12.g8239.t1
OG0000818	KAI3424377.1, KAI3424381.1	scaffold12.g8273.t1
OG0000858	KAI3425088.1	scaffold16.g6.t1
OG0000859	KAI3428828.1	scaffold16.g15.t1
OG0000861	KAI3425308.1	scaffold16.g63.t1
OG0000862	KAI3433858.1	scaffold16.g68.t1
OG0000863	KAI3425181.1, KAI3425182.1	scaffold16.g75.t1
OG0000864	KAI3425172.1, KAI3425171.1	scaffold16.g79.t1
OG0000865	KAI3426041.1	scaffold12.g8088.t1
OG0000866	KAI3428113.1	scaffold16.g96.t1
OG0000866	KAI3428120.1	scaffold2.g6889.t1
OG0000867	KAI3424902.1, KAI3424904.1, KAI3424901.1	scaffold16.g97.t1
OG0000868	KAI3438821.1	scaffold2.g7092.t1, scaffold14.g1072.t1, scaffold16.g100.t1, scaffold5.g884.t1
OG0000869	KAI3432648.1	scaffold16.g104.t1, scaffold6.g2548.t1
OG0000870	KAI3425293.1	scaffold10.g2474.t1, scaffold3.g6339.t1, scaffold2.g7219.t1, scaffold16.g124.t1
OG0000871	KAI3425280.1, KAI3425272.1, KAI3425271.1	scaffold16.g130.t1
OG0000872	KAI3425347.1	scaffold16.g146.t1
OG0000873	KAI3425349.1	scaffold34.g4501.t1, scaffold16.g151.t1
OG0000874	KAI3426966.1	scaffold13.g162.t1
OG0000875	KAI3430574.1	scaffold2.g7367.t1, scaffold13.g163.t1, scaffold1.g5862.t1
OG0000876	KAI3432252.1	scaffold13.g205.t1
OG0000877	KAI3430422.1, KAI3430421.1	scaffold13.g207.t1
OG0000878	KAI3430617.1	scaffold13.g225.t1, scaffold13.g223.t1
OG0000879	KAI3430621.1	scaffold13.g227.t1
OG0000879	KAI3430622.1	scaffold13.g230.t1
OG0000880	KAI3428664.1	scaffold2.g6864.t1
OG0000880	KAI3428665.1	scaffold13.g236.t1
OG0000881	KAI3428093.1	scaffold18.g1950.t1
OG0000882	KAI3430653.1, KAI3430651.1, KAI3430650.1	scaffold13.g255.t1
OG0000883	KAI3430274.1	scaffold13.g274.t1
OG0000884	KAI3434551.1	scaffold23.g4117.t1
OG0000885	KAI3430335.1	scaffold13.g338.t1
OG0000886	KAI3426330.1	scaffold13.g381.t1, scaffold2.g7433.t1
OG0000887	KAI3430273.1	scaffold13.g382.t1
OG0000888	KAI3430235.1, KAI3430234.1, KAI3430237.1	scaffold13.g408.t1
OG0000889	KAI3436145.1	scaffold13.g413.t1
OG0000890	KAI3431740.1	scaffold17.g454.t1
OG0000891	KAI3433728.1	scaffold17.g470.t1
OG0000892	KAI3431829.1	scaffold17.g480.t1
OG0000893	KAI3431826.1, KAI3423130.1	scaffold17.g489.t1
OG0000895	KAI3428163.1	scaffold17.g538.t1, scaffold17.g535.t1, scaffold17.g534.t1
OG0000896	KAI3431652.1	scaffold17.g537.t1
OG0000897	KAI3424068.1	scaffold2.g6989.t1, scaffold17.g561.t1
OG0000898	KAI3426134.1	scaffold23.g4188.t1, scaffold23.g4186.t1, scaffold17.g564.t1
OG0000899	KAI3431692.1	scaffold17.g574.t1
OG0000900	KAI3423957.1	scaffold2.g6841.t1
OG0000900	KAI3438963.1	scaffold17.g575.t1
OG0000901	KAI3431680.1	scaffold17.g576.t1
OG0000902	KAI3431711.1	scaffold17.g577.t1
OG0000903	KAI3425238.1	scaffold5.g604.t1
OG0000904	KAI3428554.1	scaffold5.g665.t1, scaffold4.g5008.t1
OG0000905	KAI3432830.1	scaffold5.g703.t1
OG0000906	KAI3429701.1	scaffold5.g709.t1, scaffold11.g3976.t1
OG0000907	KAI3438737.1, KAI3438728.1	scaffold5.g720.t1
OG0000909	KAI3432624.1	scaffold5.g758.t1
OG0000910	KAI3438618.1	scaffold5.g761.t1
OG0000911	KAI3438855.1	scaffold5.g778.t1
OG0000912	KAI3438890.1	scaffold5.g790.t1
OG0000913	KAI3427213.1	scaffold2.g7125.t1, scaffold5.g844.t1, scaffold1.g5840.t1
OG0000914	KAI3438783.1	scaffold1.g5579.t1, scaffold40.g5168.t1, scaffold1.g5447.t1, scaffold2.g7251.t1, scaffold5.g864.t1
OG0000915	KAI3431816.1	scaffold5.g866.t1
OG0000916	KAI3438813.1	scaffold37.g4380.t1, scaffold39.g4413.t1, scaffold5.g877.t1
OG0000917	KAI3434850.1	scaffold5.g893.t1, scaffold2.g7065.t1
OG0000918	KAI3438847.1	scaffold5.g905.t1
OG0000919	KAI3438634.1, KAI3438635.1	scaffold5.g911.t1
OG0000920	KAI3438636.1	scaffold5.g912.t1
OG0000921	KAI3438624.1	scaffold5.g935.t1
OG0000922	KAI3438642.1	scaffold5.g949.t1
OG0000923	KAI3437777.1	scaffold5.g970.t1
OG0000924	KAI3429238.1	scaffold9.g3226.t1
OG0000925	KAI3438594.1	scaffold5.g1010.t1
OG0000926	KAI3426888.1, KAI3426890.1, KAI3426889.1	scaffold14.g1041.t1
OG0000927	KAI3426857.1	scaffold14.g1053.t1, scaffold14.g1318.t1
OG0000928	KAI3431318.1	scaffold4.g5039.t1, scaffold14.g1055.t1
OG0000929	KAI3426849.1	scaffold14.g1057.t1
OG0000930	KAI3426924.1	scaffold14.g1062.t1
OG0000931	KAI3426912.1, KAI3426909.1	scaffold14.g1078.t1
OG0000932	KAI3428174.1	scaffold14.g1132.t1
OG0000933	KAI3435829.1	scaffold3.g6441.t1
OG0000934	KAI3432596.1	scaffold14.g1141.t1, scaffold22.g6083.t1, scaffold22.g6088.t1
OG0000935	KAI3427018.1, KAI3427017.1	scaffold14.g1155.t1
OG0000936	KAI3426989.1	scaffold14.g1162.t1
OG0000939	KAI3432336.1	scaffold6.g2508.t1, scaffold14.g1215.t1
OG0000940	KAI3423987.1	scaffold53.g4532.t1
OG0000941	KAI3427166.1, KAI3435881.1	scaffold14.g1275.t1
OG0000942	KAI3427007.1	scaffold14.g1288.t1
OG0000943	KAI3427184.1	scaffold14.g1310.t1
OG0000944	KAI3424222.1, KAI3430595.1	scaffold14.g1312.t1
OG0000945	KAI3427248.1	scaffold14.g1316.t1
OG0000946	KAI3436815.1	scaffold8.g1369.t1
OG0000947	KAI3436788.1	scaffold8.g1388.t1
OG0000948	KAI3424909.1	scaffold8.g1393.t1
OG0000949	KAI3436762.1	scaffold8.g1440.t1
OG0000949	KAI3436763.1	scaffold8.g1439.t1
OG0000950	KAI3436754.1, KAI3432281.1, KAI3432583.1	scaffold8.g1444.t1
OG0000951	KAI3436891.1	scaffold8.g1445.t1
OG0000952	KAI3431864.1	scaffold8.g1448.t1
OG0000953	KAI3436879.1, KAI3436878.1	scaffold8.g1452.t1
OG0000954	KAI3435501.1	scaffold8.g1490.t1
OG0000955	KAI3432415.1, KAI3430305.1	scaffold8.g1508.t1
OG0000956	KAI3435544.1	scaffold8.g1528.t1
OG0000957	KAI3428699.1	scaffold8.g1593.t1
OG0000958	KAI3423934.1	scaffold8.g1596.t1
OG0000958	KAI3423933.1	scaffold1.g5740.t1
OG0000959	KAI3429378.1	scaffold8.g1604.t1, scaffold2.g7248.t1
OG0000960	KAI3434533.1	scaffold11.g4024.t1, scaffold8.g1609.t1, scaffold8.g1606.t1
OG0000961	KAI3431431.1, KAI3431388.1	scaffold8.g1622.t1
OG0000963	KAI3434889.1	scaffold42.g4472.t1, scaffold8.g1641.t1, scaffold7.g3439.t1
OG0000964	KAI3432566.1	scaffold8.g1651.t1
OG0000965	KAI3434557.1	scaffold8.g1671.t1
OG0000966	KAI3427278.1	scaffold8.g1672.t1
OG0000967	KAI3434400.1	scaffold8.g1687.t1
OG0000968	KAI3430224.1	scaffold8.g1699.t1
OG0000969	KAI3434408.1	scaffold8.g1730.t1
OG0000970	KAI3437560.1	scaffold19.g1740.t1
OG0000971	KAI3437781.1	scaffold19.g1747.t1
OG0000972	KAI3437780.1	scaffold19.g1748.t1
OG0000973	KAI3433369.1	scaffold1.g5616.t1, scaffold1.g5617.t1, scaffold19.g1753.t1
OG0000974	KAI3437778.1	scaffold19.g1763.t1
OG0000975	KAI3434979.1	scaffold19.g1788.t1, scaffold7.g3667.t1
OG0000976	KAI3427926.1, KAI3425260.1	scaffold19.g1794.t1
OG0000977	KAI3428301.1	scaffold19.g1836.t1, scaffold6.g2770.t1
OG0000978	KAI3437756.1, KAI3437786.1	scaffold19.g1848.t1
OG0000979	KAI3437629.1	scaffold19.g1862.t1
OG0000980	KAI3437910.1	scaffold19.g1875.t1
OG0000981	KAI3428826.1	scaffold18.g1908.t1
OG0000982	KAI3428806.1	scaffold2.g6772.t1, scaffold18.g1914.t1
OG0000983	KAI3434638.1	scaffold1.g5193.t1
OG0000983	KAI3428111.1	scaffold18.g1929.t1
OG0000984	KAI3428139.1	scaffold18.g1942.t1
OG0000985	KAI3428141.1	scaffold18.g1944.t1
OG0000986	KAI3428096.1	scaffold18.g1947.t1
OG0000987	KAI3428126.1	scaffold18.g1951.t1
OG0000988	KAI3424468.1	scaffold18.g1953.t1, scaffold12.g8161.t1
OG0000989	KAI3428247.1, KAI3428248.1	scaffold18.g1972.t1
OG0000990	KAI3428294.1	scaffold18.g1982.t1
OG0000991	KAI3428802.1, KAI3428804.1, KAI3428803.1	scaffold18.g1986.t1
OG0000992	KAI3438328.1	scaffold21.g2086.t1, scaffold1.g5497.t1
OG0000993	KAI3424733.1	scaffold21.g2160.t1
OG0000994	KAI3424933.1, KAI3424934.1	scaffold21.g2172.t1
OG0000995	KAI3423797.1, KAI3423796.1	scaffold9.g3164.t1, scaffold21.g2178.t1
OG0000996	KAI3424953.1	scaffold21.g2195.t1
OG0000997	KAI3431347.1	scaffold2.g6811.t1, scaffold10.g2250.t1
OG0000998	KAI3431309.1	scaffold10.g2286.t1
OG0000999	KAI3431310.1, KAI3431311.1	scaffold10.g2297.t1
OG0001001	KAI3437917.1	scaffold10.g2340.t1, scaffold6.g2777.t1, scaffold20.g7776.t1
OG0001002	KAI3431377.1	scaffold10.g2377.t1
OG0001003	KAI3428258.1	scaffold10.g2392.t1
OG0001004	KAI3429466.1	scaffold10.g2395.t1
OG0001005	KAI3431496.1	scaffold10.g2410.t1
OG0001006	KAI3431498.1	scaffold10.g2413.t1
OG0001008	KAI3431525.1	scaffold10.g2442.t1
OG0001009	KAI3431562.1, KAI3435014.1	scaffold10.g2445.t1
OG0001010	KAI3428297.1	scaffold10.g2453.t1, scaffold11.g3940.t1
OG0001011	KAI3431509.1	scaffold10.g2464.t1
OG0001012	KAI3424906.1	scaffold9.g3059.t1, scaffold10.g2468.t1
OG0001013	KAI3432569.1	scaffold6.g2510.t1
OG0001014	KAI3432608.1	scaffold6.g2535.t1
OG0001015	KAI3424849.1, KAI3424848.1	scaffold6.g2545.t1
OG0001016	KAI3428312.1	scaffold6.g2601.t1
OG0001016	KAI3428313.1	scaffold6.g2608.t1
OG0001017	KAI3428322.1	scaffold6.g2617.t1
OG0001019	KAI3432700.1, KAI3432710.1, KAI3432703.1, KAI3432697.1, KAI3432707.1, KAI3432706.1	scaffold6.g2642.t1
OG0001020	KAI3436853.1	scaffold6.g2644.t1
OG0001021	KAI3436652.1	scaffold6.g2656.t1
OG0001022	KAI3436541.1, KAI3436542.1	scaffold6.g2698.t1
OG0001023	KAI3436544.1, KAI3436539.1	scaffold6.g2699.t1
OG0001024	KAI3436525.1	scaffold6.g2701.t1
OG0001025	KAI3436631.1, KAI3436632.1	scaffold6.g2742.t1
OG0001026	KAI3426316.1	scaffold2.g7404.t1
OG0001027	KAI3436606.1	scaffold6.g2787.t1
OG0001028	KAI3436647.1	scaffold2.g7172.t1, scaffold34.g4518.t1, scaffold6.g2809.t1
OG0001029	KAI3432589.1	scaffold6.g2819.t1
OG0001030	KAI3436583.1	scaffold6.g2826.t1
OG0001031	KAI3436731.1	scaffold6.g2852.t1
OG0001032	KAI3436502.1, KAI3432844.1	scaffold6.g2867.t1, scaffold6.g2864.t1
OG0001033	KAI3423026.1	scaffold6.g2884.t1, scaffold7.g3406.t1
OG0001034	KAI3432857.1	scaffold6.g2902.t1
OG0001035	KAI3436389.1	scaffold6.g2909.t1
OG0001036	KAI3425378.1	scaffold24.g2927.t1
OG0001037	KAI3426223.1	scaffold28.g7592.t1
OG0001038	KAI3425252.1	scaffold24.g2991.t1
OG0001039	KAI3429251.1	scaffold9.g3024.t1
OG0001040	KAI3427946.1	scaffold9.g3030.t1, scaffold22.g6076.t1
OG0001041	KAI3429454.1	scaffold9.g3055.t1
OG0001043	KAI3437964.1	scaffold20.g7766.t1
OG0001044	KAI3429488.1, KAI3429487.1	scaffold9.g3097.t1
OG0001045	KAI3429490.1, KAI3429489.1	scaffold9.g3098.t1
OG0001046	KAI3429511.1	scaffold9.g3136.t1
OG0001047	KAI3429542.1	scaffold9.g3143.t1
OG0001048	KAI3429533.1, KAI3429532.1	scaffold9.g3155.t1
OG0001049	KAI3429526.1	scaffold9.g3160.t1
OG0001049	KAI3429527.1	scaffold9.g3159.t1
OG0001052	KAI3429777.1	scaffold9.g3279.t1
OG0001053	KAI3429772.1	scaffold9.g3283.t1
OG0001053	KAI3429771.1	scaffold9.g3282.t1
OG0001054	KAI3429758.1	scaffold9.g3293.t1
OG0001055	KAI3432387.1	scaffold26.g3318.t1
OG0001056	KAI3424857.1	scaffold26.g3331.t1
OG0001057	KAI3427095.1	scaffold26.g3332.t1
OG0001058	KAI3432875.1	scaffold26.g3333.t1
OG0001060	KAI3423921.1	scaffold26.g3356.t1, scaffold4.g4784.t1
OG0001061	KAI3435000.1	scaffold7.g3381.t1
OG0001062	KAI3426866.1	scaffold7.g3396.t1
OG0001063	KAI3434773.1	scaffold7.g3417.t1
OG0001064	KAI3434787.1, KAI3434786.1	scaffold7.g3421.t1
OG0001065	KAI3434796.1	scaffold7.g3427.t1
OG0001066	KAI3434892.1	scaffold7.g3431.t1, scaffold7.g3450.t1
OG0001067	KAI3434886.1	scaffold7.g3460.t1
OG0001068	KAI3434812.1	scaffold7.g3522.t1
OG0001069	KAI3434946.1	scaffold7.g3539.t1
OG0001070	KAI3425290.1	scaffold7.g3562.t1, scaffold7.g3565.t1
OG0001071	KAI3434864.1, KAI3434868.1	scaffold7.g3586.t1
OG0001072	KAI3434834.1	scaffold7.g3611.t1
OG0001073	KAI3434696.1, KAI3434695.1	scaffold7.g3623.t1
OG0001074	KAI3434737.1, KAI3434736.1	scaffold7.g3675.t1
OG0001075	KAI3434977.1	scaffold7.g3679.t1
OG0001076	KAI3434974.1	scaffold7.g3687.t1
OG0001077	KAI3425940.1, KAI3425941.1, KAI3425942.1	scaffold7.g3710.t1, scaffold11.g3895.t1
OG0001078	KAI3434663.1	scaffold7.g3716.t1
OG0001079	KAI3434637.1	scaffold7.g3731.t1
OG0001081	KAI3436736.1	scaffold7.g3743.t1
OG0001082	KAI3428609.1	scaffold7.g3750.t1, scaffold12.g8080.t1, scaffold4.g4872.t1
OG0001083	KAI3429832.1, KAI3429831.1	scaffold11.g3833.t1
OG0001084	KAI3429833.1, KAI3429834.1	scaffold11.g3842.t1
OG0001085	KAI3429714.1	scaffold11.g3977.t1, scaffold11.g3984.t1
OG0001086	KAI3429692.1	scaffold11.g4005.t1
OG0001087	KAI3434468.1	scaffold11.g4032.t1
OG0001088	KAI3434487.1, KAI3434568.1, KAI3434569.1	scaffold11.g4075.t1
OG0001089	KAI3434444.1	scaffold23.g4098.t1
OG0001090	KAI3436008.1	scaffold23.g4141.t1
OG0001091	KAI3426183.1	scaffold23.g4142.t1
OG0001092	KAI3426140.1	scaffold23.g4143.t1
OG0001093	KAI3424106.1	scaffold23.g4164.t1
OG0001094	KAI3433882.1	scaffold23.g4175.t1
OG0001095	KAI3426120.1	scaffold23.g4179.t1
OG0001096	KAI3436462.1	scaffold23.g4194.t1
OG0001097	KAI3428450.1	scaffold15.g4245.t1
OG0001098	KAI3426361.1	scaffold15.g4249.t1
OG0001099	KAI3426373.1	scaffold15.g4265.t1
OG0001100	KAI3426375.1, KAI3426376.1	scaffold15.g4268.t1
OG0001101	KAI3436873.1, KAI3436874.1	scaffold15.g4313.t1
OG0001102	KAI3426166.1	scaffold15.g4314.t1
OG0001103	KAI3430701.1	scaffold30.g4431.t1
OG0001105	KAI3430751.1	scaffold34.g4519.t1
OG0001107	KAI3438584.1	scaffold4.g4571.t1
OG0001109	KAI3431807.1	scaffold4.g4599.t1
OG0001110	KAI3438461.1, KAI3438463.1	scaffold4.g4607.t1
OG0001111	KAI3433639.1	scaffold1.g5390.t1, scaffold4.g4621.t1
OG0001112	KAI3438399.1	scaffold4.g4623.t1
OG0001113	KAI3438417.1	scaffold4.g4680.t1
OG0001115	KAI3438539.1	scaffold4.g4746.t1
OG0001115	KAI3438540.1	scaffold4.g4747.t1
OG0001116	KAI3438379.1	scaffold4.g4798.t1
OG0001116	KAI3438378.1	scaffold4.g4799.t1
OG0001117	KAI3428627.1, KAI3428628.1	scaffold3.g6623.t1, scaffold4.g4852.t1, scaffold4.g4808.t1
OG0001118	KAI3438019.1	scaffold20.g7657.t1, scaffold4.g4835.t1
OG0001119	KAI3428632.1, KAI3430644.1	scaffold4.g4850.t1
OG0001120	KAI3425934.1	scaffold4.g4864.t1
OG0001120	KAI3425933.1	scaffold2.g7497.t1
OG0001121	KAI3428462.1, KAI3428463.1	scaffold4.g4865.t1
OG0001122	KAI3428460.1	scaffold4.g4866.t1
OG0001124	KAI3428419.1	scaffold4.g5045.t1, scaffold4.g4926.t1
OG0001125	KAI3428423.1	scaffold4.g4940.t1
OG0001125	KAI3428422.1	scaffold4.g4935.t1
OG0001126	KAI3428494.1, KAI3428495.1	scaffold4.g4949.t1
OG0001127	KAI3428506.1	scaffold4.g4968.t1
OG0001128	KAI3428522.1, KAI3428534.1	scaffold4.g5019.t1
OG0001129	KAI3432881.1, KAI3432880.1	scaffold4.g5032.t1
OG0001130	KAI3432458.1, KAI3432457.1	scaffold4.g5034.t1
OG0001131	KAI3439032.1	scaffold36.g5073.t1
OG0001132	KAI3439024.1, KAI3439023.1	scaffold36.g5076.t1
OG0001133	KAI3423994.1, KAI3423997.1	scaffold25.g5087.t1
OG0001134	KAI3423991.1	scaffold25.g5090.t1
OG0001135	KAI3423992.1	scaffold25.g5091.t1
OG0001136	KAI3423922.1	scaffold25.g5093.t1
OG0001137	KAI3424697.1	scaffold1.g5173.t1
OG0001138	KAI3433782.1	scaffold1.g5210.t1
OG0001139	KAI3433832.1	scaffold1.g5218.t1, scaffold3.g6707.t1
OG0001140	KAI3433776.1, KAI3433775.1	scaffold1.g5234.t1
OG0001141	KAI3433778.1	scaffold1.g5237.t1
OG0001142	KAI3433756.1	scaffold430.g5907.t1, scaffold1.g5244.t1
OG0001143	KAI3433796.1, KAI3433797.1	scaffold1.g5260.t1
OG0001144	KAI3433789.1	scaffold1.g5275.t1
OG0001145	KAI3433886.1	scaffold1.g5296.t1
OG0001146	KAI3433737.1	scaffold1.g5325.t1
OG0001147	KAI3433721.1	scaffold1.g5330.t1, scaffold1.g5333.t1, scaffold28.g7538.t1
OG0001148	KAI3433733.1	scaffold1.g5344.t1
OG0001149	KAI3434956.1	scaffold1.g5353.t1
OG0001150	KAI3433647.1	scaffold1.g5383.t1
OG0001151	KAI3433856.1	scaffold1.g5396.t1
OG0001152	KAI3430585.1, KAI3433607.1	scaffold1.g5400.t1
OG0001153	KAI3428674.1	scaffold1.g5438.t1
OG0001154	KAI3430222.1, KAI3430221.1	scaffold1.g5460.t1
OG0001155	KAI3433544.1	scaffold1.g5492.t1
OG0001156	KAI3433350.1	scaffold1.g5544.t1
OG0001157	KAI3424279.1	scaffold12.g8283.t1, scaffold1.g5697.t1
OG0001158	KAI3423800.1	scaffold1.g5752.t1
OG0001159	KAI3433440.1, KAI3433439.1	scaffold1.g5770.t1
OG0001160	KAI3433428.1, KAI3433429.1	scaffold1.g5772.t1
OG0001161	KAI3432294.1	scaffold1.g5773.t1, scaffold27.g5990.t1
OG0001162	KAI3433435.1	scaffold1.g5781.t1
OG0001164	KAI3430807.1	scaffold1.g5854.t1
OG0001165	KAI3423963.1	scaffold1.g5866.t1
OG0001166	KAI3425179.1	scaffold1.g5898.t1, scaffold1.g5878.t1
OG0001167	KAI3434555.1	scaffold1.g5885.t1
OG0001168	KAI3425016.1	scaffold29.g5924.t1
OG0001169	KAI3425011.1	scaffold29.g5925.t1
OG0001170	KAI3425136.1, KAI3425137.1	scaffold29.g5933.t1
OG0001171	KAI3424876.1	scaffold29.g5946.t1
OG0001172	KAI3429609.1	scaffold27.g6026.t1
