0_0: scaffold16.g1.t1
1_3976: PRW45490.1 electron transfer flavo -ubiquinone oxidoreductase [Chlorella sorokiniana]
1_3977: PRW45491.1 40S ribosomal S27 [Chlorella sorokiniana]
1_3978: PRW45492.1 SH2 domain containing [Chlorella sorokiniana]
1_3979: PRW45493.1 4-toluene sulfonate uptake permease [Chlorella sorokiniana]
1_3980: PRW45494.1 family transporter: chloride ion channel [Chlorella sorokiniana]
1_3981: PRW45495.1 Ubiquitin carboxyl-terminal hydrolase isozyme L5 [Chlorella sorokiniana]
1_3982: PRW45496.1 hypothetical protein C2E21_5877 [Chlorella sorokiniana]
1_3983: PRW45497.1 hypothetical protein C2E21_5896 [Chlorella sorokiniana]
1_3984: PRW45498.1 Cyclin-dependent kinase E-1 [Chlorella sorokiniana]
1_3985: PRW45499.1 hypothetical protein C2E21_5839 [Chlorella sorokiniana]
1_3986: PRW45500.1 ATP-dependent DNA helicase 2 subunit KU70 isoform X1 [Chlorella sorokiniana]
1_3987: PRW45501.1 assembly factor 1 for F1 component of mitochondrial ATP synthase [Chlorella sorokiniana]
1_3988: PRW45502.1 hypothetical protein C2E21_5737 [Chlorella sorokiniana]
1_3989: PRW45503.1 tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit trmt61a isoform A [Chlorella sorokiniana]
1_3990: PRW45504.1 tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit trmt61a isoform B [Chlorella sorokiniana]
1_3991: PRW45505.1 signal recognition particle 43 kDa chloroplastic [Chlorella sorokiniana]
1_3992: PRW45506.1 transcriptional regulator [Chlorella sorokiniana]
1_3993: PRW45507.1 mediator of RNA polymerase II transcription subunit 6 [Chlorella sorokiniana]
1_3994: PRW45508.1 beta-mannosidase [Chlorella sorokiniana]
1_3995: PRW45509.1 flavincontaining amine [Chlorella sorokiniana]
1_3996: PRW45510.1 LL-diaminopimelate chloroplastic [Chlorella sorokiniana]
1_3997: PRW45511.1 internalin A [Chlorella sorokiniana]
1_3998: PRW45512.1 hypothetical protein C2E21_5976 [Chlorella sorokiniana]
1_3999: PRW45513.1 short chain dehydrogenase reductase superfamily [Chlorella sorokiniana]
1_4000: PRW45514.1 Translation initiation factor IF-3 [Chlorella sorokiniana]
1_4001: PRW45515.1 PLP-dependent threonine dehydratase [Chlorella sorokiniana]
1_4002: PRW45516.1 small GTP-binding [Chlorella sorokiniana]
1_4003: PRW45517.1 tetratricopeptide repeat [Chlorella sorokiniana]
1_4004: PRW45518.1 membrane-spanning 4-domains subfamily A member 4A-like isoform X3 [Chlorella sorokiniana]
1_4005: PRW45519.1 sister chromatid cohesion DCC1 [Chlorella sorokiniana]
1_4006: PRW45520.1 hypothetical protein C2E21_5829 [Chlorella sorokiniana]
1_4007: PRW45521.1 phosphatase 2C [Chlorella sorokiniana]
1_4008: PRW45522.1 AT-rich interactive domain-containing [Chlorella sorokiniana]
1_4009: PRW45523.1 GTP cyclohydrolase I [Chlorella sorokiniana]
1_4010: PRW45524.1 Something about silencing 10 [Chlorella sorokiniana]
1_4011: PRW45525.1 dnaJ-like protein subfamily C member 17 [Chlorella sorokiniana]
1_4012: PRW45526.1 hydrogen-transporting ATP rotational mechanism [Chlorella sorokiniana]
1_4013: PRW45527.1 UPF0468 [Chlorella sorokiniana]
1_4014: PRW45528.1 putative phosphatase 2C 80 isoform A [Chlorella sorokiniana]
1_4015: PRW45529.1 putative phosphatase 2C 80 isoform B [Chlorella sorokiniana]
1_4016: PRW45530.1 cathepsin h [Chlorella sorokiniana]
1_4017: PRW45531.1 bax inhibitor 1-like [Chlorella sorokiniana]
1_4018: PRW45532.1 ankyrin repeat family isoform A [Chlorella sorokiniana]
1_4019: PRW45533.1 ankyrin repeat family isoform B [Chlorella sorokiniana]
1_4020: PRW45534.1 hypothetical protein C2E21_5852 [Chlorella sorokiniana]
1_4021: PRW45535.1 transcription initiation factor TFIID subunit 4b-like isoform X3 [Chlorella sorokiniana]
1_4022: PRW45536.1 light-harvesting of photosystem I [Chlorella sorokiniana]
1_4023: PRW45537.1 RNA binding [Chlorella sorokiniana]
1_4024: PRW45538.1 GDP-L-fucose synthase 2 [Chlorella sorokiniana]
1_4025: PRW45539.1 hypothetical protein C2E21_6017 [Chlorella sorokiniana]
1_4026: PRW45540.1 hypothetical protein C2E21_5954 [Chlorella sorokiniana]
1_4027: PRW45541.1 polyketide cyclase [Chlorella sorokiniana]
1_4028: PRW45542.1 FHA domain-containing protein [Chlorella sorokiniana]
1_4029: PRW45543.1 hypothetical protein C2E21_5785 [Chlorella sorokiniana]
1_4030: PRW45544.1 amidase [Chlorella sorokiniana]
1_4031: PRW45545.1 DEAD DEAH box helicase [Chlorella sorokiniana]
1_4032: PRW45546.1 phosphatidylserine decarboxylase proenzyme 2-like isoform X1 [Chlorella sorokiniana]
1_4033: PRW45547.1 hypothetical protein C2E21_5781 [Chlorella sorokiniana]
1_4034: PRW45548.1 beta-glucosidase [Chlorella sorokiniana]
1_4035: PRW45549.1 hypothetical protein C2E21_6053 [Chlorella sorokiniana]
1_4036: PRW45550.1 exosome complex component RRP43 isoform B [Chlorella sorokiniana]
1_4037: PRW45551.1 exosome complex component RRP43 isoform A [Chlorella sorokiniana]
1_4038: PRW45552.1 hypothetical protein C2E21_5847 [Chlorella sorokiniana]
1_4039: PRW45553.1 3-isopropylmalate dehydratase large subunit [Chlorella sorokiniana]
1_4040: PRW45554.1 Collagen adhesion [Chlorella sorokiniana]
1_4041: PRW45555.1 glycerol transport activity [Chlorella sorokiniana]
1_4042: PRW45556.1 cyclin-dependent kinase C-2-like [Chlorella sorokiniana]
1_4043: PRW45557.1 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 [Chlorella sorokiniana]
1_4044: PRW45558.1 Proteasome subunit alpha type-4 [Chlorella sorokiniana]
1_4045: PRW45559.1 squamosa promoter-binding 3 [Chlorella sorokiniana]
1_4046: PRW45560.1 histone deacetylase complex subunit SAP30L [Chlorella sorokiniana]
1_4047: PRW45561.1 Peptidyl-prolyl cis-trans isomerase D [Chlorella sorokiniana]
1_4048: PRW45562.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana]
1_4049: PRW45563.1 Peptide-N(4)-(N-acetyl-beta-D-glucosaminyl)a sparagine amidase F [Chlorella sorokiniana]
1_4050: PRW45564.1 Fe-S assembly co-chaperone [Chlorella sorokiniana]
1_4051: PRW45565.1 hypothetical protein C2E21_6038 [Chlorella sorokiniana]
1_4052: PRW45566.1 mRNA-decapping enzyme subunit 2 [Chlorella sorokiniana]
1_4053: PRW45567.1 hypothetical protein C2E21_5916 [Chlorella sorokiniana]
1_4054: PRW45568.1 thioredoxin domain-containing PLP3B-like [Chlorella sorokiniana]
1_4055: PRW45569.1 ferric-chelate reductase [Chlorella sorokiniana]
1_4056: PRW45570.1 Coiled-coil domain-containing 132 [Chlorella sorokiniana]
1_4057: PRW45571.1 post-GPI attachment to s factor 3-like [Chlorella sorokiniana]
1_4058: PRW45572.1 REJ domain [Chlorella sorokiniana]
1_4059: PRW45573.1 lysosomal Pro-X carboxypeptidase-like [Chlorella sorokiniana]
1_4060: PRW45574.1 cystatin domain [Chlorella sorokiniana]
1_4061: PRW45575.1 AAR2-like protein [Chlorella sorokiniana]
1_4062: PRW45576.1 membrane permease [Chlorella sorokiniana]
1_4063: PRW45577.1 Actin-depolymerizing factor 6 [Chlorella sorokiniana]
1_4064: PRW45578.1 DUF4207 domain containing [Chlorella sorokiniana]
1_4065: PRW45579.1 Metallo-dependent phosphatase [Chlorella sorokiniana]
1_4066: PRW45580.1 hypothetical protein C2E21_6035 [Chlorella sorokiniana]
1_4067: PRW45581.1 pre-mRNA-splicing factor 18-like isoform A [Chlorella sorokiniana]
1_4068: PRW45582.1 pre-mRNA-splicing factor 18-like isoform B [Chlorella sorokiniana]
1_4069: PRW45583.1 hypothetical protein C2E21_5825 [Chlorella sorokiniana]
1_4070: PRW45584.1 hypothetical protein C2E21_5812 [Chlorella sorokiniana]
1_4071: PRW45585.1 peptidoglycan-binding [Chlorella sorokiniana]
1_4072: PRW45586.1 hypothetical protein C2E21_6086 [Chlorella sorokiniana]
1_4073: PRW45587.1 hypothetical protein C2E21_5794 [Chlorella sorokiniana]
1_4074: PRW45588.1 hypothetical protein C2E21_5890 [Chlorella sorokiniana]
1_4075: PRW45589.1 histone-lysine N-methyltransferase SMYD3 [Chlorella sorokiniana]
1_4076: PRW45590.1 volume-regulated anion channel subunit LRRC8E-like [Chlorella sorokiniana]
1_4077: PRW45591.1 lipase PLAT LH2 family [Chlorella sorokiniana]
1_4078: PRW45592.1 diguanylate cyclase (GGDEF) domain-containing [Chlorella sorokiniana]
1_4079: PRW45593.1 26S protease regulatory subunit 8-like protein A [Chlorella sorokiniana]
1_4080: PRW45594.1 regulator of nonsense transcripts 1-like protein [Chlorella sorokiniana]
1_4081: PRW45595.1 hypothetical protein C2E21_6021 [Chlorella sorokiniana]
1_4082: PRW45596.1 surface antigen [Chlorella sorokiniana]
1_4083: PRW45597.1 MOTHER of FT and TF 1-like [Chlorella sorokiniana]
1_4084: PRW45598.1 endoplasmic reticulum [Chlorella sorokiniana]
1_4085: PRW45599.1 glycoside hydrolase family 9 [Chlorella sorokiniana]
1_4086: PRW45600.1 ubiquitin domain containing [Chlorella sorokiniana]
1_4087: PRW45601.1 leydig cell tumor [Chlorella sorokiniana]
1_4088: PRW45602.1 Proteasome subunit alpha type-4 [Chlorella sorokiniana]
1_4089: PRW45603.1 molybdenum cofactor [Chlorella sorokiniana]
1_4090: PRW45604.1 cathepsin H [Chlorella sorokiniana]
1_4091: PRW45605.1 Sel1 domain-containing [Chlorella sorokiniana]
1_4092: PRW45606.1 putative rabankyrin-5-like [Chlorella sorokiniana]
1_4093: PRW45607.1 sec1 family domain-containing MIP3 [Chlorella sorokiniana]
1_4094: PRW45608.1 2-methoxy-6-polyprenyl-1,4-benzoquinol mitochondrial [Chlorella sorokiniana]
1_4095: PRW45609.1 hypothetical protein C2E21_6085 [Chlorella sorokiniana]
1_4096: PRW45610.1 L-ascorbate peroxidase 6 isoform X1 isoform B [Chlorella sorokiniana]
1_4097: PRW45611.1 L-ascorbate peroxidase 6 isoform X1 isoform A [Chlorella sorokiniana]
1_4098: PRW45612.1 hypothetical protein C2E21_5985 [Chlorella sorokiniana]
1_4099: PRW45613.1 rab s geranylgeranyltransferase component A 2 [Chlorella sorokiniana]
1_4100: PRW45614.1 hypothetical protein C2E21_6092 [Chlorella sorokiniana]
1_4101: PRW45615.1 alpha beta-hydrolases superfamily [Chlorella sorokiniana]
1_4102: PRW45616.1 hypothetical protein C2E21_6079 [Chlorella sorokiniana]
1_4103: PRW45617.1 ER membrane complex subunit 7-like protein [Chlorella sorokiniana]
1_4104: PRW45618.1 eukaryotic initiation factor 4A-1-like isoform B [Chlorella sorokiniana]
1_4105: PRW45619.1 eukaryotic initiation factor 4A-1-like isoform A [Chlorella sorokiniana]
1_4106: PRW45620.1 taurine catabolism dioxygenase [Chlorella sorokiniana]
1_4107: PRW45621.1 gamma-tocopherol methyltransferase [Chlorella sorokiniana]
1_4108: PRW45622.1 DEAD-box ATP-dependent RNA helicase 28 [Chlorella sorokiniana]
1_4109: PRW45623.1 NADH dehydrogenase [Chlorella sorokiniana]
1_4110: PRW45624.1 hypothetical protein C2E21_6054 [Chlorella sorokiniana]
1_4111: PRW45625.1 hypothetical protein C2E21_6054 [Chlorella sorokiniana]
1_4112: PRW45626.1 anaphase-promoting complex subunit 1 isoform X2 [Chlorella sorokiniana]
1_4113: PRW45627.1 mitochondrial pyruvate carrier 1-like isoform X1 [Chlorella sorokiniana]
1_4114: PRW45628.1 mitochondrial import inner membrane translocase subunit Tim13 [Chlorella sorokiniana]
1_4115: PRW45629.1 Pol isoform B [Chlorella sorokiniana]
1_4116: PRW45630.1 Pol isoform A [Chlorella sorokiniana]
1_4117: PRW45631.1 pentatricopeptide repeat-containing chloroplastic [Chlorella sorokiniana]
1_4118: PRW45632.1 large adhesin [Chlorella sorokiniana]
1_4119: PRW45633.1 hypothetical protein C2E21_5777 [Chlorella sorokiniana]
1_4120: PRW45634.1 hypothetical protein C2E21_5953 [Chlorella sorokiniana]
1_4121: PRW45635.1 ascorbate peroxidase [Chlorella sorokiniana]
1_4122: PRW45636.1 mRNA turnover 4-like protein [Chlorella sorokiniana]
1_4123: PRW45637.1 hypothetical protein C2E21_6004 [Chlorella sorokiniana]
1_4124: PRW45638.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana]
1_4125: PRW45639.1 hypothetical protein C2E21_5733 [Chlorella sorokiniana]
1_4126: PRW45640.1 L-ascorbate oxidase-like [Chlorella sorokiniana]
1_4127: PRW45641.1 glutathione reductase [Chlorella sorokiniana]
1_4128: PRW45642.1 leucine rich repeat [Chlorella sorokiniana]
1_4129: PRW45643.1 glycosyltransferase family 28 [Chlorella sorokiniana]
1_4130: PRW45644.1 squamosa promoter-binding 12 [Chlorella sorokiniana]
1_4131: PRW45645.1 calcium-translocating P-type PMCA-type [Chlorella sorokiniana]
1_4132: PRW45646.1 OTU domain-containing protein isoform X1 [Chlorella sorokiniana]
1_4133: PRW45647.1 ferrochelatase- chloroplastic [Chlorella sorokiniana]
1_4134: PRW45648.1 hypothetical protein C2E21_6003 [Chlorella sorokiniana]
1_4135: PRW45649.1 D-amino-acid chloroplastic-like isoform A [Chlorella sorokiniana]
1_4136: PRW45650.1 D-amino-acid chloroplastic-like isoform B [Chlorella sorokiniana]
1_4137: PRW45651.1 transmembrane of CMA family [Chlorella sorokiniana]
1_4138: PRW45652.1 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily [Chlorella sorokiniana]
1_4139: PRW45653.1 Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase mitochondrial [Chlorella sorokiniana]
1_4140: PRW45654.1 histidine triad (HIT) [Chlorella sorokiniana]
1_4141: PRW45655.1 Translation initiation factor IF-3 [Chlorella sorokiniana]
1_4142: PRW45656.1 Crystal ET79 [Chlorella sorokiniana]
1_4143: PRW45657.1 nitrilase cyanide hydratase and apolipo N-acyltransferase family [Chlorella sorokiniana]
1_4144: PRW45658.1 inner membrane [Chlorella sorokiniana]
1_4145: PRW45659.1 Chaperone dnaJ 10 [Chlorella sorokiniana]
1_4146: PRW45660.1 serine threonine- kinase 2 19-like isoform B [Chlorella sorokiniana]
1_4147: PRW45661.1 serine threonine- kinase 2 19-like isoform A [Chlorella sorokiniana]
1_4148: PRW45662.1 hypothetical protein C2E21_5851 [Chlorella sorokiniana]
1_4149: PRW45663.1 MKI67 FHA domain-interacting nucleolar phospho [Chlorella sorokiniana]
1_4150: PRW45664.1 nicotinamide nicotinic acid mononucleotide adenylyltransferase isoform X1 [Chlorella sorokiniana]
1_4151: PRW45665.1 N-alpha-acetyltransferase 20 [Chlorella sorokiniana]
1_4152: PRW45666.1 hypothetical protein C2E21_5993 [Chlorella sorokiniana]
1_4153: PRW45667.1 pp1a replicase poly [Chlorella sorokiniana]
1_4154: PRW45668.1 hypothetical protein C2E21_5796 [Chlorella sorokiniana]
1_4155: PRW45669.1 surface antigen [Chlorella sorokiniana]
1_4156: PRW45670.1 hypothetical protein C2E21_6074 [Chlorella sorokiniana]
1_4157: PRW45671.1 N-alpha-acetyltransferase 40 [Chlorella sorokiniana]
1_4158: PRW45672.1 transcription factor [Chlorella sorokiniana]
1_4159: PRW45673.1 serine protease 27-like [Chlorella sorokiniana]
1_4160: PRW45674.1 hypothetical protein C2E21_5994 [Chlorella sorokiniana]
1_4161: PRW45675.1 vegetative cell wall gp1 [Chlorella sorokiniana]
1_4162: PRW45676.1 plant Late Embryo Abundant (LEA) related [Chlorella sorokiniana]
1_4163: PRW45677.1 COP9 signalosome complex subunit 6a [Chlorella sorokiniana]
1_4164: PRW45678.1 serine threonine- kinase [Chlorella sorokiniana]
1_4165: PRW45679.1 aldehyde oxidoreductase isoform A [Chlorella sorokiniana]
1_4166: PRW45680.1 aldehyde oxidoreductase isoform B [Chlorella sorokiniana]
1_4167: PRW45681.1 mitochondrial pyruvate dehydrogenase kinase [Chlorella sorokiniana]
1_4168: PRW45682.1 F-box protein [Chlorella sorokiniana]
1_4169: PRW45683.1 putative H ACA ribonucleo complex subunit 1 [Chlorella sorokiniana]
1_4170: PRW45684.1 Methyltransferase type 11 [Chlorella sorokiniana]
1_4171: PRW45685.1 ER membrane complex subunit 4 [Chlorella sorokiniana]
1_4172: PRW45686.1 disulfide bond formation [Chlorella sorokiniana]
1_4173: PRW45687.1 KRAB-A domain-containing 2-like [Chlorella sorokiniana]
1_4174: PRW45688.1 NADH dehydrogenase [Chlorella sorokiniana]
1_4175: PRW45689.1 hypothetical protein C2E21_5950 [Chlorella sorokiniana]
1_4176: PRW45690.1 glucosamine-6-phosphate deaminase [Chlorella sorokiniana]
1_4177: PRW45691.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana]
1_4178: PRW45692.1 symplekin isoform X1 [Chlorella sorokiniana]
1_4179: PRW45693.1 Structure-specific endonuclease subunit SLX1 [Chlorella sorokiniana]
1_4180: PRW45694.1 putative alpha-mannosidase I MNS4 [Chlorella sorokiniana]
1_4181: PRW45695.1 hypothetical protein C2E21_5862 [Chlorella sorokiniana]
1_4182: PRW45696.1 hypothetical protein C2E21_5967 [Chlorella sorokiniana]
1_4183: PRW45697.1 light-harvesting of photosystem I [Chlorella sorokiniana]
1_4184: PRW45698.1 autophagy-related 18h-like isoform X1 [Chlorella sorokiniana]
1_4185: PRW45699.1 alpha-glucosidase isoform B [Chlorella sorokiniana]
1_4186: PRW45700.1 alpha-glucosidase isoform A [Chlorella sorokiniana]
1_4187: PRW45701.1 hypothetical protein C2E21_5815 [Chlorella sorokiniana]
1_4188: PRW45702.1 2-hydroxyacyl- lyase isoform B [Chlorella sorokiniana]
1_4189: PRW45703.1 2-hydroxyacyl- lyase isoform A [Chlorella sorokiniana]
1_4190: PRW45704.1 hypothetical protein C2E21_5893 [Chlorella sorokiniana]
1_4191: PRW45705.1 surface antigen [Chlorella sorokiniana]
1_4192: PRW45706.1 monothiol glutaredoxin-S17-like [Chlorella sorokiniana]
1_4193: PRW45707.1 Cathepsin [Chlorella sorokiniana]
1_4194: PRW45708.1 phosphatidate cytidylyltransferase [Chlorella sorokiniana]
1_4195: PRW45709.1 ankyrin-1 isoform X2 [Chlorella sorokiniana]
1_4196: PRW45710.1 vitrin [Chlorella sorokiniana]
1_4197: PRW45711.1 small GTP-binding [Chlorella sorokiniana]
1_4198: PRW45712.1 epimerase [Chlorella sorokiniana]
1_4199: PRW45713.1 hypothetical protein C2E21_5840 [Chlorella sorokiniana]
1_4200: PRW45714.1 single myb histone 4-like [Chlorella sorokiniana]
1_4201: PRW45715.1 hypothetical protein C2E21_5718 [Chlorella sorokiniana]
1_4202: PRW45716.1 seed maturation [Chlorella sorokiniana]
1_4203: PRW45717.1 putative sodium-coupled neutral amino acid transporter 6 [Chlorella sorokiniana]
1_4204: PRW45718.1 Red chlorophyll catabolite reductase [Chlorella sorokiniana]
1_4205: PRW45719.1 hypothetical protein C2E21_5938 [Chlorella sorokiniana]
1_4206: PRW45720.1 Polyglutamine-binding 1 [Chlorella sorokiniana]
1_4207: PRW45721.1 zinc finger MYM-type 1-like [Chlorella sorokiniana]
1_4208: PRW45722.1 CPLD51 required for cyt b6 assembly [Chlorella sorokiniana]
1_4209: PRW45723.1 la 1 [Chlorella sorokiniana]
1_4210: PRW45724.1 histone deacetylase 15 isoform X2 [Chlorella sorokiniana]
1_4211: PRW45725.1 ankyrin repeat family [Chlorella sorokiniana]
1_4212: PRW45726.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana]
1_4213: PRW45727.1 40S ribosomal S12-like [Chlorella sorokiniana]
1_4214: PRW45728.1 atypical group [Chlorella sorokiniana]
1_4215: PRW45729.1 inosine xanthosine triphosphatase [Chlorella sorokiniana]
1_4216: PRW45730.1 SRSF kinase 1 [Chlorella sorokiniana]
1_4217: PRW45731.1 hypothetical protein C2E21_5901 [Chlorella sorokiniana]
1_4218: PRW45732.1 50S ribosomal L4 [Chlorella sorokiniana]
1_4219: PRW45733.1 hypothetical protein C2E21_5879 [Chlorella sorokiniana]
1_4220: PRW45734.1 Fe-assimilating 2 [Chlorella sorokiniana]
1_4221: PRW45735.1 exocyst complex component Sec6 [Chlorella sorokiniana]
1_4222: PRW45736.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana]
1_4223: PRW45737.1 Maternal effect embryo arrest 18 [Chlorella sorokiniana]
1_4224: PRW45738.1 lysine-specific demethylase JMJD5 isoform X1 [Chlorella sorokiniana]
1_4225: PRW45739.1 ATP-binding cassette superfamily [Chlorella sorokiniana]
1_4226: PRW45740.1 periaxin isoform X1 [Chlorella sorokiniana]
1_4227: PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]
1_4228: PRW45742.1 ADP-ribosylation factor 2 [Chlorella sorokiniana]
1_4229: PRW45743.1 hypothetical protein C2E21_6097 [Chlorella sorokiniana]
1_4230: PRW45744.1 ERI1 exoribonuclease 2-like [Chlorella sorokiniana]
1_4231: PRW45745.1 NADH-ubiquinone oxidoreductase [Chlorella sorokiniana]
1_4232: PRW45746.1 hyalin [Chlorella sorokiniana]
1_4233: PRW45747.1 chorismate lyase isoform B [Chlorella sorokiniana]
1_4234: PRW45748.1 chorismate lyase isoform A [Chlorella sorokiniana]
1_4235: PRW45749.1 chorismate lyase isoform C [Chlorella sorokiniana]
1_4236: PRW50748.1 glutathione S-transferase T1-like [Chlorella sorokiniana]
1_4237: PRW50749.1 cytochrome P450 [Chlorella sorokiniana]
1_4238: PRW50750.1 Ankyrin repeat [Chlorella sorokiniana]
1_4239: PRW50751.1 long chain acyl- synthetase 4 [Chlorella sorokiniana]
1_4240: PRW50752.1 peroxisomal membrane PEX14-like isoform X1 [Chlorella sorokiniana]
1_4241: PRW50753.1 NEFA-interacting nuclear NIP30,N-terminal [Chlorella sorokiniana]
1_4242: PRW50754.1 hypothetical protein C2E21_5544 [Chlorella sorokiniana]
1_4243: PRW50755.1 NRT1 PTR FAMILY -like [Chlorella sorokiniana]
1_4244: PRW50756.1 Formyltetrahydrofolate deformylase [Chlorella sorokiniana]
1_4245: PRW50757.1 phagocyte signaling-impaired [Chlorella sorokiniana]
1_4246: PRW50758.1 hypothetical protein C2E21_5564 isoform C [Chlorella sorokiniana]
1_4247: PRW50759.1 hypothetical protein C2E21_5564 isoform A [Chlorella sorokiniana]
1_4248: PRW50760.1 hypothetical protein C2E21_5564 isoform B [Chlorella sorokiniana]
1_4249: PRW50761.1 flagella associated isoform C [Chlorella sorokiniana]
1_4250: PRW50762.1 flagella associated isoform B [Chlorella sorokiniana]
1_4251: PRW50763.1 flagella associated isoform D [Chlorella sorokiniana]
1_4252: PRW50764.1 flagella associated isoform A [Chlorella sorokiniana]
1_4253: PRW50765.1 disease resistance RGA2-like [Chlorella sorokiniana]
1_4254: PRW50766.1 transcription termination factor mitochondrial [Chlorella sorokiniana]
1_4255: PRW50767.1 serine threonine [Chlorella sorokiniana]
1_4256: PRW50768.1 serpin B isoform B [Chlorella sorokiniana]
1_4257: PRW50769.1 serpin B isoform A [Chlorella sorokiniana]
1_4258: PRW50770.1 hypothetical protein C2E21_5640 [Chlorella sorokiniana]
1_4259: PRW50771.1 intraflagellar transport 52-like protein [Chlorella sorokiniana]
1_4260: PRW50772.1 Fanconi anemia group I [Chlorella sorokiniana]
1_4261: PRW50773.1 glutamine cyclotransferase [Chlorella sorokiniana]
1_4262: PRW50774.1 ase inhibitor I4 serpin isoform B [Chlorella sorokiniana]
1_4263: PRW50775.1 ase inhibitor I4 serpin isoform A [Chlorella sorokiniana]
1_4264: PRW50776.1 bacteriophage peptidoglycan hydrolase family [Chlorella sorokiniana]
1_4265: PRW50777.1 poly(a) polymerase [Chlorella sorokiniana]
1_4266: PRW50778.1 glutathione chloroplastic [Chlorella sorokiniana]
1_4267: PRW50779.1 chloride channel C-like [Chlorella sorokiniana]
1_4268: PRW50780.1 alpha beta-hydrolase isoform A [Chlorella sorokiniana]
1_4269: PRW50781.1 alpha beta-hydrolase isoform B [Chlorella sorokiniana]
1_4270: PRW50782.1 hypothetical protein C2E21_5577 [Chlorella sorokiniana]
1_4271: PRW50783.1 hypothetical protein C2E21_5653 [Chlorella sorokiniana]
1_4272: PRW50784.1 hypothetical protein C2E21_5410 [Chlorella sorokiniana]
1_4273: PRW50785.1 small nuclear ribonucleo Sm D2 [Chlorella sorokiniana]
1_4274: PRW50786.1 DGCR14 [Chlorella sorokiniana]
1_4275: PRW50787.1 Uroporphyrinogen-III chloroplastic isoform B [Chlorella sorokiniana]
1_4276: PRW50788.1 Uroporphyrinogen-III chloroplastic isoform D [Chlorella sorokiniana]
1_4277: PRW50789.1 Uroporphyrinogen-III chloroplastic isoform A [Chlorella sorokiniana]
1_4278: PRW50790.1 Uroporphyrinogen-III chloroplastic isoform C [Chlorella sorokiniana]
1_4279: PRW50791.1 hypothetical protein C2E21_5558 [Chlorella sorokiniana]
1_4280: PRW50792.1 peptidyl-prolyl cis-trans isomerase CYP18-1 [Chlorella sorokiniana]
1_4281: PRW50793.1 carbohydrate-binding module family 20 [Chlorella sorokiniana]
1_4282: PRW50794.1 Dual-specificity RNA methyltransferase [Chlorella sorokiniana]
1_4283: PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana]
1_4284: PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]
1_4285: PRW50797.1 selenocysteine insertion sequence-binding 2 [Chlorella sorokiniana]
1_4286: PRW50798.1 chloroplast ATP synthase subunit delta precursor [Chlorella sorokiniana]
1_4287: PRW50799.1 lysine histidine transporter 1-like [Chlorella sorokiniana]
1_4288: PRW50800.1 Hypersensitive-induced response [Chlorella sorokiniana]
1_4289: PRW50801.1 NAD-dependent dehydratase [Chlorella sorokiniana]
1_4290: PRW50802.1 hypothetical protein C2E21_5584 [Chlorella sorokiniana]
1_4291: PRW50803.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
1_4292: PRW50804.1 short-chain dehydrogenase reductase SDR [Chlorella sorokiniana]
1_4293: PRW50805.1 Muscle calcium channel subunit alpha-1 [Chlorella sorokiniana]
1_4294: PRW50806.1 hypothetical protein C2E21_5481 [Chlorella sorokiniana]
1_4295: PRW50807.1 splicing suppressor of white-apricot-like protein isoform X1 [Chlorella sorokiniana]
1_4296: PRW50808.1 ATP-dependent DNA helicase 2 subunit KU80 [Chlorella sorokiniana]
1_4297: PRW50809.1 hypothetical protein C2E21_5616 [Chlorella sorokiniana]
1_4298: PRW50810.1 alpha beta-hydrolase [Chlorella sorokiniana]
1_4299: PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]
1_4300: PRW50812.1 class V aminotransferase [Chlorella sorokiniana]
1_4301: PRW50813.1 50S ribosomal chloroplastic [Chlorella sorokiniana]
1_4302: PRW50814.1 hypothetical protein C2E21_5439 [Chlorella sorokiniana]
1_4303: PRW50815.1 magnesium transporter MRS2-I-like [Chlorella sorokiniana]
1_4304: PRW50816.1 cytochrome b-c1 complex subunit 6-like [Chlorella sorokiniana]
1_4305: PRW50817.1 VIVIPAROUS1 isoform B [Chlorella sorokiniana]
1_4306: PRW50818.1 VIVIPAROUS1 isoform A [Chlorella sorokiniana]
1_4307: PRW50819.1 hypothetical protein C2E21_5446 [Chlorella sorokiniana]
1_4308: PRW50820.1 pyridoxamine 5 -phosphate oxidase [Chlorella sorokiniana]
1_4309: PRW50821.1 Fanconi anemia group J [Chlorella sorokiniana]
1_4310: PRW50822.1 Beta-1,3-galactosyltransferase 15 [Chlorella sorokiniana]
