Orthogroup	oneline_A99_genome_proteins	oneline_m_conductrix_genome_proteins
OG0000970	scaffold19.g1740.t1	PSC76614.1, PSC76615.1
OG0000971	scaffold19.g1747.t1	PSC69457.1, PSC69458.1
OG0000972	scaffold19.g1748.t1	PSC69481.1
OG0000973	scaffold1.g5616.t1, scaffold1.g5617.t1, scaffold19.g1753.t1	PSC76822.1
OG0000974	scaffold19.g1763.t1	PSC69519.1
OG0000975	scaffold19.g1788.t1, scaffold7.g3667.t1	PSC76748.1
OG0000976	scaffold19.g1794.t1	PSC68278.1
OG0000977	scaffold19.g1836.t1, scaffold6.g2770.t1	PSC68128.1
OG0000978	scaffold19.g1848.t1	PSC69508.1, PSC69466.1
OG0000979	scaffold3.g6457.t1	PSC71111.1
OG0000979	scaffold19.g1862.t1	PSC76579.1
OG0000980	scaffold19.g1875.t1	PSC70731.1
OG0000981	scaffold18.g1908.t1	PSC69832.1
OG0000982	scaffold2.g6772.t1, scaffold18.g1914.t1	PSC75718.1
OG0000983	scaffold18.g1929.t1	PSC72574.1
OG0000984	scaffold18.g1942.t1	PSC72508.1, PSC72509.1
OG0000985	scaffold18.g1944.t1	PSC72485.1, PSC72484.1
OG0000986	scaffold18.g1947.t1	PSC72377.1
OG0000987	scaffold18.g1951.t1	PSC72540.1
OG0000988	scaffold18.g1953.t1, scaffold12.g8161.t1	PSC74628.1
OG0000989	scaffold18.g1972.t1	PSC71569.1, PSC68510.1
OG0000990	scaffold18.g1982.t1	PSC68082.1, PSC68083.1
OG0000991	scaffold18.g1986.t1	PSC75740.1
OG0000992	scaffold21.g2086.t1, scaffold1.g5497.t1	PSC72149.1
OG0000993	scaffold21.g2160.t1	PSC68196.1, PSC68197.1
OG0000994	scaffold21.g2172.t1	PSC68619.1, PSC68618.1
OG0000995	scaffold9.g3164.t1, scaffold21.g2178.t1	PSC70095.1
OG0000996	scaffold21.g2195.t1	PSC68944.1
OG0000997	scaffold2.g6811.t1, scaffold10.g2250.t1	PSC73487.1
OG0000998	scaffold10.g2286.t1	PSC71931.1
OG0000999	scaffold10.g2297.t1	PSC71855.1
OG0001001	scaffold10.g2340.t1, scaffold6.g2777.t1, scaffold20.g7776.t1	PSC70696.1
OG0001002	scaffold10.g2377.t1	PSC71914.1, PSC71984.1
OG0001003	scaffold2.g7352.t1, scaffold10.g2392.t1	PSC71531.1
OG0001004	scaffold10.g2395.t1	PSC74978.1
OG0001005	scaffold10.g2410.t1	PSC69584.1, PSC67870.1, PSC67869.1
OG0001006	scaffold10.g2413.t1	PSC67863.1, PSC67864.1
OG0001007	scaffold9.g3186.t1, scaffold10.g2433.t1	PSC76194.1, PSC74974.1, PSC74975.1
OG0001008	scaffold10.g2442.t1	PSC67682.1, PSC67681.1, PSC67680.1
OG0001009	scaffold10.g2445.t1	PSC67667.1
OG0001010	scaffold10.g2453.t1, scaffold11.g3940.t1	PSC70548.1
OG0001011	scaffold10.g2464.t1	PSC67181.1, PSC67649.1, PSC67177.1, PSC67049.1
OG0001012	scaffold9.g3059.t1, scaffold10.g2468.t1	PSC70928.1, PSC68629.1
OG0001013	scaffold6.g2510.t1	PSC74001.1
OG0001014	scaffold6.g2535.t1	PSC70608.1
OG0001015	scaffold6.g2545.t1	PSC73705.1, PSC73706.1
OG0001016	scaffold6.g2601.t1, scaffold6.g2608.t1	PSC68124.1
OG0001017	scaffold6.g2617.t1	PSC69840.1, PSC69841.1
OG0001018	scaffold6.g2628.t1	PSC72809.1
OG0001020	scaffold6.g2644.t1	PSC72719.1
OG0001021	scaffold6.g2655.t1	PSC68204.1
OG0001021	scaffold6.g2656.t1	PSC72714.1
OG0001022	scaffold6.g2698.t1	PSC72664.1
OG0001023	scaffold6.g2699.t1	PSC72763.1
OG0001024	scaffold6.g2701.t1	PSC72659.1, PSC72660.1
OG0001025	scaffold6.g2742.t1	PSC72931.1, PSC72930.1
OG0001026	scaffold2.g7404.t1	PSC70414.1
OG0001026	scaffold6.g2746.t1	PSC70340.1
OG0001027	scaffold6.g2787.t1	PSC72864.1
OG0001028	scaffold2.g7172.t1, scaffold34.g4518.t1, scaffold6.g2809.t1	PSC71592.1
OG0001029	scaffold6.g2819.t1	PSC75401.1
OG0001030	scaffold6.g2826.t1	PSC72695.1, PSC74058.1
OG0001031	scaffold6.g2852.t1	PSC71516.1, PSC68303.1
OG0001032	scaffold6.g2867.t1, scaffold6.g2864.t1	PSC69029.1
OG0001033	scaffold6.g2884.t1, scaffold7.g3406.t1	PSC68862.1, PSC68861.1, PSC68863.1
OG0001034	scaffold6.g2902.t1, scaffold4.g4674.t1	PSC73409.1
OG0001035	scaffold6.g2909.t1	PSC69014.1
OG0001036	scaffold24.g2927.t1	PSC74954.1, PSC74955.1
OG0001037	scaffold28.g7592.t1	PSC70313.1
OG0001037	scaffold24.g2977.t1	PSC70014.1
OG0001038	scaffold24.g2991.t1	PSC71041.1, PSC76131.1, PSC74984.1
OG0001039	scaffold9.g3024.t1	PSC67345.1
OG0001040	scaffold9.g3030.t1, scaffold22.g6076.t1	PSC72967.1
OG0001041	scaffold9.g3055.t1	PSC75131.1, PSC75132.1
OG0001043	scaffold20.g7766.t1, scaffold9.g3092.t1	PSC71016.1
OG0001044	scaffold9.g3097.t1	PSC72358.1, PSC74915.1
OG0001045	scaffold9.g3098.t1	PSC75010.1, PSC75011.1
OG0001046	scaffold9.g3136.t1	PSC75088.1, PSC75090.1, PSC75089.1
OG0001047	scaffold9.g3143.t1	PSC75046.1
OG0001048	scaffold9.g3155.t1	PSC75154.1
OG0001049	scaffold9.g3160.t1, scaffold9.g3159.t1	PSC75030.1
OG0001050	scaffold9.g3264.t1, scaffold3.g6493.t1	PSC76651.1
OG0001051	scaffold9.g3278.t1	PSC72395.1
OG0001052	scaffold9.g3279.t1	PSC74306.1, PSC74304.1, PSC74305.1
OG0001053	scaffold9.g3283.t1, scaffold9.g3282.t1	PSC74181.1
OG0001054	scaffold9.g3294.t1	PSC73984.1
OG0001055	scaffold26.g3318.t1	PSC73471.1
OG0001055	scaffold11.g3927.t1	PSC74834.1
OG0001056	scaffold26.g3331.t1	PSC73606.1
OG0001057	scaffold26.g3332.t1	PSC75521.1, PSC68298.1, PSC68246.1
OG0001058	scaffold26.g3333.t1	PSC67102.1, PSC70503.1, PSC70502.1
OG0001059	scaffold26.g3344.t1	PSC74828.1
OG0001060	scaffold26.g3356.t1, scaffold4.g4784.t1	PSC76140.1
OG0001061	scaffold7.g3381.t1	PSC76769.1, PSC76770.1, PSC75425.1
OG0001062	scaffold7.g3396.t1	PSC68094.1, PSC67430.1
OG0001063	scaffold7.g3417.t1	PSC73192.1
OG0001064	scaffold7.g3421.t1	PSC73143.1, PSC73142.1
OG0001065	scaffold7.g3470.t1	PSC70015.1
OG0001065	scaffold7.g3427.t1	PSC72983.1
OG0001066	scaffold7.g3431.t1, scaffold7.g3450.t1	PSC76556.1
OG0001067	scaffold7.g3460.t1	PSC76242.1
OG0001068	scaffold7.g3522.t1	PSC73206.1
OG0001069	scaffold7.g3539.t1	PSC76128.1, PSC76129.1, PSC76127.1
OG0001070	scaffold7.g3562.t1, scaffold7.g3565.t1	PSC67310.1
OG0001071	scaffold7.g3586.t1	PSC76378.1
OG0001072	scaffold7.g3611.t1	PSC76198.1
OG0001073	scaffold7.g3623.t1	PSC73154.1
OG0001074	scaffold7.g3675.t1	PSC73052.1
OG0001075	scaffold7.g3679.t1	PSC76858.1
OG0001076	scaffold7.g3687.t1	PSC76172.1, PSC76171.1
OG0001077	scaffold7.g3710.t1, scaffold11.g3895.t1	PSC69798.1
OG0001078	scaffold7.g3716.t1	PSC73048.1, PSC73049.1
OG0001079	scaffold7.g3731.t1	PSC69139.1
OG0001081	scaffold7.g3743.t1	PSC71608.1, PSC71609.1
OG0001082	scaffold7.g3750.t1, scaffold12.g8080.t1, scaffold4.g4872.t1	PSC69871.1
OG0001083	scaffold11.g3833.t1	PSC68537.1
OG0001084	scaffold11.g3842.t1	PSC68524.1
OG0001085	scaffold11.g3977.t1, scaffold11.g3984.t1	PSC74008.1
OG0001086	scaffold11.g4005.t1	PSC68938.1
OG0001087	scaffold11.g4032.t1	PSC74717.1
OG0001088	scaffold11.g4075.t1	PSC68800.1
OG0001089	scaffold23.g4098.t1	PSC68773.1, PSC74744.1, PSC74743.1
OG0001090	scaffold23.g4141.t1	PSC73255.1
OG0001091	scaffold23.g4142.t1	PSC73399.1
OG0001092	scaffold23.g4143.t1	PSC67536.1
OG0001094	scaffold23.g4175.t1	PSC70497.1
OG0001095	scaffold23.g4179.t1	PSC67537.1
OG0001096	scaffold23.g4194.t1	PSC69027.1
OG0001097	scaffold15.g4245.t1	PSC69890.1
OG0001098	scaffold15.g4249.t1	PSC67094.1, PSC70435.1
OG0001099	scaffold15.g4265.t1	PSC67095.1, PSC70426.1, PSC70425.1
OG0001100	scaffold15.g4268.t1	PSC70475.1
OG0001101	scaffold15.g4313.t1	PSC73477.1
OG0001102	scaffold15.g4314.t1	PSC73470.1
OG0001104	scaffold34.g4497.t1	PSC71819.1
OG0001105	scaffold34.g4519.t1	PSC69380.1, PSC71748.1, PSC71768.1
OG0001106	scaffold2.g6850.t1, scaffold56.g4540.t1	PSC71602.1
OG0001107	scaffold4.g4571.t1	PSC76143.1
OG0001108	scaffold4.g4585.t1	PSC67161.1
OG0001109	scaffold4.g4599.t1	PSC67838.1
OG0001110	scaffold4.g4607.t1	PSC71894.1
OG0001111	scaffold1.g5390.t1, scaffold4.g4621.t1	PSC68854.1
OG0001112	scaffold4.g4623.t1	PSC76460.1
OG0001113	scaffold4.g4680.t1	PSC76051.1, PSC67397.1
OG0001114	scaffold4.g4737.t1	PSC76582.1, PSC76581.1, PSC76937.1, PSC73800.1
OG0001115	scaffold4.g4746.t1, scaffold4.g4747.t1	PSC76634.1
OG0001116	scaffold4.g4798.t1, scaffold4.g4799.t1	PSC68184.1
OG0001118	scaffold20.g7657.t1, scaffold4.g4835.t1	PSC71174.1
OG0001119	scaffold4.g4850.t1, scaffold4.g4849.t1	PSC70851.1
OG0001120	scaffold4.g4864.t1, scaffold2.g7497.t1	PSC71989.1, PSC71898.1
OG0001121	scaffold4.g4865.t1	PSC69974.1, PSC69975.1
OG0001122	scaffold4.g4866.t1	PSC69902.1, PSC69903.1
OG0001123	scaffold4.g4911.t1	PSC68018.1
OG0001123	scaffold2.g6831.t1	PSC68695.1
OG0001124	scaffold4.g5045.t1, scaffold4.g4926.t1	PSC69918.1
OG0001125	scaffold4.g4940.t1, scaffold4.g4935.t1	PSC69951.1
OG0001126	scaffold4.g4949.t1	PSC69889.1
OG0001127	scaffold4.g4968.t1	PSC69912.1
OG0001128	scaffold4.g5019.t1	PSC70890.1
OG0001129	scaffold4.g5032.t1	PSC70592.1
OG0001131	scaffold36.g5073.t1	PSC75693.1, PSC67057.1
OG0001132	scaffold36.g5076.t1	PSC67904.1
OG0001133	scaffold25.g5087.t1	PSC75198.1
OG0001134	scaffold25.g5090.t1	PSC67196.1, PSC67389.1, PSC71194.1, PSC67023.1
OG0001135	scaffold25.g5091.t1	PSC67191.1, PSC67386.1, PSC71062.1
OG0001136	scaffold25.g5093.t1	PSC73967.1
OG0001137	scaffold1.g5173.t1	PSC67098.1, PSC67317.1, PSC68239.1
OG0001138	scaffold1.g5210.t1	PSC67078.1, PSC67824.1, PSC67071.1
OG0001139	scaffold1.g5218.t1, scaffold3.g6707.t1	PSC68136.1
OG0001140	scaffold1.g5234.t1	PSC67070.1, PSC67485.1
OG0001141	scaffold1.g5237.t1	PSC67499.1, PSC67069.1
OG0001142	scaffold430.g5907.t1, scaffold1.g5244.t1	PSC75689.1, PSC75688.1
OG0001143	scaffold1.g5260.t1	PSC67247.1
OG0001144	scaffold1.g5275.t1	PSC67825.1, PSC67245.1, PSC67828.1
OG0001145	scaffold1.g5296.t1	PSC75937.1, PSC75936.1
OG0001146	scaffold1.g5325.t1	PSC75799.1, PSC75798.1, PSC75797.1
OG0001147	scaffold1.g5330.t1, scaffold1.g5333.t1, scaffold28.g7538.t1	PSC75857.1
OG0001148	scaffold1.g5344.t1	PSC75587.1
OG0001149	scaffold1.g5353.t1	PSC71678.1
OG0001150	scaffold1.g5383.t1	PSC68901.1
OG0001151	scaffold1.g5396.t1	PSC75367.1
OG0001152	scaffold1.g5400.t1	PSC69141.1
OG0001153	scaffold1.g5438.t1	PSC75502.1
OG0001154	scaffold1.g5460.t1	PSC70139.1
OG0001155	scaffold1.g5492.t1	PSC73940.1
OG0001156	scaffold1.g5544.t1	PSC76101.1
OG0001157	scaffold12.g8283.t1, scaffold1.g5697.t1	PSC74506.1
OG0001158	scaffold1.g5752.t1	PSC68734.1
OG0001159	scaffold1.g5770.t1	PSC73946.1
OG0001160	scaffold1.g5772.t1	PSC76901.1, PSC76436.1
OG0001161	scaffold1.g5773.t1, scaffold27.g5990.t1	PSC73298.1
OG0001162	scaffold1.g5781.t1	PSC76745.1, PSC76746.1
OG0001163	scaffold1.g5807.t1	PSC76536.1
OG0001164	scaffold1.g5854.t1	PSC71702.1, PSC71703.1
OG0001165	scaffold1.g5866.t1	PSC76851.1
OG0001166	scaffold1.g5898.t1, scaffold1.g5878.t1	PSC72460.1
OG0001167	scaffold1.g5885.t1	PSC67811.1
OG0001168	scaffold29.g5924.t1	PSC72394.1, PSC72518.1
OG0001169	scaffold29.g5925.t1	PSC73884.1, PSC73883.1, PSC73882.1
OG0001170	scaffold29.g5933.t1	PSC69983.1, PSC69982.1
OG0001171	scaffold29.g5946.t1	PSC73885.1
OG0001172	scaffold27.g6026.t1	PSC73293.1, PSC70628.1
OG0001173	scaffold22.g6045.t1	PSC71530.1
OG0001174	scaffold22.g6101.t1, scaffold22.g6059.t1	PSC72552.1, PSC72553.1
OG0001175	scaffold22.g6061.t1	PSC72446.1, PSC72447.1
OG0001176	scaffold22.g6077.t1	PSC72597.1
OG0001177	scaffold22.g6080.t1	PSC72594.1, PSC72593.1
OG0001178	scaffold22.g6086.t1	PSC72566.1, PSC72565.1
OG0001179	scaffold22.g6089.t1	PSC74280.1
OG0001180	scaffold22.g6106.t1	PSC72536.1
OG0001181	scaffold22.g6111.t1	PSC72417.1, PSC72416.1
OG0001182	scaffold22.g6133.t1	PSC72451.1
OG0001183	scaffold22.g6152.t1, scaffold22.g6150.t1	PSC72494.1
OG0001184	scaffold3.g6162.t1	PSC69613.1, PSC69612.1
OG0001185	scaffold3.g6236.t1	PSC69578.1, PSC69679.1
OG0001186	scaffold3.g6249.t1	PSC68307.1, PSC68306.1, PSC68308.1
OG0001187	scaffold3.g6271.t1	PSC69676.1, PSC68388.1, PSC71499.1
OG0001188	scaffold3.g6306.t1	PSC71265.1
OG0001189	scaffold3.g6341.t1, scaffold3.g6331.t1	PSC71398.1
OG0001190	scaffold3.g6349.t1	PSC74407.1
OG0001191	scaffold3.g6362.t1	PSC71297.1
OG0001191	scaffold3.g6370.t1	PSC71426.1
OG0001192	scaffold3.g6420.t1	PSC68353.1
OG0001193	scaffold3.g6424.t1	PSC71222.1
OG0001194	scaffold3.g6425.t1	PSC71341.1
OG0001196	scaffold3.g6555.t1	PSC67587.1, PSC67586.1
OG0001197	scaffold3.g6601.t1	PSC71096.1, PSC71151.1
OG0001198	scaffold2.g6814.t1	PSC73213.1
OG0001199	scaffold2.g6817.t1, scaffold2.g6816.t1	PSC74994.1
OG0001200	scaffold2.g6887.t1, scaffold2.g6872.t1	PSC74003.1
OG0001201	scaffold2.g6892.t1	PSC74713.1
OG0001202	scaffold2.g6939.t1	PSC74312.1
OG0001203	scaffold2.g6967.t1	PSC73354.1
OG0001204	scaffold2.g7007.t1	PSC74221.1, PSC74222.1
OG0001205	scaffold2.g7031.t1	PSC74205.1, PSC74204.1
OG0001206	scaffold2.g7046.t1, scaffold2.g7038.t1	PSC74184.1
OG0001207	scaffold2.g7068.t1, scaffold2.g7445.t1	PSC67274.1
OG0001208	scaffold2.g7120.t1, scaffold2.g7094.t1	PSC68061.1, PSC68062.1
OG0001209	scaffold2.g7112.t1	PSC76925.1
OG0001210	scaffold2.g7128.t1	PSC75546.1
OG0001211	scaffold2.g7129.t1	PSC68466.1
OG0001212	scaffold2.g7132.t1	PSC68409.1, PSC68410.1
OG0001213	scaffold20.g7629.t1, scaffold20.g7646.t1, scaffold2.g7178.t1	PSC71177.1
OG0001214	scaffold2.g7197.t1	PSC67167.1
OG0001215	scaffold2.g7208.t1	PSC71774.1
OG0001216	scaffold2.g7234.t1	PSC73112.1
OG0001217	scaffold2.g7271.t1	PSC76447.1
OG0001218	scaffold2.g7299.t1	PSC68907.1
OG0001219	scaffold2.g7392.t1	PSC70478.1, PSC70479.1
OG0001220	scaffold2.g7393.t1	PSC70342.1
OG0001221	scaffold2.g7424.t1	PSC76698.1
OG0001222	scaffold2.g7440.t1	PSC70892.1, PSC70893.1
OG0001223	scaffold2.g7454.t1	PSC69716.1
OG0001224	scaffold2.g7488.t1	PSC70279.1, PSC70278.1
OG0001225	scaffold2.g7509.t1	PSC68266.1
OG0001226	scaffold2.g7517.t1	PSC70190.1
OG0001227	scaffold28.g7563.t1	PSC70346.1, PSC70347.1
OG0001228	scaffold28.g7564.t1	PSC70446.1
OG0001229	scaffold28.g7573.t1	PSC70350.1, PSC70349.1
OG0001230	scaffold28.g7575.t1	PSC70457.1
OG0001232	scaffold20.g7628.t1	PSC72945.1
OG0001233	scaffold20.g7641.t1	PSC71183.1
OG0001234	scaffold20.g7648.t1	PSC71048.1
OG0001235	scaffold20.g7670.t1	PSC71216.1, PSC71217.1
OG0001236	scaffold20.g7689.t1	PSC71039.1, PSC71040.1, PSC71038.1
OG0001237	scaffold20.g7698.t1	PSC71067.1, PSC71066.1
OG0001238	scaffold20.g7724.t1	PSC72292.1
OG0001239	scaffold20.g7760.t1	PSC71073.1
OG0001240	scaffold20.g7769.t1	PSC71021.1, PSC71020.1
OG0001241	scaffold20.g7774.t1, scaffold20.g7775.t1	PSC71286.1, PSC71377.1
OG0001242	scaffold20.g7780.t1, scaffold20.g7783.t1	PSC69530.1
OG0001243	scaffold20.g7795.t1	PSC70781.1, PSC70780.1
OG0001244	scaffold20.g7809.t1	PSC72572.1
OG0001245	scaffold20.g7830.t1, scaffold20.g7829.t1	PSC70754.1
OG0001246	scaffold12.g7920.t1	PSC74544.1, PSC74545.1
OG0001247	scaffold12.g7936.t1	PSC73785.1
OG0001248	scaffold12.g7939.t1	PSC73773.1, PSC73774.1, PSC73772.1
OG0001249	scaffold12.g7954.t1	PSC74659.1, PSC74658.1
OG0001250	scaffold12.g7976.t1	PSC74430.1
OG0001251	scaffold12.g7986.t1	PSC74418.1, PSC76050.1, PSC76049.1
OG0001252	scaffold12.g7994.t1	PSC74724.1
OG0001253	scaffold12.g8002.t1	PSC74911.1
OG0001254	scaffold12.g8012.t1	PSC75160.1, PSC75159.1
OG0001255	scaffold12.g8017.t1	PSC74875.1, PSC73078.1
OG0001256	scaffold12.g8033.t1	PSC74581.1, PSC74582.1, PSC74583.1
OG0001257	scaffold12.g8034.t1	PSC74361.1, PSC74360.1
OG0001258	scaffold12.g8036.t1	PSC74672.1
OG0001259	scaffold12.g8102.t1	PSC70274.1
OG0001260	scaffold12.g8118.t1	PSC70264.1
OG0001261	scaffold12.g8142.t1	PSC70223.1
OG0001262	scaffold12.g8181.t1	PSC74725.1
OG0001263	scaffold12.g8192.t1	PSC70287.1, PSC74326.1
OG0001264	scaffold12.g8212.t1	PSC74403.1
OG0001265	scaffold12.g8224.t1	PSC75451.1, PSC75452.1, PSC74386.1
OG0001266	scaffold12.g8247.t1, scaffold12.g8245.t1, scaffold12.g8246.t1	PSC74734.1
OG0001267	scaffold12.g8284.t1	PSC74509.1, PSC74510.1
OG0001315	scaffold16.g9.t1	PSC69314.1, PSC69315.1
OG0001316	scaffold16.g11.t1, scaffold2.g7300.t1	PSC70738.1
OG0001317	scaffold12.g8131.t1, scaffold16.g18.t1	PSC70243.1
OG0001318	scaffold16.g19.t1	PSC69358.1
OG0001319	scaffold16.g20.t1	PSC69359.1
OG0001320	scaffold16.g31.t1	PSC69327.1
OG0001321	scaffold16.g33.t1	PSC68579.1, PSC68580.1
OG0001322	scaffold16.g40.t1	PSC69363.1
OG0001323	scaffold26.g3348.t1, scaffold16.g45.t1	PSC69404.1
OG0001324	scaffold16.g52.t1	PSC69405.1
OG0001325	scaffold16.g53.t1, scaffold4.g4731.t1	PSC76898.1
OG0001327	scaffold16.g74.t1	PSC70114.1, PSC70113.1
OG0001328	scaffold16.g78.t1	PSC70024.1
OG0001330	scaffold16.g89.t1	PSC75329.1, PSC70125.1
OG0001331	scaffold16.g91.t1	PSC75211.1, PSC75212.1
OG0001332	scaffold2.g7174.t1, scaffold16.g110.t1	PSC73793.1
OG0001333	scaffold16.g117.t1	PSC75012.1
OG0001334	scaffold16.g141.t1, scaffold20.g7850.t1	PSC69344.1
OG0001335	scaffold16.g158.t1	PSC69202.1, PSC69203.1
OG0001336	scaffold16.g160.t1	PSC74832.1
OG0001337	scaffold13.g181.t1	PSC72994.1
OG0001338	scaffold13.g198.t1	PSC69087.1
OG0001339	scaffold13.g200.t1	PSC69094.1
OG0001340	scaffold19.g1755.t1, scaffold13.g211.t1	PSC69222.1
OG0001341	scaffold13.g219.t1	PSC76762.1
OG0001342	scaffold20.g7643.t1, scaffold13.g241.t1	PSC71091.1, PSC71335.1
OG0001343	scaffold13.g243.t1	PSC72123.1
OG0001345	scaffold3.g6411.t1, scaffold13.g264.t1	PSC68324.1
OG0001346	scaffold13.g267.t1	PSC74841.1
OG0001347	scaffold13.g270.t1, scaffold9.g3271.t1	PSC75759.1
OG0001348	scaffold13.g312.t1	PSC69101.1, PSC67135.1
OG0001349	scaffold13.g327.t1, scaffold13.g314.t1	PSC72661.1, PSC72791.1
OG0001350	scaffold8.g1661.t1, scaffold13.g322.t1	PSC69106.1
OG0001351	scaffold13.g331.t1	PSC69987.1
OG0001352	scaffold13.g333.t1	PSC74126.1
OG0001353	scaffold13.g337.t1	PSC67980.1
OG0001354	scaffold13.g344.t1	PSC70023.1, PSC70022.1
OG0001355	scaffold13.g345.t1	PSC67990.1, PSC67989.1
OG0001356	scaffold13.g351.t1	PSC67947.1, PSC67948.1
OG0001357	scaffold13.g367.t1	PSC67998.1
OG0001358	scaffold13.g383.t1, scaffold6.g2612.t1	PSC70106.1
OG0001359	scaffold13.g396.t1	PSC70255.1
OG0001360	scaffold13.g397.t1	PSC70155.1
OG0001361	scaffold13.g399.t1	PSC70177.1
OG0001362	scaffold13.g420.t1	PSC70185.1
OG0001363	scaffold17.g426.t1	PSC72760.1
OG0001364	scaffold17.g430.t1	PSC69205.1
OG0001365	scaffold17.g440.t1	PSC69269.1, PSC75186.1
OG0001366	scaffold17.g443.t1	PSC69247.1
OG0001367	scaffold17.g451.t1	PSC69227.1
OG0001368	scaffold17.g467.t1	PSC69208.1
OG0001369	scaffold17.g485.t1	PSC69188.1
OG0001370	scaffold17.g486.t1	PSC69261.1
OG0001371	scaffold17.g488.t1	PSC69221.1
OG0001372	scaffold17.g496.t1	PSC69276.1, PSC69275.1
OG0001373	scaffold17.g500.t1	PSC69229.1
OG0001375	scaffold6.g2782.t1, scaffold17.g505.t1	PSC76727.1
OG0001376	scaffold17.g508.t1	PSC73917.1
OG0001377	scaffold5.g751.t1, scaffold17.g518.t1	PSC76491.1
OG0001378	scaffold11.g3974.t1, scaffold17.g540.t1	PSC68925.1
OG0001379	scaffold17.g544.t1	PSC73745.1
OG0001380	scaffold17.g555.t1	PSC68725.1
OG0001381	scaffold17.g559.t1	PSC68715.1, PSC68716.1
OG0001382	scaffold17.g565.t1	PSC68766.1, PSC68753.1
OG0001384	scaffold17.g587.t1	PSC73741.1
OG0001385	scaffold17.g601.t1	PSC67589.1, PSC67588.1
OG0001386	scaffold5.g606.t1, scaffold5.g607.t1	PSC72361.1
OG0001387	scaffold5.g615.t1	PSC71777.1
OG0001388	scaffold5.g668.t1, scaffold5.g643.t1	PSC72608.1
OG0001389	scaffold5.g644.t1	PSC76643.1
OG0001390	scaffold5.g647.t1	PSC76586.1
OG0001391	scaffold5.g655.t1	PSC76394.1, PSC76395.1
OG0001392	scaffold5.g678.t1	PSC73662.1, PSC73663.1
OG0001393	scaffold5.g681.t1	PSC67914.1
OG0001394	scaffold5.g689.t1	PSC73686.1
OG0001395	scaffold5.g700.t1	PSC73262.1
OG0001396	scaffold5.g706.t1	PSC74148.1
OG0001397	scaffold1.g5833.t1, scaffold5.g707.t1	PSC77028.1
OG0001398	scaffold4.g4583.t1, scaffold10.g2335.t1, scaffold5.g740.t1	PSC76587.1
OG0001399	scaffold5.g742.t1	PSC76156.1
OG0001400	scaffold5.g755.t1	PSC76401.1
OG0001402	scaffold5.g783.t1	PSC73643.1
OG0001403	scaffold5.g787.t1	PSC75622.1, PSC75623.1, PSC75621.1
OG0001404	scaffold5.g794.t1	PSC76557.1, PSC75987.1
OG0001405	scaffold5.g801.t1	PSC75925.1, PSC75926.1
OG0001406	scaffold5.g809.t1	PSC68732.1, PSC67147.1
OG0001407	scaffold5.g813.t1, scaffold1.g5779.t1, scaffold9.g3043.t1	PSC73519.1
OG0001408	scaffold5.g821.t1	PSC73263.1, PSC73264.1
OG0001409	scaffold5.g822.t1	PSC75371.1, PSC75370.1
OG0001410	scaffold5.g828.t1	PSC75273.1, PSC75272.1
OG0001411	scaffold5.g829.t1	PSC75282.1, PSC75520.1
OG0001412	scaffold9.g3178.t1, scaffold5.g832.t1	PSC75896.1
OG0001414	scaffold5.g847.t1	PSC75552.1, PSC75553.1
OG0001415	scaffold5.g853.t1	PSC76529.1, PSC76528.1
OG0001416	scaffold5.g887.t1	PSC76593.1
OG0001417	scaffold5.g896.t1	PSC76407.1
OG0001418	scaffold6.g2871.t1, scaffold5.g899.t1	PSC75304.1
OG0001419	scaffold5.g901.t1	PSC75423.1
OG0001420	scaffold5.g903.t1	PSC75350.1
OG0001421	scaffold2.g7067.t1, scaffold5.g904.t1	PSC74463.1
OG0001422	scaffold5.g918.t1	PSC75780.1, PSC75288.1
OG0001423	scaffold5.g919.t1, scaffold31.g3801.t1	PSC75633.1
OG0001424	scaffold5.g920.t1	PSC69232.1
OG0001425	scaffold5.g940.t1, scaffold20.g7707.t1	PSC72301.1
OG0001426	scaffold5.g969.t1	PSC75527.1, PSC75463.1
OG0001427	scaffold5.g973.t1	PSC68011.1
OG0001428	scaffold5.g984.t1	PSC67954.1
OG0001429	scaffold5.g994.t1	PSC73532.1
OG0001430	scaffold5.g996.t1	PSC73732.1, PSC73733.1
OG0001431	scaffold5.g1003.t1	PSC67987.1
OG0001432	scaffold5.g1009.t1	PSC76979.1, PSC76583.1
OG0001433	scaffold14.g1023.t1	PSC75474.1, PSC75475.1
OG0001434	scaffold14.g1025.t1	PSC68134.1
OG0001435	scaffold14.g1032.t1	PSC69337.1
OG0001436	scaffold14.g1034.t1	PSC69785.1
OG0001438	scaffold14.g1052.t1	PSC69728.1
OG0001439	scaffold14.g1061.t1	PSC75407.1
OG0001440	scaffold14.g1081.t1	PSC75733.1
OG0001441	scaffold14.g1096.t1	PSC72938.1, PSC72939.1
OG0001442	scaffold14.g1104.t1	PSC75675.1, PSC75676.1
OG0001443	scaffold14.g1108.t1	PSC75725.1
OG0001444	scaffold14.g1110.t1	PSC76007.1
OG0001445	scaffold12.g8067.t1, scaffold14.g1119.t1	PSC69833.1
OG0001446	scaffold14.g1129.t1	PSC76290.1, PSC76291.1
OG0001447	scaffold14.g1135.t1, scaffold42.g4476.t1	PSC68594.1
OG0001448	scaffold14.g1147.t1	PSC76429.1
OG0001449	scaffold14.g1154.t1	PSC76999.1, PSC77000.1
